OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
CALSPHERE 1,1964-063C,2025-11-25T01:02:02.048928,13.76332703,.0026402,90.2213,67.0455,186.7798,227.2721,0,U,900,999,4334,.89218E-3,.882E-5,0
CALSPHERE 2,1964-063E,2025-11-25T03:14:47.084352,13.52880879,.0020549,90.2361,70.9797,99.3469,17.7390,0,U,902,999,82867,.78674E-4,.61E-6,0
LCS 1,1965-034C,2025-11-25T02:17:38.776416,9.89309313,.0013387,32.1442,301.6155,119.8713,240.3116,0,U,1361,999,18967,.14484E-3,.9E-7,0
TEMPSAT 1,1965-065E,2025-11-25T03:37:33.451968,13.33580144,.0071405,89.9894,212.6845,101.2853,52.7580,0,U,1512,999,93285,.12461E-3,.72E-6,0
CALSPHERE 4A,1965-065H,2025-11-24T23:10:42.616128,13.36234411,.0068583,89.9086,124.3964,320.9492,164.0050,0,U,1520,999,93543,.24721E-3,.137E-5,0
OPS 5712 (P/L 160),1967-053A,2025-11-25T01:28:05.684160,14.73777312,.0004766,69.9169,177.2372,293.7188,66.3457,0,U,2826,999,3611,.15793E-2,.10284E-3,0
LES-5,1967-066E,2025-11-24T23:07:40.946304,1.09425645,.0055872,2.1527,103.1167,198.8542,224.2471,0,U,2866,999,12880,0,-.68E-6,0
SURCAL 159,1967-053F,2025-11-25T01:01:57.468000,13.99535468,.000637,69.9743,80.4000,354.8817,5.2224,0,U,2872,999,98164,.14505E-3,.158E-5,0
OPS 5712 (P/L 153),1967-053H,2025-11-25T00:49:26.137056,13.96786778,.0004534,69.9724,192.8786,108.2727,251.8873,0,U,2874,999,97827,.84005E-4,.63E-6,0
OPS 3811 (DSP 2),1971-039A,2025-11-24T19:32:18.111264,0.98163217,.00239036,0.3501,310.3982,333.3260,237.8448,0,U,5204,999,20422,0,-.179E-5,0
RIGIDSPHERE 2 (LCS 4),1971-067E,2025-11-25T03:02:40.754976,14.37521518,.0060085,87.6229,35.4391,187.7556,172.2720,0,U,5398,999,84456,.34404E-3,.107E-4,0
OSCAR 7 (AO-7),1974-089B,2025-11-25T00:16:38.889408,12.53693641,.0012251,101.9974,335.0927,159.9007,223.4642,0,U,7530,999,33493,.28745E-4,-.42E-6,0
STARLETTE,1975-010A,2025-11-25T01:57:29.947104,13.82346969,.0205646,49.8217,190.2367,108.7412,253.5917,0,U,7646,999,56630,.94751E-5,-.133E-5,0
LAGEOS 1,1976-039A,2025-11-25T02:47:39.435360,6.38664906,.0044666,109.8376,109.4544,345.9652,197.9635,0,U,8820,999,90010,0,.19E-6,0
OPS 8701 (DSP 10),1982-019A,2025-11-24T21:26:41.760960,0.98189922,.0006058,9.7084,310.6605,297.5802,259.6019,0,U,13086,999,2365,0,-.124E-5,0
PHASE 3B (AO-10),1983-058B,2025-11-24T21:56:36.119616,2.05870818,.6066327,26.1006,254.2298,58.6543,346.8199,0,U,14129,999,29128,0,.209E-5,0
UOSAT 2 (UO-11),1984-021B,2025-11-25T03:10:57.058176,14.90053589,.0008742,97.7791,292.4384,130.6449,229.5530,0,U,14781,999,22673,.21502E-3,.2022E-4,0
AJISAI (EGS),1986-061A,2025-11-25T01:48:13.341024,12.44514102,.0011234,50.0108,55.0334,21.5249,46.2937,0,U,16908,999,45497,.39076E-4,-.92E-6,0
TDRS 3,1988-091B,2025-11-24T10:21:27.436320,1.00280175,.00406643,12.7620,342.3509,343.1184,204.5033,0,U,19548,999,12333,0,-.284E-5,0
COSMOS 1989 (ETALON 1),1989-001C,2025-11-24T15:24:20.956608,2.13156027,.00234458,64.8263,79.1976,217.0355,108.2566,0,U,19751,999,28700,0,.12E-6,0
COSMOS 2024 (ETALON 2),1989-039C,2025-11-24T17:58:51.336192,2.13204564,.00204428,65.0613,317.5757,214.2948,315.5623,0,U,20026,999,28414,0,-.21E-6,0
FLTSATCOM 8 (USA 46),1989-077A,2025-11-24T23:10:33.170016,1.00276079,.0007413,12.4789,352.3859,273.0164,272.1552,0,U,20253,999,25851,0,-.351E-5,0
LUSAT (LO-19),1990-005G,2025-11-24T23:07:35.203296,14.34033915,.0012653,98.8971,340.0253,85.5957,274.6672,0,U,20442,999,87312,.83358E-4,.186E-5,0
HST,1990-037B,2025-11-24T21:28:13.344960,15.27692219,.0001962,28.4701,33.9153,52.6598,307.4176,0,U,20580,999,75726,.30886E-3,.8828E-4,0
SKYNET 4C,1990-079A,2025-11-24T17:36:03.853152,1.00270063,.00032321,13.4042,351.1992,253.7914,116.3195,0,U,20776,999,12884,0,.141E-5,0
USA 65 (DSP 15),1990-095A,2025-11-24T15:10:47.769312,0.98396396,.00020858,14.1319,345.4566,109.0669,81.5514,0,U,20929,999,2345,0,.7E-7,0
TDRS 5,1991-054B,2025-11-24T18:21:29.501856,1.00277694,.0013491,14.0967,355.2800,252.6340,283.8736,0,U,21639,999,12566,0,.99E-6,0
USA 75 (DSP 16),1991-080B,2025-11-25T00:41:46.931424,0.99183765,.0002084,14.1148,346.9573,133.9597,38.8080,0,U,21805,999,2368,0,-.5E-7,0
LAGEOS 2,1992-070B,2025-11-03T16:50:33.175968,6.47293461,.013782,52.6707,49.1347,88.8636,63.2830,0,U,22195,999,78082,0,-.9E-7,0
TDRS 6,1993-003B,2025-11-25T02:31:31.141056,1.00279569,.0009381,14.1789,358.5675,204.7139,212.8762,0,U,22314,999,12036,0,-.281E-5,0
SCD 1,1993-009B,2025-11-24T21:43:24.432960,14.45980802,.004219,24.9706,28.7765,135.7509,25.1036,0,U,22490,999,73151,.97409E-4,.542E-5,0
UFO 2 (USA 95),1993-056A,2025-11-24T20:27:28.814976,1.00275240,.0006571,11.8246,4.6556,262.3451,132.6258,0,U,22787,999,11650,0,.14E-5,0
STELLA,1993-061B,2025-11-25T03:33:47.037312,14.27463109,.0007421,98.8033,27.3691,107.9774,311.5123,0,U,22824,999,67566,.11765E-4,-.16E-6,0
EYESAT A (AO-27),1993-061C,2025-11-25T02:20:03.749568,14.30867282,.0008011,98.7168,31.3207,346.6953,13.4017,0,U,22825,999,67781,.82366E-4,.171E-5,0
ITAMSAT (IO-26),1993-061D,2025-11-25T03:17:20.179968,14.31287271,.0008211,98.7116,31.2582,329.0683,31.0015,0,U,22826,999,67812,.88847E-4,.19E-5,0
USA 99 (MILSTAR-1 1),1994-009A,2025-11-24T15:18:09.563616,1.00270930,.00031648,17.3126,29.9067,242.2188,291.2512,0,U,22988,999,3090,0,-.185E-5,0
RADIO ROSTO (RS-15),1994-085A,2025-11-25T05:16:26.169312,11.27582330,.0149117,64.8172,273.0826,41.7993,319.4208,0,U,23439,999,27290,.21323E-3,-.35E-6,0
UFO 4 (USA 108),1995-003A,2025-11-24T19:58:35.200704,1.00267893,.0003819,9.6924,13.8928,221.5719,300.6159,0,U,23467,999,11290,0,-.6E-7,0
TDRS 7,1995-035B,2025-11-25T00:43:01.810848,1.00272877,.0003563,13.4626,349.5907,85.4500,89.1663,0,U,23613,999,11120,0,-.226E-5,0
USA 115 (MILSTAR-1 2),1995-060A,2025-11-24T16:52:15.549600,1.00272685,.0002335,13.9981,5.2498,258.3718,293.3469,0,U,23712,999,3083,0,-.6E-7,0
POLAR,1996-013A,2025-11-18T18:25:42.632256,1.29845965,.6261894,79.6081,229.4139,216.1974,78.1071,0,U,23802,999,14212,0,.92E-6,0
INMARSAT 3-F1,1996-020A,2025-11-24T16:16:18.991776,0.99987322,.00092415,10.1749,48.4795,193.8876,179.8491,0,U,23839,999,10821,0,-.325E-5,0
USA 119,1996-029A,2025-11-25T02:04:01.017696,13.45499609,.0840869,63.3239,5.8215,46.0673,320.6688,0,U,23893,999,7780,.21889E-3,.1138E-4,0
JAS-2 (FO-29),1996-046B,2025-11-25T02:27:16.457184,13.53261264,.0348826,98.5474,200.6028,265.8416,90.2794,0,U,24278,999,44556,.14836E-4,-.24E-6,0
INMARSAT 3-F2,1996-053A,2025-11-25T00:18:38.759040,1.00001308,.0006442,9.3948,55.9805,186.4967,181.7933,0,U,24307,999,10688,0,-.77E-6,0
INMARSAT 3-F3,1996-070A,2025-11-24T06:39:33.688800,0.99976311,.00087911,9.8750,51.5882,196.1244,168.2915,0,U,24674,999,10586,0,-.23E-6,0
NAVSTAR 43 (USA 132),1997-035A,2025-11-24T18:48:38.630880,2.00563524,.0096592,55.8864,106.5713,57.0372,303.8672,0,U,24876,999,20785,0,.49E-6,0
FORTE,1997-047A,2025-11-25T02:29:32.712576,14.27821412,.002307,69.9516,114.9471,203.9342,156.0710,0,U,24920,999,46955,.15797E-3,.334E-5,0
AMC-3,1997-050A,2025-11-24T05:59:38.751648,1.00272291,.00028917,7.6428,66.4130,179.1180,195.8554,0,U,24936,999,5038,0,-.243E-5,0
USA 134,1997-065A,2025-11-24T04:55:28.658784,1.00271461,.00054497,12.5391,23.2249,258.8422,103.1053,0,U,25019,999,3090,0,-.48E-6,0
ORBCOMM FM06,1997-084G,2025-11-25T00:18:31.610304,14.46767487,.0003356,45.0143,315.0810,297.7045,88.0854,0,U,25118,999,46481,.69409E-3,.2392E-4,0
INMARSAT 3-F5,1998-006B,2025-11-25T01:44:55.879872,1.00274352,.0004684,9.2348,55.2547,193.0776,148.2216,0,U,25153,999,10184,0,-.273E-5,0
ORBCOMM FM04,1998-007C,2025-11-25T01:50:17.937600,14.35199707,.0041414,107.9640,109.5155,321.5674,38.2519,0,U,25159,999,44730,.56399E-3,.1498E-4,0
CELESTIS-02 & TAURUS R/B,1998-007D,2025-11-24T19:27:18.827712,14.22404866,.00601302,108.0087,279.6950,123.2217,267.6993,0,U,25160,999,44145,.97480211E-4,.92E-6,0
TECHSAT 1B (GO-32),1998-043D,2025-11-24T22:25:49.710432,14.24369632,.0002385,98.9908,311.7372,84.8407,275.3043,0,U,25397,999,42225,.68755E-4,.112E-5,0
WESTPAC,1998-043E,2025-11-24T22:38:21.495840,14.23036332,.0002436,98.9923,305.4058,82.0928,278.0525,0,U,25398,999,42189,.1698E-4,-.8E-7,0
ORBCOMM FM19,1998-046C,2025-11-24T22:48:22.128768,14.38892490,.0002624,44.9924,133.9680,18.6172,117.8226,0,U,25415,999,42735,.52266E-3,.1482E-4,0
ORBCOMM FM20,1998-046D,2025-11-24T22:48:37.592640,14.37603159,.0000835,44.9921,139.7342,84.0782,276.0161,0,U,25416,999,42739,.3843E-3,.1022E-4,0
ORBCOMM FM27,1998-053G,2025-11-25T01:30:56.110752,14.38591872,.000198,45.0047,224.5021,346.1256,13.9538,0,U,25481,999,42083,.47439E-3,.1323E-4,0
SCD 2,1998-060A,2025-11-25T01:44:34.626336,14.45409239,.0016983,24.9951,250.8343,125.9924,257.2492,0,U,25504,999,43076,.88287E-4,.498E-5,0
ISS (ZARYA),1998-067A,2025-11-24T20:48:53.618400,15.49056620,.0003896,51.6314,230.9455,164.8499,195.2607,0,U,25544,999,54008,.27142E-3,.14562E-3,0
SWAS,1998-071A,2025-11-25T02:02:11.757120,15.07734373,.0007845,69.8977,33.1819,234.8950,125.1479,0,U,25560,999,46648,.42176E-3,.6362E-4,0
SKYNET 4E,1999-009B,2025-11-23T20:53:24.294912,1.00270982,.00035293,11.9398,10.2024,230.5240,134.4878,0,U,25639,999,4912,0,-.2E-6,0
DLR-TUBSAT,1999-029B,2025-11-24T23:02:12.775776,14.52347807,.0013066,98.6550,312.9263,249.7310,110.2480,0,U,25757,999,40360,.49657E-4,.154E-5,0
CXO,1999-040B,2025-11-26T17:59:46.045536,0.37798395,.81666058,52.7007,123.1580,310.7173,0.1897,0,U,25867,999,1655,0,.762E-5,0
ABS-6,1999-053A,2025-11-24T19:54:43.073280,1.00276436,.0002372,0.0160,306.5739,307.2201,267.9299,0,U,25924,999,9578,0,-.99E-6,0
NAVSTAR 46 (USA 145),1999-055A,2025-11-24T21:29:53.511072,2.00572961,.010915,51.6495,304.3997,169.7812,198.6764,0,U,25933,999,19148,0,-.45E-6,0
UFO 10 (USA 146),1999-063A,2025-11-25T00:10:49.894752,1.00270218,.0006813,9.8174,28.2640,231.9902,143.6454,0,U,25967,999,9530,0,-.172E-5,0
ORBCOMM FM32,1999-065C,2025-11-24T22:57:48.206016,14.36687164,.0005929,45.0160,59.6413,133.3276,226.8067,0,U,25982,999,35771,.49241E-3,.1322E-4,0
XMM-NEWTON,1999-066A,2025-11-24T22:01:10.259904,0.50133158,.47509028,65.5232,285.6821,68.4785,0.3041,0,U,25989,999,2198,0,.119E-5,0
TERRA,1999-068A,2025-11-25T03:07:51.318912,14.60922776,.0003103,97.9772,21.4585,133.7027,279.1406,0,U,25994,999,37981,.13709E-3,.627E-5,0
ASIASTAR,2000-016A,2025-11-24T17:56:30.865344,1.00269827,.00056491,8.6513,60.3001,189.6337,188.2033,0,U,26107,999,9387,0,-.316E-5,0
IMAGE,2000-017A,2025-11-24T03:05:24.234144,1.68664171,.75867951,94.0059,312.4525,311.6197,4.6569,0,U,26113,999,15804,-.54239124E-2,-.136E-5,0
USA 149 (DSP 20),2000-024A,2025-11-24T08:10:38.768736,1.00281559,.00012564,13.0151,13.2816,259.5993,108.2959,0,U,26356,999,3086,0,.111E-5,0
NAVSTAR 47 (USA 150),2000-025A,2025-11-24T21:27:52.766208,2.00569260,.0038683,55.0347,27.5601,240.2350,292.1594,0,U,26360,999,18717,0,-.69E-6,0
TDRS 8,2000-034A,2025-11-24T20:34:05.389248,1.00275659,.0003789,12.3605,33.0216,226.0007,198.3679,0,U,26388,999,9313,0,-.18E-5,0
NAVSTAR 48 (USA 151),2000-040A,2025-11-25T02:49:29.096832,2.00567703,.0126987,54.8952,223.2699,301.4806,231.7518,0,U,26407,999,18585,0,.25E-6,0
CLUSTER II-FM7 (SAMBA),2000-041A,2025-11-26T01:08:32.406720,0.44813942,.87241806,147.2482,23.2808,238.9692,0.5749,0,U,26410,999,1939,0,.2142E-4,0
