OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
OSCAR 7 (AO-7),1974-089B,2024-07-07T14:10:37.883136,12.53676745,.0012555,101.9781,184.4300,46.6832,80.2039,0,U,7530,999,27183,.56261E-4,-.37E-6,0
PHASE 3B (AO-10),1983-058B,2024-07-05T20:09:14.267808,2.05866253,.6033922,27.4278,336.1245,282.3100,19.8282,0,U,14129,999,28084,0,-.255E-5,0
UOSAT 2 (UO-11),1984-021B,2024-07-07T19:38:26.401632,14.86828852,.0008497,97.7056,158.4724,20.5394,339.6162,0,U,14781,999,17255,.2138E-3,.1855E-4,0
LUSAT (LO-19),1990-005G,2024-07-07T09:28:27.954336,14.33566143,.0012618,98.8827,180.1938,123.5580,236.6810,0,U,20442,999,80067,.94576E-4,.215E-5,0
EYESAT A (AO-27),1993-061C,2024-07-07T09:38:53.290752,14.30517186,.0008818,98.7873,242.3874,27.2159,332.9483,0,U,22825,999,60550,.84055E-4,.174E-5,0
ITAMSAT (IO-26),1993-061D,2024-07-07T14:02:18.354624,14.30900942,.000904,98.7820,242.4365,11.8119,348.3273,0,U,22826,999,60581,.96337E-4,.208E-5,0
RADIO ROSTO (RS-15),1994-085A,2024-07-07T20:48:52.168608,11.27577645,.0149676,64.8187,10.3244,139.8152,221.3952,0,U,23439,999,21621,-.23591E-5,-.43E-6,0
JAS-2 (FO-29),1996-046B,2024-07-07T19:44:58.088256,13.53191969,.0350753,98.5803,121.7739,134.6880,228.3410,0,U,24278,999,37747,.28959E-4,-.4E-7,0
TECHSAT 1B (GO-32),1998-043D,2024-07-07T21:27:31.913568,14.24065791,.0002397,98.9225,156.9273,94.3961,265.7491,0,U,25397,999,35058,.80614E-4,.139E-5,0
ISS (ZARYA),1998-067A,2024-07-08T04:17:24.367200,15.49669027,.0010403,51.6395,211.3296,43.4163,74.3482,0,U,25544,999,46180,.24276E-3,.13283E-3,0
PCSAT (NO-44),2001-043C,2024-07-07T12:59:45.861792,14.31270318,.0007464,67.0515,278.9678,277.0414,82.9838,0,U,26931,999,18886,.12974E-3,.261E-5,0
