OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
UNKNOWN,,2024-07-06T07:09:21.635712,9.24978274,.2642181,66.1044,307.2463,298.3486,37.6049,0,U,81036,999,35400,.1248E-1,.6008E-4,0
UNKNOWN,,2024-07-04T15:11:10.953888,13.72258872,.0605285,65.7763,267.9426,204.9422,152.1243,0,U,81052,999,52781,.29504E-2,.10247E-3,0
UNKNOWN,,2024-07-06T21:11:04.208640,13.54425880,.0059822,100.3275,56.0230,247.2960,112.1844,0,U,81069,999,44483,.52915E-2,.3604E-4,0
UNKNOWN,,2024-07-05T21:49:55.812864,11.22070642,.0178956,65.1165,9.5608,123.1064,25.1249,0,U,81078,999,43572,.11028E-1,.327E-5,0
UNKNOWN,,2024-07-07T13:01:27.215040,7.26819265,.403358,62.8721,138.3893,336.8797,9.1713,0,U,81111,999,23308,.54384E-2,.30685E-3,0
UNKNOWN,1970-025,2024-07-06T01:31:32.773728,13.79704739,.0002128,100.0084,234.1813,16.8664,343.2556,0,U,81123,999,53387,.13167E-2,.1311E-4,0
UNKNOWN,,2024-07-07T03:44:49.252704,12.92701369,.0024017,90.2505,352.1089,324.1492,35.8013,0,U,81134,999,39495,.60022E-3,.17E-5,0
UNKNOWN,,2024-07-05T20:58:11.172288,13.73670274,.0064261,100.4120,336.4898,173.3792,186.8217,0,U,81161,999,48401,.10851E-2,.977E-5,0
UNKNOWN,1981-053,2024-07-04T08:23:01.781088,13.80877981,.0020523,82.9257,41.2437,258.6408,101.2446,0,U,81219,999,53484,.64424E-3,.695E-5,0
UNKNOWN,,2024-06-13T10:17:05.626176,14.29042416,.0080448,70.5297,54.7313,101.3968,259.6209,0,U,81228,999,54753,.26495E-2,.6905E-4,0
UNKNOWN,1970-025,2024-07-01T10:24:50.029632,13.97462329,.0074049,100.3869,168.6711,25.5122,334.9662,0,U,81254,999,53885,.41381E-2,.5905E-4,0
UNKNOWN,,2024-07-05T14:21:42.037344,14.84189077,.0066887,99.4171,321.0479,129.8269,230.8853,0,U,81264,999,1038,.43146E-2,.37664E-3,0
UNKNOWN,,2024-07-07T05:36:01.265472,14.17192655,.0215968,98.1696,284.1000,115.3739,246.9969,0,U,81279,999,38836,.85765E-3,.2137E-4,0
UNKNOWN,,2024-07-07T05:11:42.583776,13.76151361,.009556,66.7593,105.7662,225.9067,289.4195,0,U,81301,999,53430,.35484E-3,.283E-5,0
UNKNOWN,1990-105,2024-07-05T08:00:09.630720,14.55001931,.0133409,98.7977,212.0749,287.0413,84.5151,0,U,81311,999,56314,.16569E-3,.744E-5,0
UNKNOWN,1980-089,2024-07-04T21:56:07.753632,13.37598593,.0206845,67.1366,254.0689,40.7055,134.4162,0,U,81317,999,51829,.22128E-3,.67E-6,0
UNKNOWN,,2024-07-07T06:36:22.745664,14.23509920,.0432854,65.7623,29.3596,232.5544,123.5428,0,U,81323,999,3787,.12471E-2,.7479E-4,0
UNKNOWN,,2024-07-07T10:23:32.985024,12.92932665,.0383594,99.5154,193.8571,254.0393,101.8137,0,U,81341,999,45567,.15462E-1,.5828E-4,0
UNKNOWN,,2024-07-02T18:05:30.966432,14.13419739,.014539,70.8931,352.9135,84.7323,277.0368,0,U,81342,999,54307,.45294E-2,.9384E-4,0
UNKNOWN,,2024-07-07T13:05:47.405184,14.93484458,.0009223,85.8763,117.0215,2.2676,357.8592,0,U,81343,999,37593,.61753E-3,.6529E-4,0
UNKNOWN,,2024-07-07T10:00:38.854368,15.35652732,.0068844,97.3657,47.4589,316.6171,42.9666,0,U,81357,999,45835,.19425E-2,.73311E-3,0
UNKNOWN,,2024-07-07T09:05:36.951360,13.77183649,.0122272,66.7977,223.1722,317.7769,41.3934,0,U,81359,999,53336,.77117E-3,.733E-5,0
UNKNOWN,,2024-07-06T09:22:26.556096,13.42171866,.0736286,65.8819,230.8853,333.0812,23.3740,0,U,81366,999,99574,.51444E-3,.1438E-4,0
UNKNOWN,,2024-07-07T02:06:43.065216,14.63705997,.0079089,98.8588,239.0716,186.6712,173.3443,0,U,81371,999,56504,.63471E-3,.34E-4,0
UNKNOWN,,2024-07-07T07:35:30.169824,14.25209973,.0108474,71.0536,43.6570,185.5475,174.4462,0,U,81386,999,54932,.18041E-2,.4465E-4,0
UNKNOWN,,2024-07-07T07:21:59.721408,12.35425446,.0178954,103.1263,36.9415,342.2080,17.2765,0,U,81390,999,43544,.27911E-2,.32E-5,0
UNKNOWN,,2024-07-06T14:20:33.699264,13.75128257,.0042297,100.4311,120.0181,298.2775,237.6721,0,U,81392,999,52993,.37403E-2,.3551E-4,0
