OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
METOP-B,2012-049A,2026-02-01T21:32:28.407264,14.21431745,.00026703,98.6717,86.9705,39.1635,320.9736,0,U,38771,999,69404,.81577973E-4,.135E-5,0
SARAL,2013-009A,2026-02-01T21:59:55.934304,14.32779596,.00015925,98.5525,221.1835,3.3057,356.8137,0,U,39086,999,67623,.60824612E-4,.122E-5,0
METOP-C,2018-087A,2026-02-01T22:09:52.291296,14.21507721,.00014343,98.6843,94.8885,151.6588,208.4668,0,U,43689,999,37561,.76280262E-4,.123E-5,0
OTB-3-GAZELLE,2022-127A,2026-02-01T22:50:45.283200,14.42624956,.0012121,98.3865,26.7749,233.7504,126.2566,0,U,54023,999,17486,.43543085E-4,.101E-5,0
EOS-6 (OCEANSAT-3),2022-158A,2026-02-01T23:25:47.346816,14.47025987,.00016417,98.3513,133.0142,54.8330,305.3016,0,U,54361,999,16828,.11276458E-3,.367E-5,0
KINEIS-1B,2024-114A,2026-02-01T22:43:27.117696,14.80312654,.00029647,97.9953,57.7245,149.1659,210.9728,0,U,60079,999,8739,.14683427E-3,.1066E-4,0
KINEIS-1C,2024-114C,2026-02-01T23:31:50.434176,14.80313598,.00003483,97.9971,57.5758,119.6861,240.4386,0,U,60081,999,8737,.14476833E-3,.105E-4,0
KINEIS-1D,2024-114D,2026-02-01T22:47:14.981280,14.76045338,.00001074,97.9990,54.5099,223.3210,136.7991,0,U,60082,999,8717,.12956668E-3,.842E-5,0
KINEIS-1E,2024-114E,2026-02-01T23:56:45.014208,14.80320139,.00016071,97.9959,57.6781,132.9437,227.1909,0,U,60083,999,8738,.18976871E-3,.1394E-4,0
KINEIS-1A,2024-114F,2026-02-01T23:08:42.156384,14.80339782,.00031199,97.9962,57.7637,182.7610,177.3586,0,U,60084,999,8738,.26502231E-3,.1968E-4,0
KINEIS-3C,2024-172A,2026-02-01T19:54:22.726080,14.72308783,.00021191,98.0282,124.2701,167.5255,192.6005,0,U,61220,999,7315,.37361585E-3,.2312E-4,0
KINEIS-3D,2024-172B,2026-02-01T19:45:02.276928,14.72318535,.00012871,98.0280,124.2750,167.3740,192.7500,0,U,61221,999,7343,.36981255E-3,.2289E-4,0
KINEIS-3E,2024-172C,2026-02-01T19:20:36.664224,14.72300734,.00010476,98.0275,124.2577,124.7723,235.3583,0,U,61222,999,7343,.35601955E-3,.2201E-4,0
