OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
BEIDOU-2 IGSO-1 (C06),2010-036A,2026-03-15T15:46:16.336992,1.00250003,.00546835,54.2921,163.8094,219.5216,130.6435,0,U,36828,999,5715,0,-.139E-5,0
BEIDOU-2 G4 (C04),2010-057A,2026-03-16T05:46:05.511648,1.00272392,.00080429,3.4144,69.4723,213.4525,137.4610,0,U,37210,999,5635,0,-.11E-5,0
BEIDOU-2 IGSO-2 (C07),2010-068A,2026-03-15T23:30:53.304768,1.00259212,.00476974,47.7129,272.9833,212.7110,146.9645,0,U,37256,999,5585,0,-.154E-5,0
BEIDOU-2 IGSO-3 (C08),2011-013A,2026-03-15T21:12:37.848096,1.00291075,.0034834,62.2862,41.0330,190.2365,7.1560,0,U,37384,999,5472,0,-.15E-5,0
BEIDOU-2 IGSO-4 (C09),2011-038A,2026-03-15T15:52:34.845888,1.00264141,.01555243,54.5888,166.5204,231.1030,107.8479,0,U,37763,999,5370,0,-.88E-6,0
BEIDOU-2 IGSO-5 (C10),2011-073A,2026-03-15T16:06:35.302752,1.00270056,.01089688,47.8492,272.6997,220.9942,16.2509,0,U,37948,999,5219,0,-.91E-6,0
BEIDOU-2 G5 (C05),2012-008A,2026-03-16T05:17:15.776736,1.00270370,.00136156,3.3402,70.2340,257.5826,344.0333,0,U,38091,999,5143,0,.59E-6,0
BEIDOU-2 M3 (C11),2012-018A,2026-03-14T03:31:59.670624,1.86230226,.0021028,55.8387,308.0798,279.8412,79.9804,0,U,38250,999,9417,0,-.25E-6,0
BEIDOU-2 M4 (C12),2012-018B,2026-03-15T03:40:45.744672,1.86229933,.00121801,55.7384,307.2675,287.3943,72.5336,0,U,38251,999,9419,0,-.19E-6,0
BEIDOU-2 M6 (C14),2012-050B,2026-03-14T07:50:08.083680,1.86231068,.00141649,56.4625,66.0292,342.6932,17.2813,0,U,38775,999,9154,0,.19E-6,0
BEIDOU-2 G6 (C02),2012-059A,2026-03-16T01:58:49.806624,1.00275484,.0010554,4.1839,74.5143,306.9830,265.8536,0,U,38953,999,4897,0,-.173E-5,0
BEIDOU-3S IGSO-1S (C31),2015-019A,2026-03-15T14:03:26.944128,1.00271539,.00358483,49.3704,296.5893,190.2999,353.5432,0,U,40549,999,4013,0,-.137E-5,0
BEIDOU-3S M2S (C58),2015-037A,2026-03-15T21:27:34.064928,1.86232225,.00084244,54.9529,305.2596,278.4084,81.5573,0,U,40748,999,7238,0,-.15E-6,0
BEIDOU-3S M1S (C57),2015-037B,2026-03-15T00:56:27.744864,1.86254832,.00046824,54.9501,305.2769,36.1648,323.9265,0,U,40749,999,7237,0,-.17E-6,0
BEIDOU-2 IGSO-6 (C13),2016-021A,2026-03-15T20:53:49.057152,1.00276403,.0059276,60.1025,38.9662,233.2733,310.4463,0,U,41434,999,3654,0,-.131E-5,0
BEIDOU-2 G7 (C03),2016-037A,2026-03-16T02:43:51.686688,1.00274559,.00076842,1.4884,68.3327,346.8876,270.0097,0,U,41586,999,595,0,-.353E-5,0
BEIDOU-3 M1 (C19),2017-069A,2026-03-15T16:51:59.927616,1.86231218,.00124986,56.6113,66.1623,310.5157,49.3971,0,U,43001,999,5686,0,.24E-6,0
BEIDOU-3 M2 (C20),2017-069B,2026-03-15T15:23:27.962304,1.86230978,.00098715,56.6103,66.1997,329.6496,30.3152,0,U,43002,999,5685,0,.24E-6,0
BEIDOU-3 M7 (C27),2018-003A,2026-03-15T22:04:56.429184,1.86232720,.00048473,54.4104,305.5685,71.9317,288.1816,0,U,43107,999,5561,0,-.17E-6,0
BEIDOU-3 M8 (C28),2018-003B,2026-03-15T20:46:40.812096,1.86231232,.00028848,54.4033,305.5527,295.5451,64.4855,0,U,43108,999,5562,0,-.17E-6,0
BEIDOU-3 M4 (C22),2018-018A,2026-03-15T18:30:18.147168,1.86231156,.00070309,56.5703,66.2272,351.0447,8.9646,0,U,43207,999,5500,0,.24E-6,0
BEIDOU-3 M3 (C21),2018-018B,2026-03-13T03:39:54.144864,1.86231479,.00100397,56.5674,66.3171,319.6425,40.3052,0,U,43208,999,5495,0,.12E-6,0
BEIDOU-3 M9 (C29),2018-029A,2026-03-15T12:25:37.685856,1.86228388,.00009492,54.2784,303.2259,29.3442,330.7203,0,U,43245,999,5415,0,-.13E-6,0
BEIDOU-3 M10 (C30),2018-029B,2026-03-15T23:44:59.960832,1.86229355,.00052122,54.2753,303.2363,25.9954,334.0906,0,U,43246,999,5414,0,-.12E-6,0
BEIDOU-2 IGSO-7 (C16),2018-057A,2026-03-15T16:22:28.755264,1.00280389,.01008912,55.1857,163.8773,236.8280,130.9685,0,U,43539,999,2819,0,-.142E-5,0
BEIDOU-3 M5 (C23),2018-062A,2026-03-16T05:07:43.704192,1.86228991,.00026046,54.0870,185.4651,298.9167,61.0425,0,U,43581,999,5190,0,-.3E-7,0
BEIDOU-3 M6 (C24),2018-062B,2026-03-14T11:10:45.623712,1.86227846,.00058914,54.0871,185.5136,41.2236,318.8045,0,U,43582,999,5187,0,-.13E-6,0
BEIDOU-3 M12 (C26),2018-067A,2026-03-15T11:28:31.344384,1.86227955,.00084868,54.1821,184.2178,39.2102,320.8374,0,U,43602,999,5137,0,-.9E-7,0
BEIDOU-3 M11 (C25),2018-067B,2026-03-16T03:35:50.043264,1.86227341,.00048924,54.1791,184.1586,31.8356,328.1815,0,U,43603,999,5141,0,-.4E-7,0
BEIDOU-3 M13 (C32),2018-072A,2026-03-15T00:45:38.855808,1.86231337,.00090682,56.5429,65.7646,308.7674,51.1738,0,U,43622,999,5090,0,.21E-6,0
BEIDOU-3 M14 (C33),2018-072B,2026-03-15T23:18:19.901952,1.86231312,.000659,56.5455,65.7280,330.0976,29.8854,0,U,43623,999,5091,0,.23E-6,0
BEIDOU-3 M16 (C35),2018-078A,2026-03-15T01:17:37.112064,1.86232398,.00084608,54.1747,303.2868,32.7335,327.3774,0,U,43647,999,5040,0,-.15E-6,0
BEIDOU-3 M15 (C34),2018-078B,2026-03-15T17:17:00.559968,1.86232511,.00054343,54.1705,303.2647,40.5213,319.5785,0,U,43648,999,5043,0,-.13E-6,0
BEIDOU-3 G1 (C59),2018-085A,2026-03-13T07:30:13.029120,1.00265903,.00020953,2.8312,100.0786,8.4898,314.8220,0,U,43683,999,2709,0,-.279E-5,0
BEIDOU-3 M17 (C36),2018-093A,2026-03-16T03:52:48.224928,1.86228405,.00074024,54.1705,185.4525,294.8983,253.9284,0,U,43706,999,4980,0,-.4E-7,0
BEIDOU-3 M18 (C37),2018-093B,2026-03-15T04:55:45.316704,1.86226821,.00061144,54.1714,185.4769,336.1763,23.7792,0,U,43707,999,4978,0,-.1E-6,0
BEIDOU-3 IGSO-1 (C38),2019-023A,2026-03-16T07:16:41.822976,1.00267435,.00254653,58.5707,38.6054,236.0673,127.2654,0,U,44204,999,628,0,-.19E-5,0
BEIDOU-2 G8 (C01),2019-027A,2026-03-16T07:24:26.080416,1.00273126,.00114722,1.4210,74.2623,275.2047,80.0498,0,U,44231,999,2514,0,-.246E-5,0
BEIDOU-3 IGSO-2 (C39),2019-035A,2026-02-26T16:31:51.989952,1.00247364,.00387345,55.2338,159.8353,206.4752,153.7223,0,U,44337,999,2456,0,-.176E-5,0
BEIDOU-3 M24 (C46),2019-061A,2026-03-15T19:29:32.904096,1.86229122,.00084178,54.3984,185.8764,18.1749,341.8389,0,U,44542,999,4405,0,-.6E-7,0
BEIDOU-3 M23 (C45),2019-061B,2026-03-14T10:50:42.842400,1.86227431,.00049236,54.3970,185.8909,10.3958,69.7972,0,U,44543,999,4403,0,-.12E-6,0
BEIDOU-3 IGSO-3 (C40),2019-073A,2026-03-10T23:36:11.529792,1.00267242,.00407281,54.9673,281.9576,188.7089,171.2538,0,U,44709,999,2347,0,-.143E-5,0
BEIDOU-3 M22 (C44),2019-078A,2026-03-15T15:37:57.599040,1.86232320,.00074641,54.0201,303.1200,38.3370,321.7751,0,U,44793,999,4290,0,-.13E-6,0
BEIDOU-3 M21 (C43),2019-078B,2026-03-15T06:06:02.814336,1.86228014,.0005489,53.9940,303.0970,34.0621,326.0316,0,U,44794,999,4290,0,-.14E-6,0
BEIDOU-3 M19 (C41),2019-090A,2026-03-15T02:17:25.101888,1.86231813,.00204046,56.4771,65.8991,291.9331,158.2804,0,U,44864,999,4248,0,.21E-6,0
BEIDOU-3 M20 (C42),2019-090B,2026-03-14T07:15:32.481792,1.86231612,.00178692,56.4780,65.9600,303.3279,64.8469,0,U,44865,999,4245,0,.19E-6,0
BEIDOU-3 G2 (C60),2020-017A,2026-03-16T03:40:40.041408,1.00272143,.00027359,2.6763,45.7720,324.4942,298.6967,0,U,45344,999,2232,0,-.139E-5,0
BEIDOU-3 G3 (C61),2020-040A,2026-03-16T02:43:51.686688,1.00269792,.00048631,2.2169,67.1521,325.8528,292.1820,0,U,45807,999,2113,0,-.352E-5,0
BEIDOU-3 G4 (C62),2023-066A,2026-03-13T04:10:32.176992,1.00272296,.00026474,0.6336,312.1088,153.4351,287.9442,0,U,56564,999,1043,0,-.111E-5,0
BEIDOU-3 M28 (C50),2023-207A,2026-03-15T20:50:45.901248,1.86229798,.00049908,55.6714,65.4497,306.6662,53.3086,0,U,58654,999,1510,0,.19E-6,0
BEIDOU-3 M26 (C48),2023-207B,2026-03-16T04:52:21.469728,1.86229709,.00057048,55.6737,65.4246,291.9335,68.0257,0,U,58655,999,1509,0,.19E-6,0
BEIDOU-3 M25 (C47),2024-168B,2026-03-15T16:58:57.811584,1.86230215,.00041241,54.5560,305.4923,319.2855,185.5687,0,U,61186,999,1004,0,-.17E-6,0
BEIDOU-3 M27 (C49),2024-168C,2026-03-16T02:19:22.493568,1.86230338,.00029234,54.5512,305.4620,23.0675,157.7030,0,U,61187,999,752,0,-.16E-6,0
