OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
COSMOS 2251,1993-036A,2026-03-16T05:00:03.946464,14.33236317,.00253426,74.0395,145.1072,209.4962,150.4761,0,U,22675,999,71112,.41827134E-4,.89E-6,0
COSMOS 2251 DEB,1993-036E,2026-03-15T23:55:05.139264,14.32607938,.00141754,74.0372,153.3676,152.4201,24.0190,0,U,33757,999,89331,.35658489E-4,.71E-6,0
COSMOS 2251 DEB,1993-036F,2026-03-16T06:09:50.254560,14.52362661,.0013913,74.0285,38.7707,88.8407,337.2322,0,U,33758,999,89662,.85476052E-3,.3458E-4,0
COSMOS 2251 DEB,1993-036H,2026-03-16T05:07:40.135872,14.35739383,.00207088,74.0297,109.9016,192.8599,236.3983,0,U,33760,999,89466,.85725306E-4,.222E-5,0
COSMOS 2251 DEB,1993-036J,2026-03-16T04:38:32.136864,14.42848966,.00216164,74.0337,78.7292,144.5941,300.4080,0,U,33761,999,89582,.33616709E-3,.1099E-4,0
COSMOS 2251 DEB,1993-036K,2026-03-16T05:10:28.544160,14.33698136,.0015366,74.0410,139.1338,186.8116,229.1002,0,U,33762,999,89387,.4909308E-4,.11E-5,0
COSMOS 2251 DEB,1993-036M,2026-03-16T05:23:00.812544,14.39722503,.00210425,74.0311,100.0067,37.4835,40.0166,0,U,33764,999,89502,.25651903E-3,.779E-5,0
COSMOS 2251 DEB,1993-036N,2026-03-16T04:34:12.442656,15.17630699,.00553416,74.0044,338.8740,44.9407,315.6248,0,U,33765,999,91032,.18959241E-2,.39877E-3,0
COSMOS 2251 DEB,1993-036P,2026-03-16T03:31:08.756832,14.35283681,.00635605,74.1875,325.3085,143.3226,217.2304,0,U,33766,999,89085,.48811124E-3,.1406E-4,0
COSMOS 2251 DEB,1993-036R,2026-03-16T06:33:26.595072,13.58555737,.03683102,74.0666,68.8861,206.2384,163.8548,0,U,33768,999,84566,.31993691E-3,.342E-5,0
COSMOS 2251 DEB,1993-036U,2026-03-16T05:17:00.983328,14.72895048,.00128566,74.0468,349.0360,352.7198,135.4363,0,U,33779,999,89903,.14169072E-2,.9071E-4,0
