OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
CUTE-1 (CO-55),2003-031E,2026-03-15T22:57:36.932544,14.24271605,.00107621,98.6777,84.6777,96.1930,264.0475,0,U,27844,999,17840,.16452139E-3,.336E-5,0
CUBESAT XI-IV (CO-57),2003-031J,2026-03-15T18:11:36.689856,14.23565715,.00105547,98.6806,84.2692,112.9186,247.3108,0,U,27848,999,17808,.14100468E-3,.277E-5,0
CUBESAT XI-V,2005-043F,2026-03-15T23:14:11.448384,14.72348745,.00150631,98.2841,228.7114,138.5936,221.6416,0,U,28895,999,8803,.27535971E-3,.1692E-4,0
CUTE-1.7+APD II (CO-65),2008-021C,2026-03-16T05:08:48.445440,15.08473480,.00088835,97.8210,54.8033,357.3882,2.7298,0,U,32785,999,97117,.43508854E-3,.6722E-4,0
CANX-2,2008-021H,2026-03-15T21:23:07.950336,15.04865881,.00106791,97.8554,52.9474,7.6620,352.4767,0,U,32790,999,97077,.37158963E-3,.5196E-4,0
SEEDS II (CO-66),2008-021J,2026-03-15T22:35:02.243616,15.29374329,.00005833,97.7513,68.6327,315.1203,44.9989,0,U,32791,999,97302,.61754925E-3,.17534E-3,0
SWISSCUBE,2009-051B,2026-03-16T04:24:04.758624,14.62278521,.00075055,98.4095,341.4414,133.9666,226.2155,0,U,35932,999,87556,.2556825E-3,.1241E-4,0
BEESAT-1,2009-051C,2026-03-15T19:16:23.778336,14.61547690,.00057137,98.4025,340.8821,145.5133,214.6439,0,U,35933,999,87554,.19682674E-3,.928E-5,0
ITUPSAT1,2009-051E,2026-03-16T04:36:48.156192,14.60282734,.00077148,98.4111,340.5657,157.9119,202.2414,0,U,35935,999,87516,.20305477E-3,.932E-5,0
TISAT 1,2010-035E,2026-03-16T01:04:12.497376,15.27946821,.00021721,98.0645,13.6483,150.5866,209.5495,0,U,36799,999,85346,.68683182E-3,.18677E-3,0
AEROCUBE 4.5A,2012-048K,2026-03-16T02:57:21.060288,15.63396771,.00397192,64.6386,357.6425,210.0761,149.8105,0,U,38767,999,35799,.97863883E-3,.95332E-3,0
STRAND-1,2013-009E,2026-03-15T23:16:36.106176,14.37100505,.00093538,98.3893,257.5055,144.0308,216.1510,0,U,39090,999,68367,.12598634E-3,.332E-5,0
BRITE-AUSTRIA,2013-009F,2026-03-16T06:59:33.618048,14.36500329,.00107558,98.3962,257.0338,152.0746,208.1020,0,U,39091,999,68371,.93560875E-4,.232E-5,0
NEE-01 PEGASO,2013-018B,2026-03-15T22:22:54.845472,14.93143975,.00139746,98.1055,216.1124,110.7825,249.4892,0,U,39151,999,69678,.34917657E-3,.3588E-4,0
POPACS 2,2013-055E,2026-03-15T21:33:07.714944,14.88200775,.04294656,80.9890,250.7611,133.0305,230.7741,0,U,39269,999,64932,.49100592E-3,.28434E-3,0
POPACS 3,2013-055F,2026-03-15T11:02:27.792960,14.54155002,.05591807,81.0050,330.6820,355.1977,4.3970,0,U,39270,999,62492,.37358014E-3,.1547E-3,0
ZACUBE-1 (TSHEPISOSAT),2013-066B,2026-03-16T03:10:53.565024,15.00390975,.00432835,97.8156,36.9877,198.5806,161.3839,0,U,39417,999,66677,.27392804E-3,.3445E-4,0
WNISAT-1,2013-066H,2026-03-16T00:20:15.575424,14.57897409,.01640007,97.7050,230.8617,164.9534,195.6631,0,U,39423,999,65315,.26817161E-3,.1431E-4,0
TRITON-1,2013-066M,2026-03-16T06:59:40.098048,14.81234394,.00906434,97.8289,347.2292,176.1632,184.0297,0,U,39427,999,66033,.20012252E-3,.1616E-4,0
GOMX-1,2013-066Q,2026-03-16T07:05:01.798080,14.69125465,.01297871,97.6568,281.5883,16.4137,344.1212,0,U,39430,999,65627,.28177992E-3,.1833E-4,0
CUBEBUG-2 (LO-74),2013-066AA,2026-03-15T19:06:55.607616,14.93035357,.00578486,97.8815,23.4787,338.8041,21.0781,0,U,39440,999,66305,.51439189E-3,.5468E-4,0
NEE-02 KRYSAOR,2013-066AB,2026-03-15T18:34:45.092064,14.86207948,.00672194,97.8820,14.7198,17.3813,342.9681,0,U,39441,999,66232,.36036705E-3,.3239E-4,0
FUNCUBE-1 (AO-73),2013-066AE,2026-03-15T21:05:04.288704,15.08026217,.00379201,97.8184,44.5223,158.4050,201.8787,0,U,39444,999,66559,.46681101E-3,.7241E-4,0
