OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
PROBA-1,2001-049B,2026-02-01T23:11:54.445632,15.06819102,.00547723,97.9597,36.8279,218.9590,140.7685,0,U,26958,999,32325,.21846327E-3,.3295E-4,0
CUTE-1 (CO-55),2003-031E,2026-02-01T22:42:08.764992,14.24233978,.00089666,98.6771,43.1922,213.0400,147.0219,0,U,27844,999,17242,.17972633E-3,.371E-5,0
CUBESAT XI-IV (CO-57),2003-031J,2026-02-01T22:29:55.668768,14.23533904,.00086198,98.6800,43.0050,232.6069,127.4325,0,U,27848,999,17213,.15539674E-3,.31E-5,0
APRIZESAT 4,2009-041D,2026-02-01T18:37:44.690880,14.83631834,.00443102,98.1558,105.3467,42.0888,318.3714,0,U,35684,999,89128,.12301838E-3,.973E-5,0
APRIZESAT 3,2009-041F,2026-02-01T22:08:48.980832,14.95715053,.00627121,98.1829,179.8778,152.9759,207.4749,0,U,35686,999,89615,.17542304E-3,.1964E-4,0
PROBA-2,2009-059B,2026-02-01T22:54:51.445440,14.54762219,.00127507,98.2399,218.1923,343.4170,16.6609,0,U,36037,999,86186,.85652215E-4,.322E-5,0
APRIZESAT 5,2011-044E,2026-02-01T17:45:24.871680,14.80733425,.00539436,98.2388,322.0398,79.1081,281.6194,0,U,37792,999,77874,.18099619E-3,.1369E-4,0
APRIZESAT 6,2011-044F,2026-02-01T23:27:07.155360,14.76673147,.00437248,98.2447,300.6846,156.8874,266.1718,0,U,37793,999,77719,.13212352E-3,.882E-5,0
PROBA-V,2013-021A,2026-02-01T21:21:20.205216,14.23563750,.00045178,98.3448,18.2750,154.1293,206.0114,0,U,39159,999,66186,.50673277E-4,.74E-6,0
APRIZESAT 7,2013-066A,2026-02-01T19:49:46.093152,14.91141849,.00346931,97.7542,348.1679,301.6153,58.1681,0,U,39416,999,66105,.21628361E-3,.2112E-4,0
APRIZESAT 8,2013-066K,2026-02-01T19:08:14.978112,14.87293806,.00466473,97.8067,342.3152,13.3920,346.8522,0,U,39425,999,65954,.20233292E-3,.1804E-4,0
BUGSAT-1 (TITA),2014-033E,2026-02-01T22:54:50.488992,15.14013064,.00278297,98.0493,117.7504,282.9984,76.8139,0,U,40014,999,63536,.32204362E-3,.5829E-4,0
SAUDISAT 4,2014-033G,2026-02-01T22:00:55.599552,14.79306633,.00456339,97.7347,183.9157,152.1885,208.1781,0,U,40016,999,62607,.15286583E-3,.1106E-4,0
APRIZESAT 9,2014-033J,2026-02-01T22:13:50.006208,14.73987644,.00650945,97.8829,169.6250,275.3382,84.0402,0,U,40018,999,62363,.13511124E-3,.865E-5,0
APRIZESAT 10,2014-033K,2026-02-01T22:46:11.781408,14.70690465,.00786989,97.9437,163.1117,346.6432,13.2690,0,U,40019,999,62237,.95161317E-4,.555E-5,0
TECHDEMOSAT-1 (TDS-1),2014-037H,2026-02-01T21:37:19.964064,15.10707630,.00072353,98.3718,12.0398,20.9091,339.2431,0,U,40076,999,62778,.62142982E-3,.10234E-3,0
TECHNOSAT,2017-042E,2026-02-01T23:16:01.290432,15.03931065,.00176655,97.4090,195.9985,189.7947,170.2938,0,U,42829,999,46637,.28104757E-3,.383E-4,0
FLYING LAPTOP,2017-042G,2026-02-01T23:09:15.155136,15.00261966,.00151757,97.4204,194.2515,220.0248,139.9859,0,U,42831,999,46617,.31906437E-3,.3948E-4,0
HAWK-A,2018-099H,2026-02-01T16:04:27.022944,15.22605180,.00374817,97.4130,86.7185,43.9526,316.4681,0,U,43765,999,39246,.29867742E-3,.7006E-4,0
HAWK-B,2018-099AN,2026-02-01T19:11:14.265024,15.20956249,.00347382,97.4176,86.5289,59.8724,300.5947,0,U,43794,999,39244,.28117686E-3,.6259E-4,0
HAWK-C,2018-099AT,2026-02-01T22:28:28.292448,15.25674650,.00437954,97.4107,87.2669,45.2917,315.1875,0,U,43799,999,39327,.31869212E-3,.8268E-4,0
