OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
EUTELSAT 139 WEST A,2004-008A,2026-02-18T10:50:07.111680,1.00838252,.00010169,5.5259,73.4451,121.5055,50.2933,0,U,28187,999,8016,0,-.273E-5,0
EUTELSAT 174A,2005-052A,2026-02-18T10:11:38.603040,1.00270638,.00061259,3.9156,78.0165,252.6873,144.5463,0,U,28924,999,5114,0,.14E-6,0
EUTELSAT 33F,2006-032A,2026-02-18T04:46:38.543808,1.00265795,.00033385,1.3524,83.6857,242.1716,287.0562,0,U,29270,999,4611,0,.16E-5,0
EUTELSAT HOTBIRD 13C,2008-065A,2026-02-18T10:54:29.193120,1.00274077,.00035612,2.6433,80.6362,256.0526,285.0198,0,U,33459,999,4615,0,-.277E-5,0
EUTELSAT 36B,2009-065A,2026-02-18T06:08:38.577984,1.00271061,.0005747,0.1888,76.3393,255.0527,319.4576,0,U,36101,999,5951,0,.117E-5,0
EUTELSAT KA-SAT 9A,2010-069A,2026-02-18T07:46:02.259264,1.00271677,.00020193,0.0535,4.4699,131.6485,137.6277,0,U,37258,999,4281,0,.66E-6,0
EUTELSAT 7 WEST A,2011-051A,2026-02-18T09:24:00.366624,1.00272610,.00023111,0.0678,333.5002,265.7375,42.8134,0,U,37816,999,5268,0,-.55E-6,0
EUTELSAT 16A,2011-057A,2026-02-18T07:47:54.580128,1.00271370,.0005484,0.0560,354.6308,336.0998,310.4950,0,U,37836,999,614,0,.108E-5,0
EUTELSAT 21B,2012-062B,2026-02-18T07:49:31.924416,1.00271136,.00028694,0.0684,0.7579,324.9940,321.4788,0,U,38992,999,4863,0,.135E-5,0
EUTELSAT 70B,2012-069A,2026-02-18T14:36:16.530624,1.00272872,.00025039,0.0673,336.7068,323.5174,137.8812,0,U,39020,999,4832,0,-.38E-6,0
EUTELSAT 117 WEST A,2013-012A,2026-02-18T10:35:31.011360,1.00271900,.00030741,0.0167,249.4288,88.4397,212.6204,0,U,39122,999,4724,0,0,0
EUTELSAT 7B,2013-022A,2026-02-18T06:02:45.078432,1.00271746,.00061103,0.0693,345.8660,2.2471,257.7623,0,U,39163,999,4675,0,.53E-6,0
EXPRESS-AT1,2014-010A,2026-02-18T16:32:54.158208,1.00270799,.0000368,0.0444,275.2674,305.2568,232.3255,0,U,39612,999,4362,0,.84E-6,0
EXPRESS-AT2,2014-010B,2026-02-18T11:48:39.000384,1.00269514,.00017624,0.0206,130.3312,139.1293,196.0137,0,U,39613,999,4331,0,0,0
EUTELSAT 3B,2014-030A,2026-02-18T09:27:00.080352,1.00273577,.00018291,0.0670,332.5640,280.4526,40.1800,0,U,39773,999,4287,0,.25E-6,0
EUTELSAT 115 WEST B,2015-010B,2026-02-18T11:12:02.701152,1.00273815,.00002873,0.0090,255.7695,42.5659,263.1687,0,U,40425,999,4020,0,-.2E-6,0
EUTELSAT 8 WEST B,2015-039B,2026-02-18T08:24:38.671776,1.00271625,.00039017,0.0672,2.7397,326.2211,297.4905,0,U,40875,999,3846,0,-.61E-6,0
EUTELSAT 9B,2016-005A,2026-02-18T07:46:02.259264,1.00274658,.00044496,0.0157,50.5613,256.6178,326.6079,0,U,41310,999,3692,0,.67E-6,0
EUTELSAT 65 WEST A,2016-014A,2026-02-18T10:11:14.343648,1.00271739,.0002214,0.0532,7.2804,318.7810,269.9341,0,U,41382,999,3634,0,-.271E-5,0
EUTELSAT 117 WEST B,2016-038B,2026-02-18T11:50:38.728320,1.00272621,.00000486,0.0093,260.7463,213.0533,95.3020,0,U,41589,999,3547,0,-.7E-7,0
EUTELSAT 172B,2017-029B,2026-02-18T10:11:38.603040,1.00273576,.00000583,0.0189,148.6980,1.3912,323.1848,0,U,42741,999,3254,0,-.1E-7,0
