OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
FENGYUN 1C,1999-025A,2024-07-07T10:07:55.880256,14.21112881,.0017451,98.9410,242.3529,116.8586,255.9700,0,U,25730,999,29718,.1199E-2,.2564E-4,0
FENGYUN 1C DEB,1999-025X,2024-07-07T20:43:48.838944,12.94409656,.0571513,99.2279,319.5722,326.9010,187.2457,0,U,29733,999,82351,.17605E-2,.992E-5,0
FENGYUN 1C DEB,1999-025Y,2024-07-07T14:25:30.573984,12.87980745,.0629048,99.1399,200.6870,128.7818,352.9075,0,U,29734,999,81803,.35465E-2,.2129E-4,0
FENGYUN 1C DEB,1999-025Z,2024-07-07T23:08:01.260672,12.71764628,.0710444,99.3662,187.3795,251.0901,101.1920,0,U,29735,999,80761,.26905E-2,.1494E-4,0
FENGYUN 1C DEB,1999-025AA,2024-07-07T05:52:43.069152,12.56219793,.0728639,99.4470,102.2073,239.6746,283.7272,0,U,29736,999,79967,.98353E-3,.407E-5,0
FENGYUN 1C DEB,1999-025AB,2024-07-07T07:59:36.257856,12.63306124,.0709555,99.5763,225.6607,189.5116,238.6619,0,U,29737,999,80252,.4937E-2,.2362E-4,0
FENGYUN 1C DEB,1999-025AC,2024-07-08T03:36:26.618976,12.56996641,.0864073,99.4325,86.9235,345.0271,12.6634,0,U,29738,999,79645,.24492E-2,.1679E-4,0
FENGYUN 1C DEB,1999-025AE,2024-07-07T12:45:03.302208,12.06014496,.0993884,99.0320,184.3811,159.4537,204.9612,0,U,29740,999,76620,.10441E-2,.386E-5,0
FENGYUN 1C DEB,1999-025AF,2024-07-07T22:40:47.913600,11.98969541,.1020627,99.1598,207.1443,8.0410,47.1599,0,U,29741,999,76205,.20372E-2,.733E-5,0
FENGYUN 1C DEB,1999-025AL,2024-07-03T00:38:00.237696,15.06803272,.0087723,99.6056,17.1967,227.3599,132.0204,0,U,29746,999,76529,.21436E+0,.3895141E-1,0
FENGYUN 1C DEB,1999-025AN,2024-07-04T02:34:19.983936,11.76952737,.0692752,100.2132,239.1507,244.7855,107.9832,0,U,29748,999,72502,.20242E+0,.2336E-3,0
FENGYUN 1C DEB,1999-025AQ,2024-07-07T13:02:06.826848,14.08792208,.0035845,98.8136,225.5730,340.4388,181.3295,0,U,29750,999,89704,.32977E-3,.529E-5,0
FENGYUN 1C DEB,1999-025AR,2024-07-07T14:13:46.535808,14.22801013,.008942,98.6002,225.0075,220.6229,291.8595,0,U,29751,999,90631,.19318E-3,.408E-5,0
FENGYUN 1C DEB,1999-025AU,2024-07-07T05:18:17.545824,14.15454113,.0036374,98.8783,286.2983,294.7759,94.7516,0,U,29754,999,89937,.99537E-3,.1911E-4,0
FENGYUN 1C DEB,1999-025AW,2024-07-07T18:24:10.459872,14.80155553,.0024398,99.2401,33.2758,83.6695,276.7291,0,U,29756,999,91746,.44374E-2,.33957E-3,0
FENGYUN 1C DEB,1999-025AY,2024-07-07T05:00:02.672928,14.28093538,.0025605,98.8530,285.5517,59.1941,330.9450,0,U,29758,999,90161,.24598E-2,.6094E-4,0
FENGYUN 1C DEB,1999-025BA,2024-07-07T12:43:00.989184,14.07536676,.0131376,98.7633,200.7984,209.4144,149.9587,0,U,29760,999,89730,.30153E-3,.507E-5,0
FENGYUN 1C DEB,1999-025BC,2024-07-07T22:59:37.284288,14.20973544,.0209702,98.5307,182.0105,54.5017,359.8476,0,U,29762,999,90522,.51745E-3,.1356E-4,0
FENGYUN 1C DEB,1999-025BD,2024-07-07T11:53:22.978176,14.07047847,.012815,98.7067,180.0495,216.6038,270.8323,0,U,29763,999,89689,.30242E-3,.502E-5,0
FENGYUN 1C DEB,1999-025BF,2024-07-07T13:03:55.687392,14.01894823,.0059091,98.8707,216.9493,109.8229,43.8296,0,U,29765,999,89419,.30101E-3,.423E-5,0
FENGYUN 1C DEB,1999-025BG,2024-07-07T11:50:57.510816,13.93354525,.0150976,98.6406,164.2096,298.6294,180.8186,0,U,29766,999,88506,.13817E-2,.1943E-4,0
FENGYUN 1C DEB,1999-025BH,2024-07-07T21:06:30.040704,13.95222555,.0360807,98.1808,206.2480,103.8427,351.9940,0,U,29767,999,88297,.22442E-2,.5201E-4,0
FENGYUN 1C DEB,1999-025BK,2024-07-07T16:00:55.317024,14.08681109,.0100294,99.1443,232.2018,156.7298,203.8458,0,U,29769,999,89329,.15966E-2,.2835E-4,0
FENGYUN 1C DEB,1999-025BL,2024-07-07T04:46:47.104320,14.14403979,.0066489,98.8778,260.0035,329.0835,52.9663,0,U,29770,999,89668,.14452E-2,.2781E-4,0
FENGYUN 1C DEB,1999-025BM,2024-06-17T05:45:59.640768,14.38096456,.0055935,99.6323,280.2878,280.9113,78.5780,0,U,29771,999,25185,.53159E-2,.16392E-3,0
FENGYUN 1C DEB,1999-025BN,2024-07-07T10:11:13.538400,14.00283365,.014135,98.4366,72.7356,326.7283,211.8295,0,U,29772,999,88922,.13036E-2,.2061E-4,0
FENGYUN 1C DEB,1999-025BP,2024-07-07T08:14:48.918336,14.25474482,.0048313,98.9252,324.7383,5.1888,48.5477,0,U,29773,999,90734,.29287E-3,.654E-5,0
FENGYUN 1C DEB,1999-025BQ,2024-07-07T19:03:02.312928,14.21854763,.0050921,99.0398,110.1150,179.5604,251.4254,0,U,29774,999,90645,.18674E-3,.37E-5,0
