OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
GSAT0101 (GALILEO-PFM),2011-060A,2025-11-24T03:07:29.832960,1.70475782,.00025776,57.0574,347.3256,308.2281,51.7929,0,U,37846,999,8762,0,-.63E-6,0
GSAT0102 (GALILEO-FM2),2011-060B,2025-11-23T12:26:19.930272,1.70476021,.00045199,57.0579,347.3426,304.0394,85.8850,0,U,37847,999,8762,0,-.65E-6,0
GSAT0103 (GALILEO-FM3),2012-055A,2025-11-24T04:05:08.329920,1.70473432,.00021183,55.6814,107.1766,267.1887,92.7551,0,U,38857,999,8151,0,.41E-6,0
GSAT0201 (GALILEO 5),2014-050A,2025-11-22T23:38:41.269632,1.85519713,.16459823,49.0998,281.8687,171.5338,191.6606,0,U,40128,999,7449,0,-.46E-6,0
GSAT0202 (GALILEO 6),2014-050B,2025-11-24T07:40:04.855296,1.85520268,.164673,49.1142,280.8979,172.3382,190.5634,0,U,40129,999,7668,0,-.4E-6,0
GSAT0203 (GALILEO 7),2015-017A,2025-11-22T03:33:59.192064,1.70476185,.00063928,56.8511,347.2421,265.9419,94.0320,0,U,40544,999,6567,0,-.69E-6,0
GSAT0204 (GALILEO 8),2015-017B,2025-11-21T19:37:07.053600,1.70475764,.00062096,56.8571,347.2688,257.1588,102.8194,0,U,40545,999,2871,0,-.7E-6,0
GSAT0205 (GALILEO 9),2015-045A,2025-11-24T12:27:03.551040,1.70472968,.0005761,55.0101,227.2620,37.2669,322.8561,0,U,40889,999,6352,0,.3E-6,0
GSAT0206 (GALILEO 10),2015-045B,2025-11-22T23:30:43.775712,1.70473086,.000355,55.0097,227.2995,30.7123,329.3906,0,U,40890,999,6352,0,.27E-6,0
GSAT0209 (GALILEO 12),2015-079A,2025-11-23T03:32:58.718112,1.70474429,.00023442,55.7006,106.9188,2.0968,357.8685,0,U,41174,999,6126,0,.37E-6,0
GSAT0208 (GALILEO 11),2015-079B,2025-11-21T00:31:15.859776,1.70474234,.00019561,55.6986,106.9742,13.3898,346.5776,0,U,41175,999,6164,0,.31E-6,0
GSAT0211 (GALILEO 14),2016-030A,2025-11-22T07:39:06.100704,1.70473086,.00037538,55.1598,227.3857,1.0711,359.0098,0,U,41549,999,5914,0,.25E-6,0
GSAT0210 (GALILEO 13),2016-030B,2025-11-24T08:03:55.298880,1.70473524,.00014603,55.1583,227.3284,245.8843,114.1836,0,U,41550,999,5917,0,.3E-6,0
GSAT0207 (GALILEO 15),2016-069A,2025-11-24T14:44:44.239488,1.70474322,.00020125,55.3715,106.7523,329.4426,30.5155,0,U,41859,999,5591,0,.42E-6,0
GSAT0212 (GALILEO 16),2016-069B,2025-11-23T07:04:40.570464,1.70474566,.00023823,55.3681,106.7842,38.5768,321.4050,0,U,41860,999,5614,0,.36E-6,0
