OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
TDRS 3,1988-091B,2024-07-07T07:48:39.758688,1.00264260,.0033451,13.1463,345.7820,341.3942,26.5983,0,U,19548,999,11827,0,-.306E-5,0
FLTSATCOM 8 (USA 46),1989-077A,2024-07-07T20:39:52.538400,1.00282079,.000495,12.6271,355.4267,106.8574,259.4875,0,U,20253,999,25349,0,-.373E-5,0
SKYNET 4C,1990-079A,2024-07-06T02:31:42.393792,1.00279248,.000192,13.5681,354.6667,127.0597,234.2356,0,U,20776,999,12376,0,.118E-5,0
TDRS 5,1991-054B,2024-07-07T09:27:53.847072,1.00278054,.000293,14.1598,358.9610,207.8960,158.6285,0,U,21639,999,12060,0,-.309E-5,0
TDRS 6,1993-003B,2024-07-07T21:42:02.341728,1.00269045,.0011951,14.1631,2.2594,156.3947,47.3404,0,U,22314,999,11526,0,-.303E-5,0
UFO 2 (USA 95),1993-056A,2024-07-08T03:04:23.582208,1.00271359,.0002933,11.6612,7.2670,104.4640,249.6019,0,U,22787,999,11155,0,.119E-5,0
USA 99 (MILSTAR-1 1),1994-009A,2024-07-07T14:36:28.135008,1.00270961,.0001751,16.5407,35.2387,84.9846,294.9335,0,U,22988,999,2453,0,-.209E-5,0
UFO 4 (USA 108),1995-003A,2024-07-07T19:10:13.429056,1.00275883,.0004951,9.6678,15.4099,108.4463,262.2759,0,U,23467,999,10783,0,-.28E-6,0
TDRS 7,1995-035B,2024-07-07T10:10:15.187296,1.00270324,.0027962,13.6726,353.0875,72.5115,97.7242,0,U,23613,999,10613,0,-.209E-5,0
USA 115 (MILSTAR-1 2),1995-060A,2024-07-07T14:20:25.975968,1.00272502,.0000861,13.8083,8.8830,74.9779,297.2594,0,U,23712,999,2453,0,-.28E-6,0
INMARSAT 3-F1,1996-020A,2024-07-08T02:29:03.294240,0.99979303,.0006917,9.1089,52.7352,74.5502,101.6820,0,U,23839,999,10346,0,-.127E-5,0
INMARSAT 3-F2,1996-053A,2024-07-07T11:46:42.526272,1.00003936,.0008452,8.2331,60.7717,45.3684,145.4217,0,U,24307,999,10182,0,-.27E-5,0
