OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLETTE,1975-010A,2026-02-18T14:29:17.461248,13.82348992,.02055453,49.8218,212.6690,31.2940,330.0001,0,U,7646,999,57813,-.1572049E-4,-.165E-5,0
LAGEOS 1,1976-039A,2026-02-18T09:18:22.554720,6.38664892,.00446577,109.8219,138.6714,327.7276,53.2454,0,U,8820,999,90555,0,.4E-7,0
AJISAI (EGS),1986-061A,2026-02-18T14:32:54.569760,12.44515343,.00112358,50.0083,152.0297,237.7865,208.3402,0,U,16908,999,46562,.82244559E-4,-.86E-6,0
COSMOS 1989 (ETALON 1),1989-001C,2026-02-18T04:53:58.966944,2.13156036,.00234255,64.8747,76.2642,217.5395,244.7224,0,U,19751,999,28883,0,.43E-6,0
COSMOS 2024 (ETALON 2),1989-039C,2026-02-18T12:38:05.055360,2.13204506,.00204586,65.0065,314.6260,213.5992,273.0124,0,U,20026,999,28597,0,-.24E-6,0
LAGEOS 2,1992-070B,2026-02-18T10:03:52.851744,6.47293275,.01378511,52.6818,341.7143,135.4028,342.6086,0,U,22195,999,78773,0,-.9E-7,0
STELLA,1993-061B,2026-02-18T14:28:03.436320,14.27466916,.00057154,98.7885,113.3510,214.0513,256.0992,0,U,22824,999,68785,.8503671E-5,-.24E-6,0
LARETS,2003-042F,2026-02-18T14:11:17.240928,14.63843119,.00132032,98.3978,209.4022,50.1755,310.0606,0,U,27944,999,19601,.20973256E-4,.59E-6,0
LARES,2012-006A,2026-02-18T14:45:25.312320,12.54932101,.0008116,69.4901,134.7812,170.2164,189.9022,0,U,38077,999,64219,.16086386E-4,-.36E-6,0
LARES-2,2022-080A,2026-02-15T09:33:40.080384,6.38964962,.00053519,70.1778,347.0908,2.9379,357.1213,0,U,53105,999,8388,0,-.24E-6,0
