OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
COSMOS 2433 (720),2007-052A,2026-02-18T04:38:31.488864,2.13104235,.00027958,65.6437,319.9404,270.7071,89.3142,0,U,32275,999,14252,0,-.32E-6,0
COSMOS 2432 (719),2007-052B,2026-02-18T11:59:22.970688,2.13103428,.00109196,65.6595,320.0555,327.4612,211.6991,0,U,32276,999,14255,0,-.32E-6,0
COSMOS 2434 (721),2007-065A,2026-02-18T03:42:16.166592,2.13101398,.00042613,64.3188,195.9273,71.7763,148.6389,0,U,32393,999,14123,0,.5E-6,0
COSMOS 2436 (723),2007-065C,2026-02-17T17:49:41.085696,2.13100352,.00176764,64.3273,196.0121,9.0023,28.5122,0,U,32395,999,14118,0,.48E-6,0
COSMOS 2456 (730),2009-070A,2026-02-18T03:53:20.517792,2.13103798,.00058916,64.9391,75.0321,301.1966,82.5870,0,U,36111,999,12589,0,.42E-6,0
COSMOS 2457 (733),2009-070B,2026-02-18T01:37:45.643296,2.13101178,.00027536,64.9245,74.8817,191.0517,249.0100,0,U,36112,999,12589,0,.42E-6,0
COSMOS 2460 (732),2010-007C,2026-02-17T17:41:16.856160,2.13106335,.00018204,65.4893,318.5109,351.9081,194.8405,0,U,36402,999,12418,0,-.3E-6,0
COSMOS 2476 (744),2011-064A,2026-02-17T10:23:40.817184,2.13103986,.00253458,65.1993,76.9145,240.0988,212.8157,0,U,37867,999,11121,0,.46E-6,0
COSMOS 2477 (745),2011-064B,2026-02-18T11:43:02.038656,2.13103077,.00224428,65.2063,76.9569,241.3584,121.7073,0,U,37868,999,11123,0,.43E-6,0
COSMOS 2475 (743),2011-064C,2026-02-17T17:22:17.088096,2.13101839,.00281581,65.2128,77.0034,253.1941,199.0748,0,U,37869,999,11122,0,.45E-6,0
COSMOS 2485 (747),2013-019A,2026-02-17T05:58:37.678944,2.13103297,.00256886,65.3498,77.6299,235.7178,124.1165,0,U,39155,999,9972,0,.47E-6,0
COSMOS 2492 (754),2014-012A,2026-02-18T03:30:42.957792,2.13103491,.00136655,65.3667,317.9843,323.2553,36.7073,0,U,39620,999,9270,0,-.29E-6,0
COSMOS 2500 (755),2014-032A,2026-02-17T09:05:56.311008,2.13106205,.000547,65.3027,317.7669,209.4168,150.6067,0,U,40001,999,9090,0,-.3E-6,0
COSMOS 2501 (702K),2014-075A,2026-02-18T02:36:35.961984,2.13101413,.00205099,63.6176,194.4910,205.0769,154.7881,0,U,40315,999,8731,0,.48E-6,0
COSMOS 2514 (751),2016-008A,2026-02-18T02:14:08.078784,2.13102610,.00094372,65.0915,317.0965,212.8578,147.1407,0,U,41330,999,7808,0,-.28E-6,0
COSMOS 2522 (752),2017-055A,2026-02-18T09:36:28.803168,2.13101864,.00068157,64.0798,195.9240,225.0119,134.8978,0,U,42939,999,6544,0,.51E-6,0
COSMOS 2527 (756),2018-053A,2026-02-17T10:09:13.430304,2.13102395,.0009757,65.5084,77.9022,241.8865,118.0929,0,U,43508,999,5972,0,.47E-6,0
COSMOS 2529 (757),2018-086A,2026-02-18T11:00:19.404288,2.13102096,.00074107,64.2960,196.5997,252.6228,107.2612,0,U,43687,999,5675,0,.52E-6,0
COSMOS 2534 (758),2019-030A,2026-02-18T08:19:23.591712,2.13102332,.00091142,64.3696,196.6145,281.3423,127.2673,0,U,44299,999,5239,0,.52E-6,0
COSMOS 2544 (759),2019-088A,2026-02-17T20:05:13.123680,2.13102141,.00157812,65.4964,77.7140,257.6428,102.2570,0,U,44850,999,4817,0,.46E-6,0
COSMOS 2545 (760),2020-018A,2026-02-17T02:15:22.652352,2.13102719,.00089021,64.4276,316.6422,252.4585,107.4992,0,U,45358,999,4610,0,-.3E-6,0
COSMOS 2547 (705K),2020-075A,2026-02-17T18:02:25.467360,2.13100358,.00064146,64.5999,196.4580,228.0788,131.8314,0,U,46805,999,4136,0,.48E-6,0
COSMOS 2557 (706K),2022-075A,2026-02-17T10:44:30.492960,2.13101960,.00120943,64.3689,318.7062,283.4632,76.4550,0,U,52984,999,2816,0,-.33E-6,0
COSMOS 2559 (707K),2022-130A,2026-02-17T06:24:21.959712,2.13101196,.00106048,64.3411,318.7996,184.1042,175.9391,0,U,54031,999,2613,0,-.33E-6,0
COSMOS 2564 (761),2022-161A,2026-02-18T01:10:37.508736,2.13101901,.00090799,64.7420,196.6629,207.0837,152.8341,0,U,54377,999,2509,0,.5E-6,0
COSMOS 2569 (703K),2023-114A,2026-02-18T01:29:29.770368,2.13103967,.00127175,65.2323,76.6374,290.4733,69.4647,0,U,57517,999,1972,0,.44E-6,0
COSMOS 2584 (704K),2025-042A,2026-02-18T10:02:15.166176,2.13103256,.00079196,65.0146,76.8394,234.4685,125.5310,0,U,63130,999,751,0,.43E-6,0
COSMOS 2596 (708K),2025-206B,2026-02-18T11:59:15.483264,2.13100156,.00132996,64.7030,319.1204,314.1995,225.8551,0,U,65590,999,338,0,-.32E-6,0
