OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
GLOBALSTAR M001,1998-008A,2024-07-07T12:18:37.814688,12.38187751,.0001729,52.0024,256.4107,229.4307,234.7175,0,U,25162,999,20101,.35444E-3,-.5E-6,0
GLOBALSTAR M004,1998-008B,2024-07-07T07:39:31.149792,12.63364327,.0002176,52.0014,26.2381,237.7776,293.1985,0,U,25163,999,21809,.18323E-3,-.71E-6,0
GLOBALSTAR M002,1998-008C,2024-07-07T22:26:04.432128,11.61502695,.0000627,52.0034,23.3547,206.8084,153.2704,0,U,25164,999,14413,-.21952E-3,-.88E-6,0
GLOBALSTAR M003,1998-008D,2024-07-07T20:00:45.979200,12.12016826,.0007588,51.9907,42.2397,325.1025,146.3272,0,U,25165,999,19155,.14981E-2,.51E-6,0
GLOBALSTAR M014,1998-023A,2024-07-07T12:39:18.344160,11.65469403,.0001488,51.9859,314.8488,102.7607,337.7326,0,U,25306,999,15098,.28741E-3,-.62E-6,0
GLOBALSTAR M006,1998-023B,2024-07-07T14:25:05.016864,11.58163095,.0003725,51.9962,354.2563,191.6501,245.5042,0,U,25307,999,17690,-.19261E-3,-.85E-6,0
GLOBALSTAR M015,1998-023C,2024-07-07T20:37:48.010944,11.48851168,.0012091,51.9831,76.2999,182.2089,258.8060,0,U,25308,999,15487,-.17018E-2,-.148E-5,0
GLOBALSTAR M008,1998-023D,2024-07-07T19:51:48.284352,12.36044906,.0002196,51.9967,116.4208,160.9560,233.1571,0,U,25309,999,19557,-.78261E-4,-.106E-5,0
GLOBALSTAR M023,1999-004A,2024-07-07T13:37:50.225952,12.62461550,.0011003,52.0122,22.7865,86.2726,324.6938,0,U,25621,999,17220,.34447E-3,-.42E-6,0
GLOBALSTAR M040,1999-004B,2024-07-07T06:38:59.265312,12.61976621,.0001257,51.9932,27.3149,45.0440,126.3195,0,U,25622,999,17170,.43576E-4,-.96E-6,0
GLOBALSTAR M036,1999-004C,2024-07-07T20:26:22.756128,11.86569617,.0011679,51.9977,67.8931,107.2154,333.9317,0,U,25623,999,13808,.9318E-3,-.19E-6,0
GLOBALSTAR M038,1999-004D,2024-07-08T04:33:17.017056,12.32502500,.0002499,51.9993,342.2256,72.3376,98.7954,0,U,25624,999,15991,.18824E-3,-.72E-6,0
GLOBALSTAR M022,1999-012A,2024-07-08T04:56:13.689600,12.02484853,.0002151,52.0021,145.9877,211.9197,252.7512,0,U,25649,999,13507,.25957E-3,-.65E-6,0
GLOBALSTAR M041,1999-012B,2024-07-07T11:59:14.452512,11.96655322,.0002757,52.0038,18.8492,22.1995,337.8960,0,U,25650,999,13701,-.31351E-3,-.11E-5,0
GLOBALSTAR M046,1999-012C,2024-07-07T18:48:15.444576,12.09393849,.0002122,52.0050,109.8416,300.2878,105.7924,0,U,25651,999,14234,-.68214E-3,-.151E-5,0
GLOBALSTAR M037,1999-012D,2024-07-07T09:23:56.840640,12.62410638,.0001698,51.9985,154.0689,136.2820,0.5588,0,U,25652,999,16772,.23725E-3,-.61E-6,0
GLOBALSTAR M045,1999-019A,2024-07-07T11:22:51.049344,12.27040895,.0000561,51.9939,207.7581,258.2365,253.6171,0,U,25676,999,15107,.16589E-3,-.75E-6,0
GLOBALSTAR M019,1999-019B,2024-07-07T12:05:01.087584,12.13857761,.0000651,51.9893,313.7895,35.3574,62.9776,0,U,25677,999,14328,.13106E-2,.36E-6,0
GLOBALSTAR M044,1999-019C,2024-07-07T11:14:24.404928,11.90234806,.0006312,51.9938,222.1226,96.6828,48.3433,0,U,25678,999,13027,.38679E-3,-.56E-6,0
GLOBALSTAR M042,1999-019D,2024-07-07T13:49:34.743648,12.22064261,.0002233,52.0028,303.7866,308.2981,166.5206,0,U,25679,999,14312,.42568E-3,-.47E-6,0
GLOBALSTAR M025,1999-031A,2024-07-07T10:50:50.597664,11.22551097,.0001564,51.9790,237.8741,276.1000,221.3857,0,U,25770,999,44299,.69515E-3,-.45E-6,0
GLOBALSTAR M049,1999-031B,2024-07-07T11:19:08.294592,11.12106359,.0003177,51.9859,255.2683,160.2352,199.8568,0,U,25771,999,7907,-.35796E-3,-.76E-6,0
GLOBALSTAR M047,1999-031C,2024-07-07T13:43:50.235744,11.31920847,.0016033,51.9841,284.9339,32.7276,327.4520,0,U,25772,999,43208,.62074E-3,-.47E-6,0
GLOBALSTAR M052,1999-031D,2024-07-07T10:36:52.418304,11.15051878,.0002159,51.9894,8.8566,338.0421,32.8366,0,U,25773,999,44005,-.12602E-2,-.103E-5,0
GLOBALSTAR M035,1999-037A,2024-07-07T03:54:13.288320,11.04530975,.0013122,51.9951,104.3961,140.8839,10.3461,0,U,25851,999,5813,.29139E-4,-.63E-6,0
GLOBALSTAR M032,1999-037B,2024-07-07T10:52:35.802624,11.19058719,.0009424,51.9973,312.7345,306.2688,53.7241,0,U,25852,999,9619,.20376E-2,-.3E-7,0
GLOBALSTAR M051,1999-037C,2024-07-08T05:11:45.122208,11.42199919,.0001698,51.9769,150.6724,326.1118,33.9584,0,U,25853,999,9310,-.30312E-3,-.84E-6,0
GLOBALSTAR M030,1999-037D,2024-07-07T20:21:04.414464,11.55097035,.0004308,51.9903,339.5651,144.3789,215.7316,0,U,25854,999,11035,.64209E-3,-.45E-6,0
GLOBALSTAR M048,1999-041A,2024-07-07T04:05:50.116416,11.33847099,.0013349,51.9381,74.8898,310.7265,171.4910,0,U,25872,999,8584,.50028E-3,-.52E-6,0
GLOBALSTAR M026,1999-041B,2024-07-08T03:46:39.531936,11.06833878,.0001135,51.9974,223.7589,28.0640,45.9565,0,U,25873,999,11059,-.77023E-3,-.85E-6,0
GLOBALSTAR M043,1999-041C,2024-07-07T07:26:08.448000,11.25680282,.0012153,51.9364,168.4580,81.0041,61.7695,0,U,25874,999,8403,-.38885E-3,-.81E-6,0
GLOBALSTAR M028,1999-041D,2024-07-07T06:39:27.297792,12.50558987,.0063785,51.9607,141.5061,42.3132,318.2626,0,U,25875,999,14702,.9041E-4,-.87E-6,0
GLOBALSTAR M024,1999-043A,2024-07-07T21:20:09.607776,11.10156826,.000091,52.0022,77.4732,283.1255,159.9157,0,U,25883,999,7665,.10722E-2,-.35E-6,0
GLOBALSTAR M027,1999-043B,2024-07-07T19:47:01.221216,11.04368787,.0020888,52.0186,145.8446,154.9778,205.2032,0,U,25884,999,10323,-.23554E-2,-.126E-5,0
GLOBALSTAR M054,1999-043C,2024-07-07T20:19:47.553888,11.39206711,.0004278,52.0162,330.8814,315.7419,201.3527,0,U,25885,999,8013,.27362E-2,.36E-6,0
GLOBALSTAR M053,1999-043D,2024-07-07T12:46:59.816064,11.27656673,.00039,51.9972,259.6099,213.5439,254.0173,0,U,25886,999,8056,.12259E-2,-.26E-6,0
GLOBALSTAR M058,1999-049A,2024-07-07T12:10:27.978528,11.93180253,.0001687,51.9960,309.5485,341.7557,18.3216,0,U,25907,999,50039,-.75872E-3,-.141E-5,0
GLOBALSTAR M050,1999-049B,2024-07-08T04:47:59.460000,12.07435732,.0009748,52.0011,341.0728,69.7216,102.0337,0,U,25908,999,11136,-.21225E-3,-.107E-5,0
GLOBALSTAR M033,1999-049C,2024-07-07T10:15:58.128768,12.20272968,.0012506,51.9895,238.8416,276.5993,83.3431,0,U,25909,999,49365,-.23067E-3,-.116E-5,0
GLOBALSTAR M055,1999-049D,2024-07-08T04:33:55.211040,12.29404181,.0007538,52.0013,264.1839,137.9609,222.1822,0,U,25910,999,12619,.49344E-3,-.37E-6,0
GLOBALSTAR M057,1999-058A,2024-07-07T15:34:47.023104,12.24788985,.0001901,51.9969,245.9733,30.5012,329.5947,0,U,25943,999,12478,.4444E-3,-.44E-6,0
GLOBALSTAR M059,1999-058B,2024-07-07T20:00:05.222592,11.99964419,.0001053,52.0029,58.7480,33.7719,73.2553,0,U,25944,999,12145,.89351E-3,-.14E-6,0
GLOBALSTAR M056,1999-058C,2024-07-08T03:10:41.911392,12.04775081,.000036,51.9976,68.7328,140.5601,341.5819,0,U,25945,999,12120,-.4695E-3,-.128E-5,0
GLOBALSTAR M031,1999-058D,2024-07-07T22:38:39.675264,12.16010648,.0001618,51.9979,342.1828,168.2371,342.3842,0,U,25946,999,12290,.17438E-3,-.73E-6,0
GLOBALSTAR M039,1999-062A,2024-07-07T09:51:10.588608,12.62296203,.0002467,51.9828,238.8148,298.0850,61.9767,0,U,25961,999,13667,.33519E-3,-.44E-6,0
GLOBALSTAR M034,1999-062B,2024-07-08T05:09:09.439776,11.79428750,.0013651,51.9836,185.5040,112.0944,331.5439,0,U,25962,999,9778,-.12667E-3,-.89E-6,0
GLOBALSTAR M029,1999-062C,2024-07-07T20:02:23.551584,11.99879853,.0003166,51.9819,307.0776,153.5739,21.9419,0,U,25963,999,12783,.31366E-3,-.61E-6,0
GLOBALSTAR M061,1999-062D,2024-07-07T10:04:40.770048,11.76762490,.0006587,51.9814,7.0353,43.3132,321.6201,0,U,25964,999,8059,.3582E-3,-.58E-6,0
GLOBALSTAR M063,2000-008A,2024-07-07T14:20:38.800320,11.86157068,.000427,51.9965,299.0886,20.9216,80.1513,0,U,26081,999,11668,.73571E-3,-.32E-6,0
GLOBALSTAR M062,2000-008B,2024-07-07T22:37:44.627232,12.43441394,.0007867,51.9862,28.0805,95.5503,51.7562,0,U,26082,999,11629,.10769E-2,.52E-6,0
GLOBALSTAR M060,2000-008C,2024-07-07T13:09:10.098720,12.17635732,.0003994,52.0035,300.4936,144.4348,299.9940,0,U,26083,999,11038,.37497E-3,-.53E-6,0
GLOBALSTAR M064,2000-008D,2024-07-07T20:06:58.833216,11.88520126,.0002153,52.0045,41.3416,98.4689,261.6388,0,U,26084,999,12626,.12514E-3,-.74E-6,0
GLOBALSTAR M065,2007-020A,2024-07-07T09:20:39.124608,12.61973490,.0009836,51.9863,195.6919,264.0132,188.1528,0,U,31571,999,78987,.11637E-3,-.83E-6,0
GLOBALSTAR M069,2007-020C,2024-07-07T09:29:36.404736,12.62276560,.0000657,51.9933,151.4719,335.7479,192.7253,0,U,31573,999,79100,-.44591E-4,-.112E-5,0
GLOBALSTAR M072,2007-020D,2024-07-07T13:03:11.868768,12.62259538,.0000565,52.0070,246.9802,202.0711,299.0903,0,U,31574,999,78929,.22347E-3,-.64E-6,0
GLOBALSTAR M071,2007-020F,2024-07-07T08:07:11.896032,12.62269270,.000057,52.0046,156.8298,22.4165,124.2496,0,U,31576,999,45218,-.61702E-4,-.115E-5,0
GLOBALSTAR M067,2007-048A,2024-07-07T12:38:17.276640,12.40648515,.0000501,51.9746,324.4205,30.6235,58.3774,0,U,32263,999,76670,.13819E-4,-.96E-6,0
GLOBALSTAR M070,2007-048B,2024-07-07T20:36:22.089600,12.62295325,.0000959,51.9751,97.4488,56.6346,22.7549,0,U,32264,999,77116,.15979E-3,-.75E-6,0
