OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
GPS BIIR-2  (PRN 13),1997-035A,2026-02-17T13:01:13.894752,2.00563956,.009757,55.9269,103.2532,56.4090,304.6054,0,U,24876,999,20955,0,.32E-6,0
GPS BIIR-5  (PRN 22),2000-040A,2026-02-17T20:58:03.893088,2.00568715,.012308,54.8787,219.8987,302.4952,230.4777,0,U,26407,999,18755,0,.58E-6,0
GPS BIIR-8  (PRN 16),2003-005A,2026-02-18T10:45:07.589664,2.00566999,.01487592,54.9106,219.6841,52.6126,311.1016,0,U,27663,999,16893,0,.59E-6,0
GPS BIIR-11 (PRN 19),2004-009A,2026-02-16T09:38:23.372160,2.00558579,.01102999,54.9285,280.5672,168.6671,313.8602,0,U,28190,999,16052,0,.25E-6,0
GPS BIIR-13 (PRN 02),2004-045A,2026-02-17T15:19:42.574080,2.00572660,.017103,55.2034,329.7143,312.2106,46.1645,0,U,28474,999,15602,0,-.64E-6,0
GPS BIIRM-1 (PRN 17),2005-038A,2026-02-17T10:27:33.152832,2.00574019,.01292771,54.9744,278.0100,295.1034,237.0826,0,U,28874,999,14943,0,.28E-6,0
INMARSAT 4-F2 (SOUTHPAN/PRN 122),2005-044A,2026-02-18T10:07:03.738720,1.00270909,.0002244,4.9368,43.7930,303.1328,96.7063,0,U,28899,999,7433,0,-.254E-5,0
GPS BIIRM-2 (PRN 31),2006-042A,2026-02-17T09:33:53.533728,2.00551659,.01064214,54.6979,156.0961,53.0406,349.9290,0,U,29486,999,14199,0,.17E-6,0
GPS BIIRM-3 (PRN 12),2006-052A,2026-02-17T18:05:59.672832,2.00550593,.00881009,54.9596,218.7379,89.1006,271.8850,0,U,29601,999,14101,0,.57E-6,0
GPS BIIRM-4 (PRN 15),2007-047A,2026-02-18T01:28:52.681440,2.00561440,.01635204,54.0041,84.9755,85.8545,276.0966,0,U,32260,999,13442,0,.22E-6,0
COSMOS 2433 (720),2007-052A,2026-02-18T04:38:31.488864,2.13104235,.00027958,65.6437,319.9404,270.7071,89.3142,0,U,32275,999,14252,0,-.32E-6,0
COSMOS 2432 (719),2007-052B,2026-02-18T11:59:22.970688,2.13103428,.00109196,65.6595,320.0555,327.4612,211.6991,0,U,32276,999,14255,0,-.32E-6,0
GPS BIIRM-5 (PRN 29),2007-062A,2026-02-18T03:38:41.906688,2.00552623,.00325042,55.1257,278.9372,160.6786,32.9628,0,U,32384,999,13312,0,.25E-6,0
COSMOS 2434 (721),2007-065A,2026-02-18T03:42:16.166592,2.13101398,.00042613,64.3188,195.9273,71.7763,148.6389,0,U,32393,999,14123,0,.5E-6,0
COSMOS 2436 (723),2007-065C,2026-02-17T17:49:41.085696,2.13100352,.00176764,64.3273,196.0121,9.0023,28.5122,0,U,32395,999,14118,0,.48E-6,0
