OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
GOES 1 (SMS-C),1975-100A,2025-11-24T23:47:14.654976,1.00226286,.0006251,5.1294,280.0085,336.3776,58.8341,0,U,8366,999,18302,0,-.6E-6,0
GOES 2,1977-048A,2025-11-25T00:36:54.896832,0.99393197,.0012234,6.9074,295.0445,38.4988,168.1423,0,U,10061,999,4424,0,.96E-6,0
GOES 3,1978-062A,2025-11-24T19:52:12.408096,0.99362745,.0003231,7.3670,300.7446,307.1256,239.2409,0,U,10953,999,12650,0,-.276E-5,0
GOES 4,1980-074A,2025-11-24T18:58:03.500256,0.99232359,.0029804,8.4314,304.4686,102.6902,262.4616,0,U,11964,999,12541,0,-.24E-5,0
GOES 5,1981-049A,2025-11-24T20:31:39.533088,1.00240278,.0005102,9.7266,316.9889,304.8734,38.4859,0,U,12472,999,12079,0,-.256E-5,0
GOES 6,1983-041A,2025-11-24T23:51:36.737280,1.00224691,.0003992,10.5181,322.5407,266.9633,102.0919,0,U,14050,999,21397,0,-.173E-5,0
GOES 7,1987-022A,2025-11-24T19:09:24.912000,0.99907623,.0001873,13.1138,339.0728,339.9385,33.0740,0,U,17561,999,12492,0,-.71E-6,0
GOES 8,1994-022A,2025-11-25T01:42:03.656160,0.98904989,.0000827,14.2552,15.2181,31.6519,339.8829,0,U,23051,999,12211,0,-.147E-5,0
GOES 9,1995-025A,2025-11-25T01:54:51.771168,0.98797607,.0007707,13.7806,16.0279,196.1399,327.2426,0,U,23581,999,11074,0,.4E-7,0
GOES 10,1997-019A,2025-11-24T23:16:40.084032,0.99127943,.003248,12.8848,22.5532,232.0669,305.7211,0,U,24786,999,10404,0,-.29E-5,0
GOES 11,2000-022A,2025-11-23T22:38:59.205120,0.99044225,.00065569,11.3675,48.4113,218.1389,145.1342,0,U,26352,999,5044,0,-.118E-5,0
GOES 12,2001-031A,2025-11-25T00:13:27.142752,0.99140193,.0007121,11.8131,38.9762,271.4077,103.4845,0,U,26871,999,8874,0,-.214E-5,0
EWS-G1 (GOES 13),2006-018A,2025-11-25T00:34:40.111968,0.98784916,.0059909,3.9999,78.9119,268.5159,145.5801,0,U,29155,999,4123,0,.8E-6,0
GOES 14,2009-033A,2025-11-25T01:29:19.874976,1.00273314,.0003852,1.1502,85.6202,142.5332,110.0762,0,U,35491,999,454,0,-.48E-6,0
EWS-G2 (GOES 15),2010-008A,2025-11-25T02:17:45.238272,1.00267690,.0005509,0.7669,86.0229,165.3224,269.0249,0,U,36411,999,5759,0,.56E-6,0
GOES 16,2016-071A,2025-11-25T01:30:19.780416,1.00271498,.0002925,0.0688,94.7572,155.4132,92.0329,0,U,41866,999,3305,0,-.72E-6,0
GOES 17,2018-022A,2025-11-25T01:34:41.860992,1.00272245,.0002981,0.4107,89.5398,178.0479,90.8764,0,U,43226,999,2837,0,-.163E-5,0
GOES 18,2022-021A,2025-11-25T01:21:05.665248,1.00271387,.0000364,0.0374,116.3582,178.9385,12.2482,0,U,51850,999,454,0,.116E-5,0
GOES 19,2024-119A,2025-11-25T01:38:48.965856,1.00272242,.0000918,0.0020,230.7026,70.7873,72.3227,0,U,60133,999,491,0,-.229E-5,0
