OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
GORIZONT 1,1978-118A,2024-07-06T11:49:08.172480,1.00250546,.3246943,11.4853,176.8189,322.3025,18.5720,0,U,11158,999,11581,0,-.71E-6,0
GORIZONT 2,1979-062A,2024-07-07T22:04:32.671776,1.00256576,.0002252,7.4847,293.3054,288.6247,96.8270,0,U,11440,999,13089,0,.41E-6,0
GORIZONT 3,1979-105A,2024-07-07T21:58:24.252672,1.00266424,.0012768,7.6596,294.9333,235.4583,125.0721,0,U,11648,999,11534,0,.149E-5,0
GORIZONT 4,1980-049A,2024-07-07T10:21:21.268224,0.98630035,.0000431,8.8620,301.4778,277.9653,68.7560,0,U,11841,999,22651,0,-.53E-6,0
GORIZONT 5,1982-020A,2024-07-07T13:17:55.353696,0.98532871,.0033864,9.9353,307.0473,232.9218,327.2031,0,U,13092,999,11460,0,-.1E-5,0
GORIZONT 6,1982-103A,2024-07-07T04:27:48.209760,1.00264717,.000105,8.8899,307.3086,224.4066,150.0196,0,U,13624,999,11383,0,-.224E-5,0
GORIZONT 7,1983-066A,2024-07-07T10:53:45.161952,0.98346734,.0010052,10.7059,317.3529,328.7471,49.9979,0,U,14160,999,14777,0,.5E-7,0
GORIZONT 8,1983-118A,2024-07-07T06:02:39.825312,0.98270071,.0029857,10.9209,319.3300,167.6159,190.0565,0,U,14532,999,11352,0,-.111E-5,0
GORIZONT 9,1984-041A,2024-07-07T08:30:15.986016,1.00260587,.0005025,10.0968,317.1769,237.2387,315.2699,0,U,14940,999,11482,0,-.282E-5,0
GORIZONT 10,1984-078A,2024-07-07T06:07:48.093600,1.00311714,.000092,10.2157,318.2078,234.7285,143.3205,0,U,15144,999,14746,0,-.267E-5,0
GORIZONT 11,1985-007A,2024-07-07T09:59:21.054624,1.00165936,.0004652,10.4344,320.3023,185.4247,337.2602,0,U,15484,999,14551,0,.123E-5,0
GORIZONT 12,1986-044A,2024-07-07T08:32:46.360896,1.00236725,.0002219,11.1862,325.8375,239.2045,314.0078,0,U,16769,999,14014,0,-.334E-5,0
GORIZONT 13,1986-090A,2024-07-07T09:20:22.721568,0.96725892,.0012273,13.2169,333.3525,351.2098,12.7708,0,U,17083,999,11178,0,-.86E-6,0
GORIZONT 14,1987-040A,2024-07-07T06:55:02.665056,0.97659495,.003166,11.9389,324.4370,191.9044,357.2423,0,U,17969,999,11292,0,-.138E-5,0
GORIZONT 15,1988-028A,2024-07-07T19:09:42.416640,0.97828992,.0037152,13.5923,335.9435,174.9492,9.4716,0,U,19017,999,11254,0,-.131E-5,0
GORIZONT 16,1988-071A,2024-07-07T09:22:15.502944,0.99969037,.0013298,12.4285,334.6241,84.6303,285.4290,0,U,19397,999,13114,0,-.207E-5,0
GORIZONT 17,1989-004A,2024-07-07T22:23:42.864000,0.99063363,.002352,13.0637,338.0809,152.2424,206.4185,0,U,19765,999,12854,0,.33E-6,0
GORIZONT 18,1989-052A,2024-07-08T02:09:54.701280,0.99403010,.0033394,13.1465,339.2967,331.8814,206.1265,0,U,20107,999,12736,0,-.11E-6,0
GORIZONT 19,1989-081A,2024-07-07T13:22:26.029344,1.00247980,.0004326,12.8565,338.4049,218.9341,326.2779,0,U,20263,999,4022,0,.123E-5,0
GORIZONT 20,1990-054A,2024-07-07T22:12:41.390784,1.00309613,.0007399,13.3776,341.1395,195.9547,172.0815,0,U,20659,999,12457,0,-.255E-5,0
GORIZONT 21,1990-094A,2024-07-08T03:03:15.912864,1.00347506,.0006061,13.4123,341.8785,217.4128,157.9896,0,U,20923,999,12333,0,.114E-5,0
GORIZONT 22,1990-102A,2024-07-07T02:53:59.647200,1.00270117,.0001197,13.3840,342.3212,14.2343,333.5070,0,U,20953,999,12324,0,-.26E-6,0
GORIZONT 23,1991-046A,2024-07-07T12:35:03.939360,0.98907466,.000361,14.2668,346.5437,307.8253,51.7884,0,U,21533,999,3966,0,.25E-6,0
GORIZONT 24,1991-074A,2024-07-07T10:14:10.673088,0.98442289,.0019756,14.4817,348.5322,240.7117,103.1570,0,U,21759,999,11796,0,-.14E-6,0
GORIZONT 25,1992-017A,2024-07-07T11:46:48.747072,0.99842674,.0028057,14.0070,347.7287,102.2690,75.3533,0,U,21922,999,11785,0,.54E-6,0
GORIZONT 26,1992-043A,2024-07-07T12:35:26.494944,0.99241579,.0032344,14.2410,349.8384,250.0353,107.4721,0,U,22041,999,11642,0,.53E-6,0
GORIZONT 27,1992-082A,2024-07-07T02:08:58.130880,1.00180572,.0010254,14.1464,349.2482,26.9892,145.3996,0,U,22245,999,12000,0,.96E-6,0
GORIZONT 28,1993-069A,2024-07-07T08:27:50.578272,0.99658927,.0034883,14.4110,353.2227,152.1845,54.8926,0,U,22880,999,11205,0,-.325E-5,0
GORIZONT 29,1993-072A,2024-07-07T13:22:18.509952,1.00131250,.0008125,14.3050,352.6000,358.8931,171.1004,0,U,22907,999,11206,0,.115E-5,0
