OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
GPS BIIR-2  (PRN 13),1997-035A,2026-02-17T13:01:13.894752,2.00563956,.009757,55.9269,103.2532,56.4090,304.6054,0,U,24876,999,20955,0,.32E-6,0
GPS BIIR-5  (PRN 22),2000-040A,2026-02-17T20:58:03.893088,2.00568715,.012308,54.8787,219.8987,302.4952,230.4777,0,U,26407,999,18755,0,.58E-6,0
GPS BIIR-8  (PRN 16),2003-005A,2026-02-18T10:45:07.589664,2.00566999,.01487592,54.9106,219.6841,52.6126,311.1016,0,U,27663,999,16893,0,.59E-6,0
GPS BIIR-11 (PRN 19),2004-009A,2026-02-16T09:38:23.372160,2.00558579,.01102999,54.9285,280.5672,168.6671,313.8602,0,U,28190,999,16052,0,.25E-6,0
GPS BIIR-13 (PRN 02),2004-045A,2026-02-17T15:19:42.574080,2.00572660,.017103,55.2034,329.7143,312.2106,46.1645,0,U,28474,999,15602,0,-.64E-6,0
GPS BIIRM-1 (PRN 17),2005-038A,2026-02-17T10:27:33.152832,2.00574019,.01292771,54.9744,278.0100,295.1034,237.0826,0,U,28874,999,14943,0,.28E-6,0
GPS BIIRM-2 (PRN 31),2006-042A,2026-02-17T09:33:53.533728,2.00551659,.01064214,54.6979,156.0961,53.0406,349.9290,0,U,29486,999,14199,0,.17E-6,0
GPS BIIRM-3 (PRN 12),2006-052A,2026-02-17T18:05:59.672832,2.00550593,.00881009,54.9596,218.7379,89.1006,271.8850,0,U,29601,999,14101,0,.57E-6,0
GPS BIIRM-4 (PRN 15),2007-047A,2026-02-18T01:28:52.681440,2.00561440,.01635204,54.0041,84.9755,85.8545,276.0966,0,U,32260,999,13442,0,.22E-6,0
GPS BIIRM-5 (PRN 29),2007-062A,2026-02-18T03:38:41.906688,2.00552623,.00325042,55.1257,278.9372,160.6786,32.9628,0,U,32384,999,13312,0,.25E-6,0
GPS BIIRM-6 (PRN 07),2008-012A,2026-02-17T11:33:58.279392,2.00568545,.02060849,54.4820,154.7083,245.9221,111.9108,0,U,32711,999,13135,0,.17E-6,0
GPS BIIRM-8 (PRN 05),2009-043A,2026-02-17T23:20:08.403936,2.00561329,.0051481,56.1386,32.1348,80.7910,289.7407,0,U,35752,999,12097,0,-.4E-6,0
GPS BIIF-1  (PRN 25),2010-022A,2026-02-17T18:25:27.684192,2.00556495,.01274116,54.2915,213.3705,65.7811,273.8553,0,U,36585,999,11519,0,.53E-6,0
GPS BIIF-3  (PRN 24),2012-053A,2026-02-17T03:52:08.846400,2.00565609,.0176763,53.5647,148.5183,64.6745,297.1535,0,U,38833,999,9703,0,.13E-6,0
GPS BIIF-4  (PRN 27),2013-023A,2026-02-18T00:33:16.633152,2.00564264,.01412272,54.5966,273.8274,49.6697,311.6237,0,U,39166,999,9349,0,.32E-6,0
