OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
HULIANWANG DIGUI-01,2024-240A,2025-11-25T02:15:26.974080,13.24417289,.0001819,86.4997,52.0867,96.8892,263.2449,0,U,62323,999,4562,.19029E-3,.96E-6,0
HULIANWANG DIGUI-02,2024-240B,2025-11-25T02:26:19.562784,13.24412749,.0001958,86.5027,52.1863,99.5833,260.5523,0,U,62324,999,4563,.21485E-3,.107E-5,0
HULIANWANG DIGUI-03,2024-240C,2025-11-25T02:04:32.793888,13.24412895,.0001774,86.4980,52.0257,96.2574,263.8762,0,U,62325,999,4562,.16477E-3,.85E-6,0
HULIANWANG DIGUI-04,2024-240D,2025-11-25T03:42:28.452672,13.24412526,.0001787,86.4989,52.0255,94.8207,265.3131,0,U,62326,999,4563,.16961E-4,.22E-6,0
HULIANWANG DIGUI-05,2024-240E,2025-11-25T01:42:49.468032,13.24418691,.0001745,86.5041,52.2228,95.2538,264.8796,0,U,62327,999,4562,.93111E-4,.55E-6,0
HULIANWANG DIGUI-06,2024-240F,2025-11-25T03:09:54.780192,13.24417759,.0001897,86.4980,51.9813,94.9904,265.1447,0,U,62328,999,4563,.12322E-3,.68E-6,0
HULIANWANG DIGUI-07,2024-240G,2025-11-25T02:58:57.975168,13.24418727,.0001835,86.4950,51.8802,96.4056,263.7287,0,U,62329,999,4563,.1708E-3,.88E-6,0
HULIANWANG DIGUI-08,2024-240H,2025-11-25T01:31:57.876384,13.24418166,.0001766,86.5033,52.1910,93.0542,267.0794,0,U,62330,999,4562,.10927E-3,.62E-6,0
HULIANWANG DIGUI-09,2024-240J,2025-11-25T02:48:05.332896,13.24412830,.0001883,86.4997,52.1011,96.5876,263.5472,0,U,62331,999,4562,-.74731E-4,-.17E-6,0
HULIANWANG DIGUI-10,2024-240K,2025-11-25T02:37:11.768736,13.24412352,.0002002,86.5029,52.1971,96.7075,263.4287,0,U,62332,999,4562,.20026E-3,.101E-5,0
