OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
INTELSAT 10 (IS-10),2001-019A,2025-11-24T08:59:38.821632,0.99076231,.0006943,8.5835,61.3383,215.2700,139.6040,0,U,26766,999,4354,0,.64E-6,0
INTELSAT 902 (IS-902),2001-039A,2025-11-24T17:12:13.636800,1.00269675,.00045123,5.6008,74.2814,170.1727,27.4183,0,U,26900,999,8864,0,-.264E-5,0
INTELSAT 904 (IS-904),2002-007A,2025-11-25T01:51:17.771328,1.00272449,.0000986,6.4081,71.6352,168.4789,180.5296,0,U,27380,999,4971,0,-.206E-5,0
DIRECTV 5 (TEMPO 1),2002-023A,2025-11-24T20:20:25.608768,1.00271622,.0003104,4.3535,77.8660,174.6210,6.5682,0,U,27426,999,8607,0,-.37E-6,0
INTELSAT 905 (IS-905),2002-027A,2025-11-23T11:32:38.774112,1.00272938,.00025428,6.2347,72.2784,174.5067,211.8974,0,U,27438,999,4930,0,.113E-5,0
GALAXY 3C (G-3C),2002-030A,2025-11-24T20:24:40.202784,1.00271454,.0001443,3.2167,80.6926,77.2317,117.4658,0,U,27445,999,4444,0,-.133E-5,0
INTELSAT 906 (IS-906),2002-041A,2025-11-24T22:52:57.355104,1.00271705,.0006034,5.2836,75.4407,185.4316,210.6512,0,U,27513,999,8498,0,.33E-6,0
GALAXY 13 (HORIZONS-1),2003-044A,2025-11-25T01:17:28.510944,1.00272914,.0002137,0.8894,86.6860,154.7720,52.1738,0,U,27954,999,4452,0,.152E-5,0
INTELSAT 10-02,2004-022A,2025-11-25T01:59:54.445920,1.00270189,.0000771,0.0203,42.9571,231.3392,179.0005,0,U,28358,999,7851,0,.9E-7,0
XM-3 (RHYTHM),2005-008A,2025-11-25T01:13:58.845792,0.98954113,.0000686,0.1256,79.8826,310.4503,250.6240,0,U,28626,999,4057,0,-.36E-6,0
DIRECTV 8,2005-019A,2025-11-25T01:26:12.673824,1.00272576,.0002832,0.0166,334.6211,270.7871,81.3850,0,U,28659,999,7502,0,.2E-6,0
GALAXY 28 (G-28),2005-022A,2025-11-25T01:34:56.836704,1.00272114,.0002675,2.7730,81.4796,168.7965,109.0304,0,U,28702,999,4992,0,-.168E-5,0
GALAXY 16 (G-16),2006-023A,2025-11-25T01:31:57.123840,1.00271939,.0002511,0.0381,137.5338,95.8182,114.9166,0,U,29236,999,7092,0,-.107E-5,0
DIRECTV 9S,2006-043A,2025-11-25T01:31:19.684128,1.00271120,.0003007,1.8914,83.4069,166.7237,95.7746,0,U,29494,999,4933,0,-.94E-6,0
GALAXY 17 (G-17),2007-016B,2025-11-25T01:35:56.742144,1.00271685,.0005727,2.4524,82.4934,156.6116,124.1746,0,U,31307,999,6775,0,-.187E-5,0
DIRECTV 10,2007-032A,2025-11-25T01:30:49.731840,1.00271174,.0000393,0.0057,71.9861,53.5043,218.7186,0,U,31862,999,4354,0,-.84E-6,0
INTELSAT 11 (IS-11),2007-044B,2025-11-25T01:44:03.465312,0.99050817,.0008921,3.0310,81.1801,155.8693,156.7374,0,U,32253,999,6642,0,-.164E-5,0
