OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
IRIDIUM 33,1997-051C,2025-11-25T01:33:37.012608,14.35018098,.0005776,86.3866,75.6395,272.7902,87.2633,0,U,24946,999,47581,.15623E-3,.464E-5,0
IRIDIUM 33 DEB,1997-051L,2025-11-24T18:10:57.468576,14.43196619,.0010517,86.4012,68.2076,203.4533,156.6189,0,U,33773,999,88088,.4277E-3,.1457E-4,0
IRIDIUM 33 DEB,1997-051N,2025-11-25T00:44:43.685088,14.41409372,.0012276,86.3645,57.1115,212.9439,324.2449,0,U,33775,999,87885,.44046E-3,.1447E-4,0
IRIDIUM 33 DEB,1997-051P,2025-11-24T19:16:39.136800,14.38183464,.00126844,86.4028,88.3074,254.0078,259.6405,0,U,33776,999,87824,.34398971E-3,.1064E-4,0
IRIDIUM 33 DEB,1997-051Q,2025-11-24T23:00:32.866272,14.55410922,.0005738,86.3796,42.9345,330.0544,30.0335,0,U,33777,999,88275,.12188E-2,.5314E-4,0
IRIDIUM 33 DEB,1997-051T,2025-11-24T16:29:49.842816,14.42079162,.00102567,86.3428,37.9397,219.8914,271.9968,0,U,33850,999,87892,.55220244E-3,.1834E-4,0
IRIDIUM 33 DEB,1997-051W,2025-11-25T02:41:44.575008,13.98889972,.0207045,86.0000,357.5400,290.3049,122.9340,0,U,33853,999,85099,.2457E-2,.4271E-4,0
IRIDIUM 33 DEB,1997-051AC,2025-11-25T02:43:13.244736,15.75252819,.0002916,86.2981,6.6970,330.0247,30.0858,0,U,33859,999,88299,.14705E-1,.2505157E-1,0
IRIDIUM 33 DEB,1997-051AD,2025-11-24T22:45:33.055200,14.67016663,.0009436,86.3848,35.1086,53.8110,122.3441,0,U,33860,999,88461,.17248E-2,.9699E-4,0
IRIDIUM 33 DEB,1997-051AF,2025-11-24T23:11:02.895936,14.69039537,.0054242,86.4095,45.3630,128.3616,44.7262,0,U,33862,999,88562,.18959E-2,.11405E-3,0
IRIDIUM 33 DEB,1997-051AK,2025-11-24T19:44:13.955136,14.25185002,.0112797,86.2994,100.6151,218.6901,295.7653,0,U,33866,999,86555,.66786E-3,.1694E-4,0
IRIDIUM 33 DEB,1997-051AL,2025-11-25T03:09:31.944672,15.47450835,.001175,86.3622,359.0892,121.2562,238.9848,0,U,33867,999,89237,.68473E-2,.367685E-2,0
IRIDIUM 33 DEB,1997-051AP,2025-11-24T18:35:01.514112,14.45699019,.0019648,86.3748,65.9586,239.2733,240.6860,0,U,33870,999,87877,.10716E-2,.382E-4,0
IRIDIUM 33 DEB,1997-051BA,2025-11-24T22:21:29.342304,14.56134689,.0060177,86.3885,114.4763,232.7407,257.6963,0,U,33881,999,87241,.18939E-2,.8586E-4,0
IRIDIUM 33 DEB,1997-051BD,2025-11-25T02:40:33.472128,14.76960986,.0011654,86.3696,17.7725,26.4432,32.2936,0,U,33884,999,88587,.16102E-2,.11379E-3,0
IRIDIUM 33 DEB,1997-051BF,2025-11-24T18:30:37.175904,14.36019089,.0012293,86.3828,74.7906,310.2793,163.3411,0,U,33886,999,87794,.2629E-3,.784E-5,0
IRIDIUM 33 DEB,1997-051BG,2025-11-25T03:14:11.324256,14.37198367,.0004343,86.3061,10.9776,311.1476,102.8306,0,U,33887,999,87912,.1679E-3,.519E-5,0
IRIDIUM 33 DEB,1997-051BN,2025-11-24T18:35:48.266016,14.55043476,.0018165,86.3845,61.5739,157.4710,330.2432,0,U,33953,999,88042,.16513E-2,.7153E-4,0
IRIDIUM 33 DEB,1997-051BV,2025-11-24T21:02:03.386112,14.83860927,.0006377,86.2535,297.9264,89.3515,293.1771,0,U,33960,999,88602,.37438E-2,.31193E-3,0
IRIDIUM 33 DEB,1997-051CB,2025-11-25T00:51:30.157344,14.49481254,.0005704,86.3930,53.6225,256.7516,282.0409,0,U,33966,999,88185,.73134E-3,.282E-4,0
IRIDIUM 33 DEB,1997-051CE,2025-11-25T03:00:21.964608,14.49349208,.0008815,86.3467,25.4822,156.0984,204.0631,0,U,34071,999,88079,.76363E-3,.2937E-4,0
IRIDIUM 33 DEB,1997-051CL,2025-11-25T00:43:02.197056,14.64397314,.0011518,86.3864,59.3040,94.0795,83.0258,0,U,34077,999,88073,.23676E-2,.12558E-3,0
IRIDIUM 33 DEB,1997-051CN,2025-11-24T21:57:32.391072,14.82881738,.0007462,86.3781,16.7634,60.4647,113.0866,0,U,34079,999,88713,.20445E-2,.16617E-3,0
IRIDIUM 33 DEB,1997-051CX,2025-11-24T23:28:41.155104,14.90115637,.0004644,86.3855,38.8750,245.0409,236.3972,0,U,34088,999,88477,.35224E-2,.34211E-3,0
IRIDIUM 33 DEB,1997-051DA,2025-11-25T00:06:07.530048,14.79866316,.0032754,86.3418,74.9423,358.4808,1.6308,0,U,34091,999,87604,.63673E-2,.48743E-3,0
IRIDIUM 33 DEB,1997-051DG,2025-11-25T02:01:30.439776,14.34591037,.0084496,86.2012,9.1984,59.2241,301.7239,0,U,34097,999,86866,.14132E-2,.4174E-4,0
IRIDIUM 33 DEB,1997-051DY,2025-11-25T01:19:11.813376,14.42120235,.0054626,86.2122,340.4023,150.3718,210.0596,0,U,34145,999,87383,.11247E-2,.3784E-4,0
IRIDIUM 33 DEB,1997-051DZ,2025-11-25T01:56:12.358176,14.48870602,.0024907,86.2842,357.5997,285.1737,137.3523,0,U,34146,999,87851,.11641E-2,.4437E-4,0
IRIDIUM 33 DEB,1997-051EN,2025-11-24T23:52:47.885088,14.38428072,.0027232,86.3513,55.8048,349.3702,10.6916,0,U,34159,999,87704,.48964E-3,.1518E-4,0
IRIDIUM 33 DEB,1997-051ES,2025-11-25T01:54:35.871840,14.45329098,.0020896,86.3292,10.4690,192.0591,196.6614,0,U,34350,999,88038,.37503E-3,.134E-4,0
IRIDIUM 33 DEB,1997-051FJ,2025-11-24T19:05:43.454112,14.53804477,.0020866,86.3708,57.1140,198.2650,289.1328,0,U,34366,999,87921,.16457E-2,.6947E-4,0
IRIDIUM 33 DEB,1997-051FT,2025-11-25T01:38:26.729088,14.17948026,.0101628,86.4336,189.8163,182.5970,330.7295,0,U,34375,999,86461,.46433E-3,.1018E-4,0
IRIDIUM 33 DEB,1997-051FU,2025-11-24T21:19:46.526880,14.62198911,.0025215,86.2996,14.5610,228.7606,131.1433,0,U,34376,999,87746,.18761E-2,.9514E-4,0
IRIDIUM 33 DEB,1997-051GB,2025-11-25T02:40:41.140992,14.94651987,.0012158,86.3947,20.1525,171.0811,218.3695,0,U,34486,999,88723,.2815E-2,.30663E-3,0
IRIDIUM 33 DEB,1997-051GC,2025-11-25T02:21:14.611392,14.43181754,.0030924,86.3453,19.9711,185.0962,204.0886,0,U,34487,999,87994,.23861E-3,.826E-5,0
IRIDIUM 33 DEB,1997-051GD,2025-11-24T22:41:31.554240,15.24037705,.0016476,86.3262,314.5853,82.9571,277.3547,0,U,34488,999,88968,.46892E-2,.115681E-2,0
IRIDIUM 33 DEB,1997-051GH,2025-11-24T00:23:35.326176,14.24881669,.0190862,86.4713,342.1909,298.8187,88.3319,0,U,34492,999,84792,.7338344E-2,.20773E-3,0
IRIDIUM 33 DEB,1997-051GN,2025-11-24T17:15:03.672000,14.27375004,.00807643,86.2782,60.0976,37.7755,92.7355,0,U,34497,999,86626,.66110169E-3,.1696E-4,0
IRIDIUM 33 DEB,1997-051GZ,2025-11-24T19:10:45.642432,14.38172746,.00647,86.3703,110.2472,231.5580,127.9800,0,U,34508,999,87051,.19176E-2,.5981E-4,0
IRIDIUM 33 DEB,1997-051HN,2025-11-25T03:20:53.688192,14.63128381,.0001793,86.3811,38.2923,349.7144,10.4030,0,U,34521,999,88215,.12832E-2,.6616E-4,0
IRIDIUM 33 DEB,1997-051HS,2025-11-25T00:42:39.801312,14.42838336,.0006032,86.3738,54.4007,136.2874,41.2832,0,U,34525,999,87832,.48328E-3,.1632E-4,0
IRIDIUM 33 DEB,1997-051HW,2025-11-24T17:02:24.860544,14.40594276,.00029684,86.3655,43.0957,252.8434,107.2440,0,U,34529,999,87882,.14427106E-3,.479E-5,0
IRIDIUM 33 DEB,1997-051JF,2025-11-25T02:59:09.501792,14.42500766,.0035007,86.2786,13.2690,26.4605,34.1082,0,U,34538,999,87502,.10383E-2,.3484E-4,0
IRIDIUM 33 DEB,1997-051JH,2025-11-24T23:00:19.540800,14.74773402,.0013854,86.3103,315.7334,226.9573,196.3160,0,U,34540,999,88759,.19327E-2,.12983E-3,0
IRIDIUM 33 DEB,1997-051JZ,2025-11-24T21:23:56.895072,14.10665307,.018798,86.3920,289.1461,353.8104,6.0755,0,U,34648,999,84709,.7892E-2,.16659E-3,0
IRIDIUM 33 DEB,1997-051KC,2025-11-24T18:45:03.702240,14.25407411,.01417806,86.2826,148.2118,261.3208,97.1901,0,U,34651,999,85640,.28886612E-2,.7588E-4,0
IRIDIUM 33 DEB,1997-051KD,2025-11-23T02:34:49.593216,14.61798536,.00281105,86.3320,348.7410,7.6287,53.6800,0,U,34652,999,88197,.78640972E-3,.3968E-4,0
IRIDIUM 33 DEB,1997-051KM,2025-11-24T05:01:27.858144,14.54989726,.00122537,86.3791,45.0429,83.1349,334.1672,0,U,34690,999,87825,.48612693E-3,.2115E-4,0
IRIDIUM 33 DEB,1997-051KQ,2025-11-24T11:19:33.538080,15.22525561,.00165687,86.3075,312.8572,85.9930,43.8131,0,U,34693,999,88636,.44685314E-2,.105282E-2,0
IRIDIUM 33 DEB,1997-051KT,2025-11-24T05:34:37.562880,14.63545233,.00752557,86.1857,36.1196,230.0259,190.5325,0,U,34696,999,86402,.61075594E-2,.33146E-3,0
IRIDIUM 33 DEB,1997-051LJ,2025-11-24T11:51:25.805952,14.40392656,.00143281,86.3406,40.5888,278.1215,96.6173,0,U,34765,999,87351,.46170183E-3,.1486E-4,0
IRIDIUM 33 DEB,1997-051LU,2025-11-11T16:23:00.108960,15.50426089,.0015965,86.3111,32.5566,269.6495,90.2935,0,U,34775,999,87911,.13455681E-1,.838214E-2,0
IRIDIUM 33 DEB,1997-051MH,2025-11-24T06:51:41.166432,14.52199682,.00209963,86.3945,58.9448,155.5939,259.3523,0,U,34833,999,87447,.93680459E-3,.383E-4,0
IRIDIUM 33 DEB,1997-051MQ,2025-11-24T17:42:55.078272,14.75899712,.00144836,86.3108,322.3274,254.2796,231.5380,0,U,34870,999,88645,.16122791E-2,.11121E-3,0
IRIDIUM 33 DEB,1997-051MY,2025-11-24T18:59:27.800736,14.66009189,.002385,86.3288,334.7344,281.5124,253.7792,0,U,34896,999,87356,.11602E-2,.6406E-4,0
IRIDIUM 33 DEB,1997-051NF,2025-11-24T21:34:40.181088,14.53323944,.0077819,86.1325,16.5360,353.5418,187.0029,0,U,34926,999,86197,.54386E-2,.2359E-3,0
IRIDIUM 33 DEB,1997-051NH,2025-11-15T08:27:25.185312,15.77695235,.00026184,86.3522,344.3838,103.7619,256.3947,0,U,34928,999,65862,.84401199E-2,.1570934E-1,0
IRIDIUM 33 DEB,1997-051NR,2025-11-24T06:54:04.731264,14.41885954,.00195871,86.3703,64.7493,285.1951,129.0606,0,U,34985,999,86909,.75246232E-3,.2486E-4,0
IRIDIUM 33 DEB,1997-051NX,2025-11-23T02:48:23.012064,14.47469932,.00098589,86.3258,17.4127,144.7140,215.4717,0,U,35051,999,86712,.57346825E-3,.2126E-4,0
IRIDIUM 33 DEB,1997-051NY,2025-11-24T03:32:03.281280,14.38460039,.00130323,86.3326,28.4448,137.3368,222.8844,0,U,35052,999,87008,.20650437E-3,.65E-5,0
IRIDIUM 33 DEB,1997-051PF,2025-11-24T13:15:51.964128,14.82677686,.00649197,86.2053,61.0459,241.1028,118.3672,0,U,35080,999,69418,.88518732E-2,.74734E-3,0
IRIDIUM 33 DEB,1997-051PM,2025-11-22T14:07:00.934464,14.45016788,.00155639,86.3864,71.3578,205.2080,154.8364,0,U,35297,999,70135,.75600652E-3,.266E-4,0
IRIDIUM 33 DEB,1997-051PP,2025-11-24T15:42:06.132960,14.40723442,.00578658,86.2899,41.0576,160.4301,352.7850,0,U,35299,999,86070,.88460408E-3,.2903E-4,0
IRIDIUM 33 DEB,1997-051QA,2025-11-24T22:10:22.578816,14.49650873,.0014929,86.3587,32.6339,157.6403,202.5455,0,U,35480,999,86773,.66573E-3,.2581E-4,0
