OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
IRIDIUM 106,2017-003A,2025-11-25T02:12:58.899168,14.34218202,.0001885,86.3994,173.8216,100.4911,259.6497,0,U,41917,999,46395,.11049E-3,.329E-5,0
IRIDIUM 103,2017-003B,2025-11-25T01:54:42.457248,14.34220255,.0001713,86.3994,173.7275,78.1378,282.0009,0,U,41918,999,46397,.10994E-3,.328E-5,0
IRIDIUM 109,2017-003C,2025-11-25T02:03:50.769792,14.34219825,.000194,86.3995,173.7807,86.1669,273.9749,0,U,41919,999,46394,.11474E-3,.341E-5,0
IRIDIUM 102,2017-003D,2025-11-25T01:18:10.323360,14.34220323,.0002125,86.3994,173.7221,86.6785,273.4654,0,U,41920,999,46402,.98438E-4,.295E-5,0
IRIDIUM 105,2017-003E,2025-11-25T00:36:02.248128,14.34217278,.000193,86.3967,142.2314,87.8596,272.2821,0,U,41921,999,46587,.32807E-4,.112E-5,0
IRIDIUM 104,2017-003F,2025-11-25T01:36:26.404128,14.34220173,.0002041,86.3995,173.7564,77.0856,283.0567,0,U,41922,999,46401,.1094E-3,.326E-5,0
IRIDIUM 114,2017-003G,2025-11-25T01:45:33.055200,14.34222621,.0001936,86.3994,173.7375,83.7755,276.3661,0,U,41923,999,46399,.97265E-4,.292E-5,0
IRIDIUM 108,2017-003H,2025-11-25T00:45:50.473152,14.34218379,.0002243,86.3960,142.1196,91.7717,268.3736,0,U,41924,999,46584,.32419E-4,.111E-5,0
IRIDIUM 112,2017-003J,2025-11-25T01:27:18.694656,14.34219618,.0002099,86.3991,173.5946,82.6511,277.4923,0,U,41925,999,46401,.1109E-3,.33E-5,0
IRIDIUM 111,2017-003K,2025-11-25T02:49:30.906912,14.34218067,.0001943,86.3994,173.6367,86.9288,273.2130,0,U,41926,999,46400,.111E-3,.331E-5,0
IRIDIUM 113,2017-039A,2025-11-24T22:59:43.103328,14.34217754,.0002074,86.3987,47.5268,91.9222,268.2211,0,U,42803,999,44191,.87453E-4,.265E-5,0
IRIDIUM 123,2017-039B,2025-11-25T01:39:55.520640,14.34219573,.0001754,86.3961,78.9658,99.6087,260.5307,0,U,42804,999,44069,.13537E-3,.399E-5,0
IRIDIUM 120,2017-039C,2025-11-24T22:50:35.977056,14.34219397,.000225,86.3977,47.3386,105.7415,254.4030,0,U,42805,999,44190,.1427E-3,.419E-5,0
IRIDIUM 115,2017-039D,2025-11-24T17:33:01.984608,14.43282619,.0001845,86.4514,47.5314,109.7910,250.3490,0,U,42806,999,44477,.15172E-3,.531E-5,0
IRIDIUM 118,2017-039E,2025-11-25T00:45:08.476704,14.34217339,.0001994,86.3961,78.9807,91.0712,269.0712,0,U,42807,999,44068,.13406E-3,.395E-5,0
IRIDIUM 117,2017-039F,2025-11-25T01:12:31.555008,14.34219501,.0001845,86.3961,78.9324,96.3489,263.7917,0,U,42808,999,44071,.13306E-3,.392E-5,0
IRIDIUM 126,2017-039G,2025-11-24T19:07:11.190720,14.34220710,.0001949,86.3963,79.0863,91.4443,268.6976,0,U,42809,999,44065,.13612E-3,.401E-5,0
IRIDIUM 124,2017-039H,2025-11-25T03:36:37.355040,14.43278168,.0002093,86.4511,15.6612,98.9478,261.1960,0,U,42810,999,44568,.12896E-3,.454E-5,0
IRIDIUM 128,2017-039J,2025-11-24T22:14:46.389120,14.34215346,.0002054,86.3949,110.5656,103.1527,256.9898,0,U,42811,999,44070,.16177E-3,.473E-5,0
IRIDIUM 121,2017-039K,2025-11-25T00:35:58.983936,14.34217523,.0002214,86.3963,79.0170,97.8622,262.2825,0,U,42812,999,44056,.73913E-4,.227E-5,0
IRIDIUM 133,2017-061A,2025-11-25T02:21:22.734720,14.34218180,.0002042,86.3950,110.6065,95.8193,264.3235,0,U,42955,999,42552,.29609E-4,.103E-5,0
IRIDIUM 100,2017-061B,2025-11-24T21:10:50.659392,14.34217277,.0001908,86.3946,110.6196,91.6573,268.4842,0,U,42956,999,42549,.13594E-3,.4E-5,0
IRIDIUM 122,2017-061C,2025-11-24T22:05:38.149152,14.34216064,.0002001,86.3949,110.6037,95.5708,264.5716,0,U,42957,999,42550,.63326E-4,.197E-5,0
IRIDIUM 129,2017-061D,2025-11-24T19:21:14.656032,14.34217624,.0002267,86.3948,110.7160,83.1421,277.0033,0,U,42958,999,42550,.60857E-4,.19E-5,0
IRIDIUM 119,2017-061E,2025-11-25T02:57:54.682848,14.34217977,.0001904,86.3950,110.5787,87.0033,273.1380,0,U,42959,999,42556,.81765E-4,.249E-5,0
IRIDIUM 107,2017-061F,2025-11-24T22:23:54.610080,14.34217961,.0001638,86.3950,110.6781,97.9642,262.1740,0,U,42960,999,42554,.30877E-4,.106E-5,0
IRIDIUM 132,2017-061G,2025-11-24T22:33:02.466432,14.34220173,.0001947,86.3949,110.6564,94.9776,265.1642,0,U,42961,999,42554,.12457E-3,.369E-5,0
IRIDIUM 136,2017-061H,2025-11-25T02:39:38.680704,14.34218226,.0001928,86.3947,110.5903,89.9881,270.1536,0,U,42962,999,42558,.10298E-3,.308E-5,0
IRIDIUM 139,2017-061J,2025-11-24T21:47:22.705152,14.34220571,.0001882,86.3952,110.7342,96.4504,263.6907,0,U,42963,999,42556,.13027E-3,.385E-5,0
IRIDIUM 125,2017-061K,2025-11-25T02:30:30.681792,14.34220680,.0001537,86.3954,110.7094,85.2723,274.8648,0,U,42964,999,42560,.13231E-3,.39E-5,0
IRIDIUM 135,2017-083A,2025-11-24T17:30:56.204352,14.34219012,.0002241,86.3982,47.4721,96.6246,263.5204,0,U,43070,999,41484,.13384E-3,.395E-5,0
IRIDIUM 138,2017-083B,2025-11-24T23:08:52.119168,14.34219131,.0002083,86.3996,47.0379,84.9329,275.2104,0,U,43071,999,41486,.12971E-3,.383E-5,0
IRIDIUM 116,2017-083C,2025-11-25T03:24:36.376416,14.34218286,.0002285,86.3981,47.2883,105.3304,254.8144,0,U,43072,999,41492,.12948E-3,.382E-5,0
IRIDIUM 130,2017-083D,2025-11-24T18:16:36.274080,14.34217863,.0002042,86.3990,47.7028,105.0071,255.1351,0,U,43073,999,41481,.13004E-3,.384E-5,0
IRIDIUM 151,2017-083E,2025-11-24T22:41:27.655008,14.34218222,.0002214,86.3984,47.4238,98.6581,261.4866,0,U,43074,999,41486,.132E-3,.389E-5,0
IRIDIUM 134,2017-083F,2025-11-24T23:36:15.543072,14.34220006,.0002015,86.3983,47.4130,101.5649,258.5773,0,U,43075,999,41483,.13044E-3,.385E-5,0
IRIDIUM 137,2017-083G,2025-11-24T17:12:39.865248,14.34218760,.00026202,86.3987,47.6131,103.3965,256.7523,0,U,43076,999,41486,.12270259E-3,.363E-5,0
IRIDIUM 141,2017-083H,2025-11-24T22:04:56.010144,14.34219220,.000209,86.3981,47.3704,93.6842,266.4592,0,U,43077,999,41489,.1284E-3,.379E-5,0
IRIDIUM 153,2017-083J,2025-11-25T01:57:28.450656,14.34218572,.0001998,86.3988,15.7940,87.9741,272.1683,0,U,43078,999,41602,.12081E-3,.358E-5,0
IRIDIUM 131,2017-083K,2025-11-24T18:25:43.603392,14.34220219,.000215,86.3986,47.6064,93.6273,266.5169,0,U,43079,999,41480,.13213E-3,.39E-5,0
IRIDIUM 144,2018-030A,2025-11-25T02:06:35.616672,14.34220041,.0002199,86.3986,15.7252,98.5461,261.5984,0,U,43249,999,40088,.10872E-3,.324E-5,0
IRIDIUM 149,2018-030B,2025-11-25T02:15:42.690240,14.34215419,.0002154,86.3986,15.6919,96.5645,263.5796,0,U,43250,999,40090,.60165E-4,.188E-5,0
IRIDIUM 157,2018-030C,2025-11-24T09:58:27.405408,14.34220322,.00024125,86.3989,16.0243,93.2186,266.9286,0,U,43251,999,40078,.9512572E-4,.286E-5,0
IRIDIUM 140,2018-030D,2025-11-25T03:10:32.167200,14.34219063,.0002094,86.3987,15.7378,97.6333,262.5100,0,U,43252,999,40094,.10998E-3,.328E-5,0
IRIDIUM 145,2018-030E,2025-11-25T02:52:15.747744,14.34220036,.0002211,86.3986,15.7157,105.7686,254.3753,0,U,43253,999,40087,.10911E-3,.325E-5,0
IRIDIUM 146,2018-030F,2025-11-25T02:24:51.352704,14.34217600,.0002233,86.3985,15.7365,100.1004,260.0444,0,U,43254,999,40088,.57052E-4,.18E-5,0
IRIDIUM 148,2018-030G,2025-11-25T01:39:11.735712,14.34219783,.0002313,86.3988,15.7897,95.0018,265.1442,0,U,43255,999,40091,.10924E-3,.326E-5,0
IRIDIUM 142,2018-030H,2025-11-25T02:33:59.647104,14.34220356,.0002283,86.3984,15.6704,106.0758,254.0690,0,U,43256,999,40088,.1087E-3,.324E-5,0
IRIDIUM 150,2018-030J,2025-11-25T01:48:20.164032,14.34219033,.0002195,86.3987,15.7931,101.2316,258.9127,0,U,43257,999,40090,.10842E-3,.323E-5,0
IRIDIUM 143,2018-030K,2025-11-25T03:01:24.155328,14.34219130,.0002203,86.3991,15.8566,104.1347,256.0093,0,U,43258,999,40084,.10967E-3,.327E-5,0
IRIDIUM 161,2018-047C,2025-11-25T01:24:58.470048,14.43283445,.0002133,86.4516,173.7629,80.4978,279.6463,0,U,43478,999,39569,.12303E-3,.434E-5,0
IRIDIUM 152,2018-047D,2025-11-25T02:22:06.325248,14.34220011,.0002005,86.3989,173.6068,83.3101,276.8323,0,U,43479,999,39323,.10945E-3,.326E-5,0
IRIDIUM 147,2018-047E,2025-11-25T02:31:13.969056,14.34218396,.0002177,86.3991,173.6056,86.5987,273.5458,0,U,43480,999,39323,.10253E-3,.307E-5,0
IRIDIUM 110,2018-047F,2025-11-25T02:40:21.524736,14.34216238,.0002237,86.3994,173.6894,74.1604,285.9838,0,U,43481,999,39322,.10896E-3,.325E-5,0
IRIDIUM 162,2018-047G,2025-11-25T01:15:53.775072,14.43278306,.0001775,86.4515,173.6591,81.2752,278.8650,0,U,43482,999,39568,.12355E-3,.436E-5,0
IRIDIUM 160,2018-061A,2025-11-24T23:41:54.422880,14.34218080,.0002093,86.3970,142.1683,84.7525,275.3909,0,U,43569,999,38410,-.21036E-5,.14E-6,0
IRIDIUM 166,2018-061B,2025-11-25T00:18:26.377056,14.34218496,.0002157,86.3966,142.1108,95.0109,265.1333,0,U,43570,999,38413,.27702E-4,.97E-6,0
