OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
IRIDIUM 7,1997-020B,2024-07-07T20:45:09.202176,14.35281392,.0002167,86.3975,321.1709,99.9491,260.1950,0,U,24793,999,42271,.19879E-3,.589E-5,0
IRIDIUM 5,1997-020D,2024-07-07T14:10:19.541280,14.88118406,.0118584,86.3909,241.7445,290.1669,68.6833,0,U,24795,999,43410,.27357E-3,.2898E-4,0
IRIDIUM 4,1997-020E,2024-07-07T20:35:49.466688,14.36208400,.0002011,86.3970,318.2787,95.6004,264.5422,0,U,24796,999,42306,.20122E-3,.606E-5,0
IRIDIUM 914,1997-030A,2024-07-07T09:59:48.210144,14.40073038,.0000428,86.3953,328.0850,69.0004,291.1241,0,U,24836,999,55749,.19646E-3,.639E-5,0
IRIDIUM 16,1997-030F,2024-07-07T11:47:59.479296,14.37961804,.0004164,86.4047,350.0803,104.4598,255.7062,0,U,24841,999,41745,.20394E-3,.636E-5,0
IRIDIUM 911,1997-030G,2024-07-07T12:06:59.376960,14.46617233,.0014979,86.4472,349.1830,158.8432,201.3394,0,U,24842,999,42523,.23674E-3,.875E-5,0
IRIDIUM 17,1997-034B,2024-07-07T13:02:13.071840,14.37053499,.0003662,86.3956,19.6413,77.1644,282.9962,0,U,24870,999,41407,.18885E-3,.58E-5,0
IRIDIUM 920,1997-034C,2024-07-07T20:19:13.165824,14.40771830,.001312,86.3984,359.5484,131.2066,229.0267,0,U,24871,999,41724,.19601E-3,.647E-5,0
IRIDIUM 921,1997-034E,2024-07-07T17:19:18.738624,15.40818238,.0005551,86.3808,277.9365,154.6929,205.4598,0,U,24873,999,47862,.71827E-3,.29537E-3,0
IRIDIUM 26,1997-043A,2024-07-07T06:03:05.920704,14.36425681,.0002349,86.3949,255.3352,98.9872,261.1591,0,U,24903,999,40721,.15262E-3,.467E-5,0
IRIDIUM 22,1997-043E,2024-07-07T06:05:13.678656,14.35313571,.0002232,86.3952,258.5882,93.7283,266.4169,0,U,24907,999,40728,.15549E-3,.465E-5,0
DUMMY MASS 1,1997-048A,2024-07-07T19:05:15.302400,14.86273874,.0004576,86.3350,294.4661,295.5008,64.5743,0,U,24925,999,45420,.69693E-4,.641E-5,0
DUMMY MASS 2,1997-048B,2024-07-07T20:02:49.710048,14.86031689,.0005608,86.3350,295.9946,309.5555,50.5173,0,U,24926,999,45399,.7011E-4,.641E-5,0
IRIDIUM 29,1997-051A,2024-07-07T07:40:42.403008,14.35763321,.0001993,86.3956,288.4631,90.7511,269.3914,0,U,24944,999,40377,.16804E-3,.505E-5,0
IRIDIUM 33,1997-051C,2024-07-07T18:49:14.765088,14.34410002,.0009895,86.3871,287.5185,116.5908,243.6303,0,U,24946,999,40337,.14213E-3,.42E-5,0
IRIDIUM 28,1997-051E,2024-07-07T19:09:08.365536,14.36718813,.000255,86.3960,285.9736,100.9872,259.1613,0,U,24948,999,40445,.18447E-3,.563E-5,0
IRIDIUM 36,1997-056C,2024-07-07T21:01:54.102432,14.36878295,.0002282,86.3980,317.6062,90.2589,269.8870,0,U,24967,999,40276,.22896E-3,.696E-5,0
IRIDIUM 39,1997-069D,2024-07-07T12:47:05.079552,14.48045453,.0018991,86.3926,358.8411,23.2729,336.9330,0,U,25042,999,39906,.2386E-3,.909E-5,0
IRIDIUM 38,1997-069E,2024-07-07T14:22:22.510560,14.37324291,.000338,86.3958,18.0840,116.7677,243.3866,0,U,25043,999,39644,.19019E-3,.587E-5,0
IRIDIUM 42,1997-077A,2024-07-07T22:54:47.617056,14.35618763,.0002341,86.3960,23.6793,103.9133,256.2324,0,U,25077,999,39179,.19226E-3,.574E-5,0
IRIDIUM 44,1997-077B,2024-07-07T13:57:45.146592,14.39463845,.0003974,86.3962,6.6895,85.3344,274.8308,0,U,25078,999,39411,.19283E-3,.62E-5,0
IRIDIUM 45,1997-082A,2024-07-07T13:57:49.304160,15.03884861,.0158937,86.3721,212.6727,164.1597,196.4695,0,U,25104,999,39992,.63919E-3,.11701E-3,0
IRIDIUM 24,1997-082B,2024-07-07T13:48:31.839264,14.41249781,.0013283,86.3910,226.2417,129.5422,230.6954,0,U,25105,999,39356,.17771E-3,.594E-5,0
IRIDIUM 51,1998-018A,2024-07-07T12:01:03.395136,15.12189492,.0145454,86.3943,222.4679,108.0078,253.7074,0,U,25262,999,39470,.86366E-3,.19382E-3,0
IRIDIUM 57,1998-019B,2024-07-07T18:47:15.648000,14.35273251,.0002206,86.3961,289.4941,95.1028,265.0420,0,U,25273,999,37558,.16636E-3,.496E-5,0
IRIDIUM 63,1998-021B,2024-07-07T14:08:53.233728,14.35823556,.000215,86.3983,226.4754,89.3523,270.7920,0,U,25286,999,37438,.16465E-3,.496E-5,0
IRIDIUM 69,1998-026A,2024-07-08T03:41:34.104480,14.40069324,.0004596,86.3969,240.5615,85.6754,274.4970,0,U,25319,999,37377,.19231E-3,.626E-5,0
IRIDIUM 71,1998-026B,2024-07-07T14:14:47.715648,14.40377670,.000403,86.3971,235.5550,117.3135,242.8475,0,U,25320,999,37397,.16085E-3,.53E-5,0
IRIDIUM 73,1998-032C,2024-07-07T22:14:26.839392,14.50613806,.0002972,86.4439,192.8325,88.0650,272.0895,0,U,25344,999,38093,.19685E-3,.792E-5,0
IRIDIUM 82,1998-051A,2024-07-07T17:51:03.994272,15.11061775,.0126922,86.3747,276.0146,144.4594,216.5184,0,U,25467,999,37159,.89663E-3,.18276E-3,0
