OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
KUIPER-00008,2025-088A,2026-03-16T06:00:02.999808,14.81725726,.00008092,51.9001,58.3611,121.9362,13.4847,0,U,63724,999,479,-.96359115E-3,-.7883E-4,0
KUIPER-00009,2025-088B,2026-03-14T17:05:45.682656,14.80356926,.00068169,51.9021,84.4258,114.8465,245.3207,0,U,63725,999,4852,.12257408E-1,.95547E-3,0
KUIPER-00010,2025-088C,2026-03-16T04:34:20.216928,14.79934731,.00007176,51.9031,54.3464,95.4380,264.6665,0,U,63726,999,4869,.19482906E-3,.1264E-4,0
KUIPER-00011,2025-088D,2026-03-16T05:11:32.930304,14.79943381,.00008988,51.9014,61.7934,224.6211,135.4679,0,U,63727,999,4872,.47565435E-4,.142E-5,0
KUIPER-00012,2025-088E,2026-03-16T04:45:58.206240,14.79946604,.00011645,51.9053,46.7969,65.8233,294.2851,0,U,63728,999,4888,.72789721E-3,.5334E-4,0
KUIPER-00013,2025-088F,2026-03-16T06:21:26.308512,14.79896830,.00022605,51.9004,79.0217,68.9960,291.1244,0,U,63729,999,4854,.45418121E-3,.324E-4,0
KUIPER-00014,2025-088G,2026-03-14T13:47:54.133440,14.80187692,.00017491,51.9009,87.4638,78.8983,281.2176,0,U,63730,999,4809,.11258135E-1,.87254E-3,0
KUIPER-00015,2025-088H,2026-03-14T18:36:12.431232,14.83525300,.00106584,51.8986,95.7156,85.6025,274.6156,0,U,63731,999,4845,-.24900867E-2,-.20881E-3,0
KUIPER-00016,2025-088J,2026-03-14T05:37:55.061184,14.79955672,.00064752,51.8992,91.5001,88.1474,272.0230,0,U,63732,999,4800,.58962947E-3,.4279E-4,0
KUIPER-00018,2025-088K,2026-03-16T06:33:01.357632,14.79930301,.00006764,51.9017,71.4578,93.6826,266.4214,0,U,63733,999,4846,.41710834E-3,.296E-4,0
KUIPER-00019,2025-088L,2026-03-16T06:34:30.401472,14.79948862,.00007049,51.9011,69.9789,68.4619,291.6418,0,U,63734,999,4848,.21559293E-3,.1423E-4,0
KUIPER-00020,2025-088M,2026-03-14T17:12:07.130016,14.79934665,.0007221,51.9003,80.8573,91.4268,268.7521,0,U,63735,999,4840,-.33848441E-2,-.25941E-3,0
KUIPER-00021,2025-088N,2026-03-13T10:22:18.330240,14.80006332,.00034631,51.9000,87.5329,91.8245,268.3114,0,U,63736,999,4803,.55580504E-3,.4025E-4,0
KUIPER-00023,2025-088P,2026-03-16T06:25:25.423968,14.79976663,.00074613,51.9005,76.4570,113.8136,246.3609,0,U,63737,999,4873,.18022092E-2,.13564E-3,0
KUIPER-00024,2025-088Q,2026-03-16T05:07:30.720864,14.79912152,.00008082,51.9039,64.2659,68.9801,291.1248,0,U,63738,999,4902,.21074723E-3,.1385E-4,0
KUIPER-00025,2025-088R,2026-03-16T03:53:05.079840,14.83584311,.00007897,51.9017,72.5702,33.0860,327.0153,0,U,63739,999,4876,.47206185E-3,.3702E-4,0
KUIPER-00027,2025-088S,2026-03-16T06:40:43.277088,14.79932026,.00008446,51.9026,66.4489,92.4635,267.6424,0,U,63740,999,4859,-.540601E-3,-.434E-4,0
KUIPER-00028,2025-088T,2026-03-16T05:56:14.512416,14.79931123,.00012192,51.8996,64.0555,66.0101,294.0989,0,U,63741,999,4903,.42215572E-3,.2998E-4,0
KUIPER-00029,2025-088U,2026-03-16T05:59:51.990720,14.79919254,.00008095,51.9025,61.5886,91.7517,268.3538,0,U,63742,999,4859,-.2525372E-3,-.2145E-4,0
KUIPER-00030,2025-088V,2026-03-16T04:39:43.398720,14.80002663,.00099442,51.9011,81.7800,86.5374,273.6725,0,U,63743,999,4859,-.18490633E-3,-.1637E-4,0
KUIPER-00031,2025-088W,2026-03-16T05:43:11.062272,14.83724530,.0001726,51.8997,66.5585,158.1726,201.9312,0,U,63744,999,4852,.43504177E-3,.3405E-4,0
KUIPER-00032,2025-088X,2026-03-16T00:55:17.301216,15.37582538,.00052637,51.8721,353.5187,134.2055,225.9365,0,U,63745,999,5052,.41274473E-3,.15104E-3,0
KUIPER-00033,2025-088Y,2026-03-15T18:03:02.688480,14.83535010,.0001123,51.8999,98.8964,51.0683,309.0380,0,U,63746,999,4851,.43949374E-3,.3426E-4,0
KUIPER-00034,2025-088Z,2026-03-16T06:00:02.999808,14.80049742,.00009823,51.9006,59.0839,58.8619,289.6152,0,U,63747,999,572,-.42948988E-2,-.32894E-3,0
KUIPER-00035,2025-088AA,2026-03-15T09:50:11.976576,14.83371048,.00039675,51.8988,88.4358,86.1395,274.0023,0,U,63748,999,4836,.52992564E-3,.4161E-4,0
KUIPER-00037,2025-088AB,2026-03-16T04:36:13.263552,14.79961217,.00008612,51.8993,84.3052,82.6374,277.4686,0,U,63749,999,4927,.47242714E-3,.3384E-4,0
KUIPER-00038,2025-088AC,2026-03-16T06:37:16.198752,14.79896659,.00007233,51.9028,68.9689,93.6063,266.4982,0,U,63750,999,4849,.27797662E-3,.1897E-4,0
KUIPER-00039,2025-134A,2026-03-16T01:05:40.760160,14.79935655,.00005977,51.9000,204.9859,88.6128,271.4903,0,U,64500,999,4101,.57788062E-3,.4187E-4,0
KUIPER-00040,2025-134B,2026-03-14T22:51:31.516704,14.80208786,.00119479,51.8991,220.9586,287.4313,72.5343,0,U,64501,999,4069,.10333692E-1,.80107E-3,0
KUIPER-00041,2025-134C,2026-03-13T19:36:11.236608,14.78773872,.00070909,51.8985,227.4681,280.3421,79.6741,0,U,64502,999,4050,.62757409E-3,.4439E-4,0
KUIPER-00042,2025-134D,2026-03-16T02:28:29.729568,14.79930840,.00070136,51.8989,213.2268,303.6514,56.3779,0,U,64503,999,4090,-.27686377E-3,-.2334E-4,0
KUIPER-00043,2025-134E,2026-03-15T21:02:30.564096,14.79983565,.00006874,51.9022,205.6673,73.3341,286.7697,0,U,64504,999,4099,.72500969E-3,.5317E-4,0
KUIPER-00044,2025-134F,2026-03-16T02:20:47.626944,14.80005172,.00080122,51.8977,218.2502,298.2057,61.8095,0,U,64505,999,4083,.51172439E-3,.3689E-4,0
KUIPER-00046,2025-134G,2026-03-16T02:27:22.408416,14.79938920,.00005509,51.8975,214.6921,103.0207,257.0817,0,U,64506,999,4088,.51024081E-3,.3671E-4,0
KUIPER-00047,2025-134H,2026-03-14T00:57:18.008928,14.77348275,.00023399,51.8967,196.6881,148.1843,211.9260,0,U,64507,999,4095,.12210802E-2,.8551E-4,0
KUIPER-00048,2025-134J,2026-03-15T23:55:24.786624,14.79959733,.00006144,51.8985,187.6868,79.1301,280.9731,0,U,64508,999,4125,.62613443E-3,.4558E-4,0
KUIPER-00049,2025-134K,2026-03-16T01:51:37.896480,14.83423554,.00013901,51.8999,200.4013,157.4919,202.6106,0,U,64509,999,4108,.59837109E-3,.4735E-4,0
KUIPER-00050,2025-134L,2026-03-16T00:49:11.813664,14.96991380,.0003677,51.8875,183.1226,337.7666,22.3143,0,U,64510,999,4132,-.74536825E-3,-.8917E-4,0
KUIPER-00051,2025-134M,2026-03-16T06:00:02.999808,14.81912335,.00002799,51.9001,196.6134,305.7679,190.9790,0,U,64511,999,493,.15500647E-2,.12187E-3,0
KUIPER-00053,2025-134P,2026-03-16T01:21:04.491072,14.79954862,.00006606,51.9002,194.9403,188.2397,171.8555,0,U,64513,999,4115,.33145416E-3,.2308E-4,0
KUIPER-00054,2025-134Q,2026-03-15T17:22:45.020352,14.79942498,.00004753,51.8974,191.3792,67.7378,292.3635,0,U,64514,999,4117,.64368904E-3,.469E-4,0
KUIPER-00055,2025-134R,2026-03-15T13:17:41.487360,15.20765711,.00021894,51.8919,152.1365,43.3194,316.7957,0,U,64515,999,4171,.65759136E-3,.1438E-3,0
KUIPER-00056,2025-134S,2026-03-16T06:00:02.999808,14.79908906,.00006787,51.9012,194.1058,130.5354,1.7527,0,U,64516,999,511,.52683939E-2,.40159E-3,0
