OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
HULIANWANG DIGUI-146,2026-013A,2026-02-18T06:08:58.348032,13.69535244,.00005635,50.0084,66.4927,6.8725,353.2172,0,U,67522,999,416,.87656639E-4,-.62E-6,0
HULIANWANG DIGUI-147,2026-013B,2026-02-18T04:19:59.184768,13.70021404,.0001199,50.0041,66.7437,26.8768,333.2184,0,U,67523,999,415,.8299868E-4,-.65E-6,0
HULIANWANG DIGUI-148,2026-013C,2026-02-18T12:56:52.310112,13.70757018,.00002229,50.0093,65.3320,0.6514,359.4376,0,U,67524,999,420,.11143623E-3,-.39E-6,0
HULIANWANG DIGUI-149,2026-013D,2026-02-18T04:05:00.543552,13.70183160,.00008416,50.0084,66.7073,99.8869,260.2116,0,U,67525,999,415,.10929682E-3,-.42E-6,0
HULIANWANG DIGUI-150,2026-013E,2026-02-18T03:52:54.856992,13.70577258,.00013409,50.0022,66.6346,141.6030,218.4955,0,U,67526,999,417,.11103307E-3,-.4E-6,0
HULIANWANG DIGUI-151,2026-013F,2026-02-18T14:09:34.900992,13.70099842,.00003443,50.0094,64.9347,139.2306,220.8610,0,U,67527,999,421,.11812907E-3,-.34E-6,0
HULIANWANG DIGUI-152,2026-013G,2026-02-18T03:49:07.774464,13.70933611,.00017511,50.0021,66.6201,135.0517,225.0516,0,U,67528,999,415,.12066291E-3,-.31E-6,0
HULIANWANG DIGUI-153,2026-013H,2026-02-18T03:35:47.825376,13.71025036,.00017351,50.0026,66.5725,188.7550,171.3310,0,U,67529,999,414,.17772011E-4,-.123E-5,0
HULIANWANG DIGUI-154,2026-013J,2026-02-18T03:31:11.566560,13.71139066,.00015397,50.0061,66.5723,209.1373,150.9431,0,U,67530,999,414,.15819016E-3,.3E-7,0
CZ-12 R/B,2026-013K,2026-02-13T07:25:00.756192,14.14458025,.0069052,49.9940,81.6091,213.8608,145.7882,0,U,67531,999,353,.24917E-4,-.106E-5,0
STARLINK-36587,2026-014A,2026-02-18T14:56:01.645728,15.80985400,.00027357,97.2833,293.6448,132.7003,227.4496,0,U,67532,999,557,.19355686E-2,.390721E-2,0
STARLINK-36417,2026-014B,2026-02-18T14:30:51.816096,15.75291659,.00022918,97.2843,293.5135,72.6918,287.4598,0,U,67533,999,556,.16526392E-2,.255E-2,0
STARLINK-36576,2026-014C,2026-02-18T14:00:03.000384,15.75200743,.00015673,97.2836,293.5807,89.1198,353.7409,0,U,67534,999,561,.4338541E-5,.518E-5,0
STARLINK-36574,2026-014D,2026-02-18T14:00:03.000384,15.76892767,.00019456,97.2833,293.6081,71.0999,76.5438,0,U,67535,999,561,-.13411263E-1,-.1882193E-1,0
STARLINK-36572,2026-014E,2026-02-18T14:11:02.547744,15.75294010,.00019198,97.2818,293.5308,106.2080,253.9397,0,U,67536,999,556,.17419946E-2,.269271E-2,0
STARLINK-36561,2026-014F,2026-02-18T14:19:40.736064,15.75319240,.00021653,97.2847,293.5225,132.3558,227.7891,0,U,67537,999,556,.21210329E-2,.330641E-2,0
STARLINK-36397,2026-014G,2026-02-18T14:25:16.290336,15.75306764,.00015924,97.2845,293.5178,106.4365,253.7075,0,U,67538,999,556,.19938118E-2,.309869E-2,0
STARLINK-36573,2026-014H,2026-02-18T14:00:03.000384,15.75095056,.00014691,97.2838,293.5973,95.6888,31.2685,0,U,67539,999,561,.66052469E-3,.99135E-3,0
STARLINK-36585,2026-014J,2026-02-18T14:13:34.924512,15.75279304,.00013746,97.2843,293.5266,87.7295,272.4127,0,U,67540,999,556,.14700312E-2,.225904E-2,0
STARLINK-36579,2026-014K,2026-02-18T14:02:24.265248,15.75280315,.00014271,97.2824,293.5377,75.8088,284.3336,0,U,67541,999,556,.16451704E-2,.253677E-2,0
STARLINK-35934,2026-014L,2026-02-18T14:00:03.000384,15.75182749,.00018657,97.2838,293.6215,102.2560,80.6158,0,U,67542,999,560,-.98530686E-4,-.14797E-3,0
STARLINK-36581,2026-014M,2026-02-18T14:00:03.000384,15.75191287,.00015582,97.2841,293.6023,95.8555,43.0117,0,U,67543,999,561,.4371907E-4,.6397E-4,0
STARLINK-36565,2026-014N,2026-02-18T15:04:54.945408,15.75330746,.00024784,97.2844,293.6359,138.5223,221.6231,0,U,67544,999,557,.22550128E-2,.352629E-2,0
STARLINK-36583,2026-014P,2026-02-18T14:07:59.603520,15.75235901,.00016455,97.2832,293.5311,91.1945,268.9509,0,U,67545,999,556,.78314707E-3,.118553E-2,0
STARLINK-36580,2026-014Q,2026-02-18T13:42:04.857120,15.75278149,.00026027,97.2838,293.5609,81.1772,278.9788,0,U,67546,999,556,.13032379E-2,.199642E-2,0
STARLINK-36584,2026-014R,2026-02-18T14:00:03.000384,15.75196092,.00018235,97.2846,293.6146,89.9548,80.8954,0,U,67547,999,561,.37413701E-4,.5456E-4,0
STARLINK-36586,2026-014S,2026-02-18T14:30:56.030688,15.80969483,.00023993,97.2844,293.6670,83.3754,276.7787,0,U,67548,999,557,.1782091E-2,.358107E-2,0
STARLINK-36564,2026-014T,2026-02-18T13:53:46.056192,15.75271131,.0001676,97.2827,293.5465,79.8888,280.2566,0,U,67549,999,550,.15750278E-2,.242437E-2,0
STARLINK-36563,2026-014U,2026-02-18T13:47:40.284384,15.75265328,.00017022,97.2827,293.5514,71.7763,288.3687,0,U,67550,999,556,.16674402E-2,.257049E-2,0
STARLINK-36566,2026-014V,2026-02-18T13:44:37.181184,15.75319124,.00019572,97.2831,293.5563,83.6453,276.5035,0,U,67551,999,555,.22292511E-2,.34824E-2,0
STARLINK-36567,2026-014W,2026-02-18T13:56:49.007328,15.75308784,.00016835,97.2839,293.5408,79.5835,280.5620,0,U,67552,999,555,.21882923E-2,.341411E-2,0
STARLINK-36569,2026-014X,2026-02-18T14:50:41.273664,15.75280736,.00022049,97.2850,293.6441,130.0417,230.1042,0,U,67553,999,556,.15532541E-2,.239094E-2,0
STARLINK-36395,2026-014Y,2026-02-18T13:48:41.128128,15.75288543,.00016596,97.2837,293.5478,97.6029,262.5424,0,U,67554,999,555,.18580699E-2,.287783E-2,0
STARLINK-36559,2026-014Z,2026-02-18T13:50:43.432512,15.75240366,.00036733,97.2838,293.5467,58.2143,301.9480,0,U,67555,999,555,.17740782E-2,.273784E-2,0
MR-2,2026-015A,2026-02-18T15:04:34.485888,13.52686630,.00050313,88.9963,280.6010,72.6332,287.5370,0,U,67556,999,368,.82752302E-4,.67E-6,0
MR-1,2026-015B,2026-02-18T15:05:17.332512,13.52661772,.00051047,88.9963,280.6012,71.3970,288.7736,0,U,67557,999,368,.8908141E-4,.71E-6,0
ELECTRON R/B,2026-015C,2026-02-18T15:18:32.560704,15.79979851,.0260955,88.9636,279.7240,167.7993,192.9778,0,U,67558,999,412,.12815E-2,.471637E-1,-.14475E-5
ELECTRON KICK STAGE R/B,2026-015D,2026-02-18T15:10:50.739744,14.68579598,.05272052,89.0492,280.1634,239.8874,114.9097,0,U,67559,999,399,.74283543E-3,.44361E-3,-.169271E-6
STARLINK-36426,2026-014AA,2026-02-18T14:42:02.607552,15.75277084,.00020657,97.2841,293.6546,131.5129,228.6314,0,U,67560,999,556,.1349764E-2,.206933E-2,0
STARLINK-36621,2026-016A,2026-02-18T08:25:06.277440,15.75253168,.00011921,97.2833,108.8009,18.0360,342.0948,0,U,67561,999,375,.11067413E-2,.168708E-2,0
STARLINK-36398,2026-016B,2026-02-18T14:41:42.052128,15.75228471,.00008414,97.2830,109.0554,99.8150,260.3210,0,U,67562,999,379,.12784488E-2,.195308E-2,0
STARLINK-36403,2026-016C,2026-02-18T03:08:22.259616,15.80877600,.00011565,97.2832,108.6427,76.9117,283.2280,0,U,67563,999,372,.82206146E-3,.160706E-2,0
STARLINK-36593,2026-016D,2026-02-18T03:06:36.480096,15.80887540,.00016194,97.2829,108.6440,68.2745,291.8696,0,U,67564,999,372,.88604159E-3,.173563E-2,0
STARLINK-35725,2026-016E,2026-02-18T03:32:53.191968,15.75241683,.00015705,97.2835,108.6175,84.6192,275.5253,0,U,67565,999,372,.97757022E-3,.148578E-2,0
STARLINK-36394,2026-016F,2026-02-18T08:09:51.726528,15.75267807,.0001087,97.2843,108.8121,48.3223,311.8135,0,U,67566,999,375,.15879235E-2,.244446E-2,0
