OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
SAR-LUPE 3,2007-053A,2025-11-25T03:29:25.005984,15.83666616,.0006049,98.1541,142.6801,124.6059,235.5780,0,U,32283,999,846,.7957E-3,.177568E-2,0
SAPPHIRE,2013-009C,2025-11-25T02:25:32.995776,14.35152446,.0012032,98.4156,148.4867,132.7826,227.4373,0,U,39088,999,66730,.90612E-4,.216E-5,0
PRAETORIAN SDA_602,2025-203A,2025-11-25T01:50:14.223264,13.84620937,.0007026,81.3030,199.8574,33.4186,326.7413,0,U,65565,999,1045,.88092E-4,.111E-5,0
PRAETORIAN SDA_603,2025-203B,2025-11-25T02:36:06.255072,13.85362029,.0010993,81.3039,199.7462,30.1107,330.0680,0,U,65566,999,1046,.14659E-3,.179E-5,0
PRAETORIAN SDA_604,2025-203C,2025-11-25T01:53:20.253696,13.84583169,.0007311,81.3058,199.8822,36.3030,323.8621,0,U,65567,999,1045,.10123E-3,.126E-5,0
PRAETORIAN SDA_605,2025-203D,2025-11-25T02:49:28.192224,13.85193236,.001006,81.3025,199.7447,29.6639,330.5087,0,U,65568,999,1046,.12115E-3,.149E-5,0
PRAETORIAN SDA_606,2025-203E,2025-11-25T01:44:11.789952,13.84697121,.0007745,81.3054,199.8715,33.3411,326.8232,0,U,65569,999,1045,.1228E-3,.15E-5,0
PRAETORIAN SDA_607,2025-203F,2025-11-25T02:46:16.482720,13.85233765,.0010258,81.3039,199.7597,30.0333,330.1411,0,U,65570,999,1046,.88313E-4,.112E-5,0
PRAETORIAN SDA_608,2025-203G,2025-11-25T01:56:35.431296,13.84540369,.0007209,81.3006,199.8425,37.4415,322.7243,0,U,65571,999,1045,.47304E-4,.65E-6,0
PRAETORIAN SDA_609,2025-203H,2025-11-25T01:38:13.032096,13.84773892,.0007967,81.3050,199.8619,31.1109,329.0518,0,U,65572,999,1045,.27918E-3,.326E-5,0
PRAETORIAN SDA_610,2025-203J,2025-11-25T01:47:15.782208,13.84660159,.0007584,81.3006,199.8342,34.2180,325.9464,0,U,65573,999,1045,.75515E-4,.97E-6,0
PRAETORIAN SDA_611,2025-203K,2025-11-22T15:04:06.034368,13.84466985,.00070705,81.3014,202.1296,45.9984,314.1754,0,U,65574,999,1011,.10412511E-3,.129E-5,0
PRAETORIAN SDA_612,2025-203L,2025-11-25T02:52:29.912160,13.85152722,.0010007,81.3040,199.7647,29.6332,330.5390,0,U,65575,999,1046,-.62716E-4,-.59E-6,0
PRAETORIAN SDA_613,2025-203M,2025-11-25T01:41:05.972064,13.84743249,.0007853,81.3009,199.8310,32.5456,327.6184,0,U,65576,999,1045,.77733E-4,.99E-6,0
PRAETORIAN SDA_614,2025-203N,2025-11-25T01:35:30.969024,13.84805630,.0007948,81.3022,199.8375,29.6789,330.4818,0,U,65577,999,1046,.87092E-4,.11E-5,0
PRAETORIAN SDA_615,2025-203P,2025-11-25T02:42:19.063296,13.85286202,.0010366,81.3023,199.7384,30.5854,329.5905,0,U,65578,999,1046,.94347E-4,.119E-5,0
PRAETORIAN SDA_616,2025-203Q,2025-11-25T01:59:30.226272,13.84508936,.0007109,81.3054,199.8843,39.3726,320.7946,0,U,65579,999,1045,.3961E-3,.456E-5,0
PRAETORIAN SDA_617,2025-203R,2025-11-25T01:15:12.501792,13.85054495,.0009606,81.3041,199.8379,29.1834,330.9858,0,U,65580,999,1045,.89246E-4,.113E-5,0
PRAETORIAN SDA_618,2025-203S,2025-11-25T02:39:11.615040,13.85323542,.001068,81.3024,199.7361,30.1150,330.0620,0,U,65581,999,1046,.48159E-4,.67E-6,0
PRAETORIAN SDA_619,2025-203T,2025-11-25T01:18:39.947328,13.85021292,.0009283,81.3042,199.8405,29.0974,331.0698,0,U,65582,999,1108,.94728E-4,.119E-5,0
PRAETORIAN SDA_620,2025-203U,2025-11-25T01:21:45.648576,13.84990697,.0009133,81.3029,199.8307,29.2951,330.8716,0,U,65583,999,1045,.74443E-4,.96E-6,0
PRAETORIAN SDA_621,2025-203V,2025-11-25T02:55:41.200032,13.85113631,.0009639,81.3026,199.7501,28.8281,331.3407,0,U,65584,999,1046,.88976E-5,.22E-6,0
PRAETORIAN SDA_601,2025-203W,2025-11-25T02:05:48.475104,13.84410876,.0007019,81.3041,199.8782,41.8455,318.3237,0,U,65585,999,1045,-.10923E-4,0,0
