OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
MOLNIYA 2-9,1974-026A,2024-07-05T21:29:30.832800,2.45097948,.6448286,64.2924,125.8407,270.7757,21.2986,0,U,7276,999,26758,0,.71E-6,0
MOLNIYA 2-10,1974-056A,2024-06-13T19:44:51.899424,2.01075943,.684635,65.1685,17.2177,279.3429,14.8914,0,U,7376,999,36498,0,.78E-5,0
MOLNIYA 1-S,1974-060A,2024-07-07T18:49:47.871840,1.00227932,.0010316,3.1943,270.2836,237.6391,161.5142,0,U,7392,999,12704,0,-.302E-5,0
MOLNIYA 1-29,1975-036A,2024-07-06T21:47:32.924544,2.00580814,.6711574,63.4742,137.5014,283.7722,14.5079,0,U,7780,999,36067,-.52336E-1,.135E-5,0
MOLNIYA 2-14,1975-081A,2024-07-05T20:53:21.112800,2.02104785,.6710788,63.6615,110.4385,288.6640,13.1220,0,U,8195,999,35803,0,.189E-5,0
MOLNIYA 1-32,1976-006A,2024-07-07T10:09:39.866112,2.00062423,.6828431,63.6516,206.3525,282.0024,14.2912,0,U,8601,999,6768,0,-.866E-5,0
MOLNIYA 1-36,1977-021A,2024-07-07T09:58:52.144320,2.00672721,.675593,63.5698,181.7793,286.8601,13.3007,0,U,9880,999,24443,0,-.1029E-4,0
MOLNIYA 3-8,1977-105A,2024-07-07T05:13:00.467328,2.00409780,.7052405,63.6314,253.0952,282.0131,12.9397,0,U,10455,999,34220,0,-.4E-7,0
MOLNIYA 1-40,1978-055A,2024-07-07T08:18:22.061088,2.00522472,.7144334,63.9126,303.6320,279.3776,13.0328,0,U,10925,999,33774,0,-.38E-5,0
MOLNIYA 3-10,1978-095A,2024-07-07T06:54:20.879424,4.09908084,.5650763,63.2801,129.2353,314.8226,11.1828,0,U,11057,999,41450,-.24353E-2,-.128E-5,0
MOLNIYA 3-13,1980-063A,2024-07-06T14:42:24.394176,2.00575464,.7327515,63.3638,32.7296,278.2140,11.8961,0,U,11896,999,32214,0,-.134E-5,0
MOLNIYA 1-52,1981-123A,2024-07-06T01:50:04.750368,2.00774314,.7163355,61.5515,174.6858,264.6790,17.5691,0,U,13012,999,31161,.27919E-1,.1472E-4,0
MOLNIYA 1-53,1982-015A,2024-07-06T19:25:49.594656,2.00409152,.694386,62.6576,126.0420,283.3341,13.1328,0,U,13070,999,31031,.13634E-2,-.818E-5,0
MOLNIYA 3-20,1983-015A,2024-07-04T14:55:54.180768,2.00756176,.718244,62.0608,238.9193,266.2828,16.8762,0,U,13875,999,23872,-.64639E-2,-.102E-4,0
MOLNIYA 1-63,1984-124A,2024-07-07T03:07:54.838848,2.00797996,.7052181,63.6096,87.1566,256.2061,346.3934,0,U,15429,999,28981,0,-.1299E-4,0
MOLNIYA 3-24,1985-040A,2024-07-06T19:58:39.125856,2.55654713,.6907731,62.7666,294.6331,249.7902,27.9097,0,U,15738,999,32305,.19053E-3,.25E-6,0
MOLNIYA 3-27,1985-117A,2024-07-04T19:40:39.654624,2.12400418,.7177397,63.3625,334.7185,245.7568,27.3183,0,U,16393,999,29007,0,-.39E-6,0
MOLNIYA 1-69,1986-089A,2024-06-17T04:46:52.291776,2.00458133,.702887,63.8371,110.4433,252.9103,24.5014,0,U,17078,999,27551,0,-.93E-5,0
MOLNIYA 3-31,1987-008A,2024-07-05T13:56:49.989696,2.00574159,.7387492,63.2290,26.2431,253.4518,20.3016,0,U,17328,999,27089,-.21756E-3,-.441E-5,0
MOLNIYA 1-71,1988-017A,2024-07-05T13:15:47.784960,2.00679347,.7461369,62.9909,12.9009,258.2375,17.4125,0,U,18946,999,26608,.64811E-3,.7E-6,0
MOLNIYA 1-75,1989-014A,2024-07-05T08:35:57.589152,2.00570306,.6615731,63.8384,208.5835,261.6295,24.1111,0,U,19807,999,25901,0,.212E-5,0
MOLNIYA 1-80,1991-012A,2024-07-06T23:21:07.588800,2.05233664,.648436,65.0075,256.7473,267.4117,22.6100,0,U,21118,999,24638,0,.894E-5,0
MOLNIYA 3-40,1991-022A,2024-07-06T13:14:38.532768,2.03002155,.6518141,64.8198,250.8948,264.6306,23.6208,0,U,21196,999,24491,0,-.289E-5,0
MOLNIYA 1-81,1991-043A,2024-07-07T05:26:26.983680,2.00592141,.6854874,63.5531,253.6665,263.0835,21.1646,0,U,21426,999,24222,0,.115E-5,0
MOLNIYA 3-41,1991-065A,2024-07-04T03:05:34.602144,2.04354064,.7258694,63.8571,73.2396,251.1277,22.8872,0,U,21706,999,24220,0,-.1348E-4,0
MOLNIYA 3-42,1992-067A,2024-07-04T09:42:03.392352,2.20434931,.6614385,64.6645,135.9496,255.0493,27.8227,0,U,22178,999,9654,0,.62E-6,0
MOLNIYA 1-86,1993-035A,2024-07-07T18:02:04.539552,5.63380195,.4895436,63.0216,158.6168,19.2685,354.1263,0,U,22671,999,39454,.8568E-3,.999E-5,0
MOLNIYA 1-87,1993-079A,2024-07-06T19:20:36.817152,2.02843764,.6973576,64.9091,3.8273,277.8851,14.4537,0,U,22949,999,9015,0,.102E-5,0
MOLNIYA 1-88,1994-081A,2024-07-07T04:14:54.847680,3.34492526,.5903231,64.4386,27.7631,269.5531,26.7591,0,U,23420,999,13881,0,-.81E-6,0
MOLNIYA 3-47,1995-042A,2024-07-07T10:34:24.851424,2.01978481,.6951759,64.9845,345.7698,277.9126,14.6532,0,U,23642,999,21218,0,-.1163E-4,0
MOLNIYA 1-90,1997-054A,2024-07-07T07:07:23.011968,3.18686069,.6090798,64.2951,353.9542,291.3475,16.0616,0,U,24960,999,23193,.45412E-4,-.107E-5,0
MOLNIYA 1-91,1998-054A,2024-07-07T12:52:41.020896,2.36441082,.6823563,64.0369,32.3062,290.3992,11.9005,0,U,25485,999,19679,0,-.118E-5,0
MOLNIYA 3-50,1999-036A,2024-07-07T03:48:19.351584,2.00582081,.6997513,63.4682,231.3297,282.1729,13.1964,0,U,25847,999,18317,-.41388E-1,-.5E-6,0
