OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
OPS 7218 (TRANSIT 16),1967-048A,2026-03-16T04:12:15.882048,13.50745888,.00190797,89.6809,350.9577,201.1029,278.9778,0,U,2807,999,89537,.17406391E-3,.122E-5,0
OPS 4947 (TRANSIT 17),1967-092A,2026-03-16T02:22:48.447840,13.53480024,.00467587,89.2575,17.3309,327.2070,45.3194,0,U,2965,999,88360,.16115049E-3,.12E-5,0
OPS 7034 (TRANSIT 18),1968-012A,2026-03-16T03:33:43.970112,13.51590647,.00719692,90.0207,273.8831,259.7809,227.5318,0,U,3133,999,58180,.17274989E-3,.123E-5,0
NNSS 19 (TRANSIT 19),1970-067A,2026-03-16T03:29:47.363712,13.51340274,.01723121,90.0071,234.5861,22.9276,337.9450,0,U,4507,999,73483,.17209946E-3,.132E-5,0
NNSS 20 (TRANSIT 20),1973-081A,2026-03-16T05:17:03.724800,13.71478289,.01554142,89.8521,253.6290,157.2766,203.5376,0,U,6909,999,81642,.21898556E-3,.226E-5,0
TRANSAT,1977-106A,2026-03-16T05:41:01.051872,13.48959031,.00235706,89.6401,75.2382,285.2283,85.4400,0,U,10457,999,38004,.123001E-3,.87E-6,0
NOVA 1,1981-044A,2026-03-16T02:47:02.554656,13.23288188,.00135101,89.8416,90.0185,199.6602,229.5084,0,U,12458,999,16421,.12875745E-3,.63E-6,0
NOVA 3,1984-110A,2026-03-16T01:59:25.717920,13.23058032,.0033398,90.1127,81.5854,73.1769,353.2321,0,U,15362,999,99933,.18822999E-3,.88E-6,0
OSCAR 30,1985-066A,2026-03-16T03:06:31.900896,13.36096294,.01678331,90.1535,101.3310,179.5521,246.1933,0,U,15935,999,97700,.18470638E-3,.112E-5,0
OSCAR 24,1985-066B,2026-03-16T02:58:55.885152,13.35953857,.01686199,90.1676,93.9099,186.1032,241.7949,0,U,15936,999,97890,.15567773E-3,.95E-6,0
POLAR BEAR,1986-088A,2026-03-16T04:20:54.187008,13.75271808,.003896,89.6257,180.0638,195.7234,229.2443,0,U,17070,999,97263,.94702209E-4,.102E-5,0
OSCAR 27,1987-080A,2026-03-16T01:31:22.558656,13.44925702,.01024351,90.3645,82.7134,318.1626,41.1724,0,U,18361,999,88811,.16162915E-3,.105E-5,0
OSCAR 29,1987-080B,2026-03-16T00:42:15.763968,13.44465535,.0104737,90.3654,83.1784,341.7424,70.7557,0,U,18362,999,88763,.15270797E-3,.99E-6,0
OSCAR 23,1988-033A,2026-03-16T06:44:27.657888,13.27804611,.01875393,90.3303,19.3146,280.4809,200.8467,0,U,19070,999,83494,.66913164E-4,.39E-6,0
OSCAR 32,1988-033B,2026-03-16T01:43:49.977408,13.27969010,.0185857,90.3308,19.4449,267.7216,102.2092,0,U,19071,999,83504,.82094465E-4,.47E-6,0
NOVA 2,1988-052A,2026-03-16T05:36:19.464768,13.22948608,.00321412,89.9783,78.1086,114.4418,257.0961,0,U,19223,999,82184,.14150304E-3,.69E-6,0
OSCAR 25,1988-074A,2026-03-16T02:44:47.521824,13.42643314,.00957085,90.0430,20.5679,341.1515,29.5271,0,U,19419,999,83893,.13158412E-3,.85E-6,0
OSCAR 31,1988-074B,2026-03-16T03:23:30.015168,13.42599052,.00936921,90.0446,20.9331,335.3083,35.1018,0,U,19420,999,83904,.11737597E-3,.77E-6,0
