OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
ONEWEB-0012,2019-010A,2026-02-18T14:55:33.459456,13.16594839,.00012567,87.8995,252.3807,79.7987,280.3286,0,U,44057,999,33596,.23517603E-3,.103E-5,0
ONEWEB-0010,2019-010B,2026-02-18T13:42:35.593056,13.16595950,.00016451,87.9000,252.3857,107.4938,252.6373,0,U,44058,999,33600,.83601028E-4,.45E-6,0
ONEWEB-0008,2019-010C,2026-02-18T14:19:04.832544,13.16595367,.00017447,87.8997,252.3782,87.4195,272.7136,0,U,44059,999,33612,-.59132369E-4,-.1E-6,0
ONEWEB-0007,2019-010D,2026-02-18T14:43:29.398080,13.15547609,.00012259,87.8960,282.9006,89.6312,270.4959,0,U,44060,999,33578,-.74944618E-3,-.269E-5,0
ONEWEB-0006,2019-010E,2026-02-18T14:49:12.308448,13.15548760,.00014605,87.8969,282.8521,92.2621,267.8677,0,U,44061,999,33583,-.40482324E-4,-.2E-7,0
ONEWEB-0011,2019-010F,2026-02-18T14:03:34.822944,13.15548816,.00017698,87.8972,282.8669,88.5867,271.5466,0,U,44062,999,33582,-.2094886E-3,-.66E-6,0
ONEWEB-0013,2020-008A,2026-02-18T13:55:07.127904,13.09452558,.00013861,87.8449,76.7782,61.6854,298.4412,0,U,45131,999,29054,.1113716E-3,.51E-6,0
ONEWEB-0017,2020-008B,2026-02-18T13:39:42.488064,13.10368934,.00019014,87.8747,59.9005,97.2791,262.8553,0,U,45132,999,29241,.27685146E-3,.109E-5,0
ONEWEB-0020,2020-008C,2026-02-18T12:56:38.887008,13.10393097,.0001849,87.8755,59.8961,92.1487,267.9852,0,U,45133,999,29280,-.91659155E-2,-.3187E-4,0
ONEWEB-0021,2020-008D,2026-02-18T13:18:12.144672,13.10371570,.00017625,87.8750,59.9185,91.2381,268.8948,0,U,45134,999,29311,.16542958E-2,.59E-5,0
ONEWEB-0023,2020-008F,2026-02-18T13:33:44.282304,13.10369462,.00017594,87.8745,59.8961,85.0302,275.1026,0,U,45136,999,29254,.86607157E-3,.315E-5,0
ONEWEB-0024,2020-008G,2026-02-18T12:54:17.832960,13.10377330,.00018301,87.8767,59.8841,92.2334,267.9002,0,U,45137,999,29270,.85216916E-3,.31E-5,0
ONEWEB-0025,2020-008H,2026-02-18T14:00:03.000384,13.10892363,.00016331,87.8754,59.8706,84.4072,60.2986,0,U,45138,999,518,-.81638812E-1,-.28613E-3,0
ONEWEB-0026,2020-008J,2026-02-18T12:24:36.400608,13.11416167,.0001961,87.8832,44.6684,90.9421,269.1931,0,U,45139,999,29555,.13050681E-2,.475E-5,0
ONEWEB-0028,2020-008K,2026-02-18T11:22:20.021376,13.11418286,.00015481,87.8825,44.6881,67.5365,292.5927,0,U,45140,999,29306,-.15549945E-2,-.538E-5,0
ONEWEB-0032,2020-008L,2026-02-18T13:42:05.757408,13.10369336,.00017536,87.8749,59.9010,82.7697,277.3630,0,U,45141,999,29276,.61642127E-4,.34E-6,0
ONEWEB-0033,2020-008M,2026-02-18T13:06:15.868800,13.10374537,.0002146,87.8750,59.9160,104.5065,255.6300,0,U,45142,999,29267,.17874426E-2,.637E-5,0
ONEWEB-0035,2020-008N,2026-02-18T13:50:27.426912,13.10370381,.0001879,87.8747,59.9094,93.4762,266.6580,0,U,45143,999,29240,-.78302634E-3,-.261E-5,0
ONEWEB-0036,2020-008P,2026-02-18T13:38:44.905920,13.09811177,.00018256,87.8757,59.8758,83.0806,277.0529,0,U,45144,999,29283,.46287107E-3,.173E-5,0
ONEWEB-0038,2020-008Q,2026-02-18T12:39:27.518976,13.11415192,.00009768,87.8837,44.6661,153.8143,206.3034,0,U,45145,999,29477,.46669435E-4,.29E-6,0
ONEWEB-0039,2020-008R,2026-02-18T13:11:02.429088,13.10373210,.00015226,87.8764,59.8962,74.9638,285.1658,0,U,45146,999,29262,.1885372E-2,.671E-5,0
ONEWEB-0040,2020-008S,2026-02-18T13:01:28.787520,13.10374483,.00017562,87.8753,59.9163,91.8805,268.2524,0,U,45147,999,29232,.13982044E-2,.501E-5,0
ONEWEB-0043,2020-008U,2026-02-18T13:03:52.016256,13.10374764,.0001579,87.8759,59.8977,71.7982,288.3317,0,U,45149,999,29264,.17234819E-2,.614E-5,0
ONEWEB-0044,2020-008V,2026-02-18T13:44:28.567968,13.10369161,.00016667,87.8756,59.8875,85.9950,274.1368,0,U,45150,999,29294,-.20149764E-3,-.58E-6,0
ONEWEB-0045,2020-008W,2026-02-18T12:31:55.465536,13.11416995,.00017093,87.8839,44.6539,84.3802,275.7521,0,U,45151,999,29485,.72723443E-3,.27E-5,0
ONEWEB-0047,2020-008X,2026-02-18T13:34:55.832736,13.10370966,.00018051,87.8746,59.8928,91.1471,268.9863,0,U,45152,999,29266,.78227349E-3,.286E-5,0
ONEWEB-0048,2020-008Y,2026-02-18T13:27:45.392256,13.10376711,.00019131,87.8749,59.9215,93.0232,267.1114,0,U,45153,999,29227,.35532803E-2,.1253E-4,0
ONEWEB-0049,2020-008Z,2026-02-18T13:32:20.692896,13.10371473,.00021073,87.8745,59.9088,79.0462,281.0902,0,U,45154,999,29249,.97855815E-3,.354E-5,0
ONEWEB-0051,2020-008AA,2026-02-18T14:19:21.836928,13.11415256,.00018188,87.8833,44.6529,87.3611,272.7725,0,U,45155,999,29554,.65356333E-3,.244E-5,0
ONEWEB-0052,2020-008AB,2026-02-18T13:24:11.536704,13.10371198,.00021155,87.8757,59.8775,77.6998,282.4366,0,U,45156,999,29240,.15691502E-2,.56E-5,0
ONEWEB-0053,2020-008AC,2026-02-18T12:59:05.011008,13.10374870,.00017622,87.8756,59.9218,73.2733,286.8588,0,U,45157,999,29237,.13735189E-2,.492E-5,0
ONEWEB-0054,2020-008AD,2026-02-18T13:49:15.569760,13.10369206,.00019071,87.8753,59.8888,87.8453,272.2893,0,U,45158,999,29249,-.73575095E-3,-.244E-5,0
ONEWEB-0056,2020-008AE,2026-02-18T13:21:47.985696,13.10371792,.00020469,87.8756,59.8926,88.6100,271.5261,0,U,45159,999,29264,.16847226E-2,.601E-5,0
ONEWEB-0057,2020-008AF,2026-02-18T11:42:47.361888,13.10369472,.00018287,87.8749,59.9167,82.0796,278.0538,0,U,45160,999,29280,.84985618E-3,.309E-5,0
ONEWEB-0058,2020-008AG,2026-02-18T13:13:37.734816,13.10372096,.00018181,87.8755,59.9132,97.9290,262.2044,0,U,45161,999,29288,.17892095E-2,.637E-5,0
ONEWEB-0059,2020-008AH,2026-02-18T13:08:38.793408,13.10373841,.00017621,87.8753,59.9139,93.1242,267.0087,0,U,45162,999,29278,.17929734E-2,.639E-5,0
ONEWEB-0062,2020-008AJ,2026-02-18T13:45:40.843296,13.10369335,.00018968,87.8757,59.8902,104.0694,256.0645,0,U,45163,999,29265,-.41791274E-3,-.133E-5,0
ONEWEB-0065,2020-008AK,2026-02-18T12:39:44.921664,13.10375949,.00020198,87.8753,59.9102,79.1681,280.9673,0,U,45164,999,29234,-.68788423E-3,-.227E-5,0
