OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
ORBCOMM-X,1991-050C,2026-03-16T04:31:29.891424,14.43522142,.0004844,98.3054,140.7736,87.4784,272.6961,0,U,21576,999,82135,.10358838E-3,.308E-5,0
ORBCOMM FM01,1995-017A,2026-03-16T03:47:50.927712,14.94716211,.00074548,69.9604,113.6702,270.2116,89.8186,0,U,23545,999,65308,.52780995E-3,.5657E-4,0
ORBCOMM FM02,1995-017B,2026-03-16T04:24:50.105664,14.96851008,.0008727,69.9624,131.5665,270.7022,89.3136,0,U,23546,999,65277,.54405452E-3,.6166E-4,0
ORBCOMM FM08,1997-084A,2026-03-16T04:24:58.757760,14.47005740,.00075011,45.0129,140.9909,205.8111,154.2368,0,U,25112,999,48075,.42552488E-3,.1418E-4,0
ORBCOMM FM10,1997-084B,2026-03-15T12:28:20.369280,14.46725510,.00048979,45.0141,147.0983,176.8490,183.2393,0,U,25113,999,65579,.34831915E-3,.1127E-4,0
ORBCOMM FM11,1997-084C,2026-03-15T22:01:26.029632,14.46463458,.0005722,45.0128,146.3245,176.6609,183.4282,0,U,25114,999,48080,.38019628E-3,.1236E-4,0
ORBCOMM FM12,1997-084D,2026-03-15T21:01:26.331744,14.46490863,.00047955,45.0134,146.2432,178.6754,181.4111,0,U,25115,999,48059,.36352175E-3,.1176E-4,0
ORBCOMM FM09,1997-084E,2026-03-15T14:10:33.891456,14.46312926,.00054841,45.0138,148.8663,159.7258,200.3813,0,U,25116,999,48075,.37640887E-3,.1218E-4,0
ORBCOMM FM05,1997-084F,2026-03-16T06:24:24.048000,14.47113755,.00029738,45.0137,140.5532,205.4076,154.6630,0,U,25117,999,48000,.40208242E-3,.1335E-4,0
ORBCOMM FM06,1997-084G,2026-03-15T13:35:01.489344,14.47293963,.00023778,45.0122,143.3204,223.4811,274.9014,0,U,25118,999,48082,.41814568E-3,.14E-4,0
ORBCOMM FM07,1997-084H,2026-03-15T21:30:47.727936,14.47297554,.00033708,45.0118,142.4706,190.9191,169.1588,0,U,25119,999,48086,.36188227E-3,.1192E-4,0
ORBCOMM FM03,1998-007B,2026-03-15T22:43:59.174688,14.35317360,.0042824,107.9625,334.1751,134.1037,226.3639,0,U,25158,999,46302,.34559502E-3,.87E-5,0
ORBCOMM FM04,1998-007C,2026-03-15T16:14:17.784672,14.35541598,.00386237,107.9612,337.0203,131.7651,228.6801,0,U,25159,999,46317,.3077192E-3,.762E-5,0
ORBCOMM FM17,1998-046A,2026-03-16T06:04:30.635904,14.35758154,.00008988,44.9946,52.9376,186.8893,173.1942,0,U,25413,999,44226,.34019099E-3,.851E-5,0
ORBCOMM FM18,1998-046B,2026-03-15T16:01:45.894720,14.39461630,.00036218,44.9938,325.6161,217.3593,142.7004,0,U,25414,999,44335,.36048497E-3,.991E-5,0
ORBCOMM FM19,1998-046C,2026-03-15T23:58:51.585888,14.39289434,.00023541,44.9953,326.4503,213.0437,161.5079,0,U,25415,999,44335,.35821397E-3,.98E-5,0
ORBCOMM FM20,1998-046D,2026-03-15T23:41:50.102016,14.37909347,.00008543,44.9955,333.4182,310.2184,49.8589,0,U,25416,999,44337,.27328598E-3,.69E-5,0
ORBCOMM FM16,1998-046E,2026-03-16T06:20:28.288320,14.39854038,.00036256,44.9944,319.8596,238.3734,121.6761,0,U,25417,999,44345,.39839004E-3,.112E-4,0
ORBCOMM FM15,1998-046F,2026-03-14T00:28:16.527936,14.39469327,.00032287,44.9981,336.5132,233.3894,126.6658,0,U,25418,999,44311,.19921234E-3,.484E-5,0
ORBCOMM FM14,1998-046G,2026-03-15T23:23:27.542112,14.39914700,.00020959,44.9966,324.5958,237.9390,122.1256,0,U,25419,999,44337,.3652153E-3,.1016E-4,0
ORBCOMM FM13,1998-046H,2026-03-15T23:52:44.442912,14.38462789,.00040197,44.9987,335.3176,212.8940,147.1659,0,U,25420,999,44236,.3123987E-3,.82E-5,0
ORBCOMM FM21,1998-053A,2026-03-16T05:04:58.382112,14.38028762,.00014216,45.0084,60.6170,254.4579,105.6112,0,U,25475,999,43639,.31440275E-3,.818E-5,0
ORBCOMM FM22,1998-053B,2026-03-16T05:49:17.696352,14.39260712,.00017573,45.0078,52.9336,195.9185,164.1609,0,U,25476,999,43645,.40542952E-3,.1127E-4,0
ORBCOMM FM23,1998-053C,2026-03-16T05:45:36.930528,14.38292868,.00013505,45.0083,62.1415,213.1865,146.8899,0,U,25477,999,43655,.38213681E-3,.1031E-4,0
ORBCOMM FM24,1998-053D,2026-03-15T22:11:42.612864,14.38943071,.00014709,45.0078,59.8442,227.5244,132.5480,0,U,25478,999,43657,.35980107E-3,.977E-5,0
ORBCOMM FM25,1998-053E,2026-03-16T05:58:45.930144,14.38904429,.00035618,45.0074,56.6201,200.1549,159.9159,0,U,25479,999,43691,.40256486E-3,.1109E-4,0
ORBCOMM FM26,1998-053F,2026-03-16T05:48:12.586176,14.37834840,.00058558,45.0071,55.1994,207.3111,152.7430,0,U,25480,999,43679,.33827522E-3,.887E-5,0
ORBCOMM FM27,1998-053G,2026-03-16T05:31:30.828288,14.38949299,.00018596,45.0055,56.8026,280.4412,79.6227,0,U,25481,999,43684,.41620599E-3,.1153E-4,0
ORBCOMM FM28,1998-053H,2026-03-16T00:46:24.481056,14.39042257,.00041218,45.0073,354.9432,243.8907,116.1518,0,U,25482,999,43750,.31489432E-3,.839E-5,0
ORBCOMM FM30,1999-065A,2026-03-15T18:49:04.239840,14.37994288,.00059396,45.0306,243.4749,284.3908,75.6281,0,U,25980,999,37353,.30468826E-3,.788E-5,0
ORBCOMM FM31,1999-065B,2026-03-16T02:49:50.714112,14.37916742,.00031953,45.0221,235.3329,309.1310,50.9255,0,U,25981,999,37313,.28233258E-3,.718E-5,0
ORBCOMM FM32,1999-065C,2026-03-16T04:54:11.964960,14.36979400,.00054156,45.0148,253.3141,310.9919,49.0460,0,U,25982,999,37371,.30348946E-3,.766E-5,0
ORBCOMM FM33,1999-065D,2026-03-15T15:13:19.162848,14.40801480,.00079244,45.0276,147.6271,334.6184,25.4276,0,U,25983,999,37520,.28175479E-3,.767E-5,0
ORBCOMM FM36,1999-065E,2026-03-16T03:43:00.155424,14.38999513,.00034439,45.0382,241.1752,215.2125,144.8497,0,U,25984,999,37358,.39284052E-3,.1081E-4,0
ORBCOMM FM35,1999-065F,2026-03-15T18:45:18.903456,14.37887823,.0002998,45.0388,250.2233,311.9260,48.1333,0,U,25985,999,37386,.35901287E-3,.951E-5,0
ORBCOMM FM34,1999-065G,2026-03-16T04:04:10.010784,14.37798993,.00036212,45.0380,248.8999,257.7336,102.3107,0,U,25986,999,37403,.31651575E-3,.82E-5,0
ORBCOMM FM38,2008-031A,2026-03-15T18:57:30.267360,14.82760016,.00039556,48.4383,99.5233,137.7842,222.3379,0,U,33060,999,95503,.20537512E-3,.146E-4,0
ORBCOMM FM41,2008-031B,2026-03-15T20:06:41.224032,14.82292970,.00031167,48.4418,108.0561,119.3112,50.8449,0,U,33061,999,95451,.19951186E-3,.1395E-4,0
ORBCOMM FM29,2008-031C,2026-03-16T02:40:34.724064,14.82470695,.00047321,48.4369,114.1639,119.3980,287.1726,0,U,33062,999,95447,.2091851E-3,.1479E-4,0
ORBCOMM FM39,2008-031D,2026-03-16T03:28:07.098240,14.80848756,.00056408,48.4386,141.4282,84.7834,275.3725,0,U,33063,999,95408,.20552393E-3,.1389E-4,0
ORBCOMM FM37,2008-031E,2026-03-16T03:41:03.663168,14.81038324,.00042691,48.4387,129.4865,107.7995,297.9443,0,U,33064,999,95434,.2025826E-3,.1373E-4,0
ORBCOMM FM40,2008-031F,2026-03-15T20:16:06.745728,14.83687280,.00052207,48.4397,110.0851,124.9851,44.9475,0,U,33065,999,95447,.22278279E-3,.1641E-4,0
VESSELSAT 1,2011-058C,2026-03-16T03:36:48.875616,14.11422110,.00135802,19.9614,248.1506,298.6598,61.2441,0,U,37840,999,74477,.54580216E-4,.365E-5,0
ORBCOMM FM109,2014-040A,2026-03-15T14:37:34.693248,14.58733395,.00016921,47.0026,173.8785,183.7959,176.2915,0,U,40086,999,62068,.13705928E-3,.475E-5,0
ORBCOMM FM107,2014-040B,2026-03-15T14:58:08.586336,14.58817871,.00001826,47.0045,174.6589,144.0971,215.9927,0,U,40087,999,62076,.13572993E-3,.47E-5,0
