OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
O3B FM5,2013-031A,2025-11-24T22:50:56.878080,5.00116330,.0003523,0.0718,43.9264,200.3562,115.6870,0,U,39188,999,22682,0,-.13E-6,0
O3B FM4,2013-031B,2025-11-24T20:54:18.118656,5.00115082,.0004379,0.0612,354.9024,275.5301,89.5233,0,U,39189,999,22683,0,-.13E-6,0
O3B FM2,2013-031C,2025-11-24T17:41:18.148704,5.00115954,.00029051,0.0662,351.7103,252.9316,115.3340,0,U,39190,999,22688,0,-.13E-6,0
O3B PFM,2013-031D,2025-10-29T03:58:34.312224,5.00115378,.00039583,0.0476,20.1073,245.9671,93.8874,0,U,39191,999,22510,0,-.15E-6,0
O3B FM3,2014-038A,2025-11-25T00:25:17.641056,5.00115526,.0001481,0.0535,358.0499,181.8001,180.1560,0,U,40079,999,20283,0,-.13E-6,0
O3B FM7,2014-038B,2025-11-24T13:31:57.745056,5.00115530,.00044661,0.0608,359.6796,253.0557,107.2219,0,U,40080,999,20764,0,-.14E-6,0
O3B FM6,2014-038C,2025-11-24T18:58:43.863744,5.00115670,.0002718,0.0564,358.1923,243.5637,118.2225,0,U,40081,999,20759,0,-.13E-6,0
O3B FM8,2014-038D,2025-11-24T10:39:53.853120,5.00115859,.00026211,0.0575,358.6210,246.6232,114.7346,0,U,40082,999,20770,0,-.14E-6,0
O3B FM10,2014-083A,2025-11-17T20:59:49.860096,5.00115114,.00026578,0.0645,8.7716,228.0669,123.1420,0,U,40348,999,19932,0,-.2E-6,0
O3B FM11,2014-083B,2025-11-24T21:12:45.972288,5.00115599,.0003397,0.0506,5.7069,236.2642,118.0005,0,U,40349,999,19969,0,-.13E-6,0
O3B FM12,2014-083C,2025-11-24T21:51:52.622208,5.00115896,.0002821,0.0508,4.5895,235.9727,119.4155,0,U,40350,999,19970,0,-.13E-6,0
O3B FM9,2014-083D,2025-11-24T17:42:39.407040,5.00115824,.0002766,0.0510,6.9709,236.8458,116.1608,0,U,40351,999,19984,0,-.13E-6,0
LEO 1 (LEO VANTAGE 1),2018-004C,2025-11-24T17:16:11.680032,14.66256906,.03556965,99.2525,215.4142,346.5498,12.6406,0,U,43113,999,40750,.37683714E-3,.5345E-4,0
O3B FM15,2018-024A,2025-11-24T14:30:52.464096,5.00115515,.0002898,0.0456,357.9056,241.9907,120.0810,0,U,43231,999,14079,0,-.14E-6,0
O3B FM16,2018-024B,2025-11-24T15:46:21.639360,5.00115768,.00029455,0.0425,354.2293,245.4327,120.3149,0,U,43232,999,14070,0,-.13E-6,0
O3B FM14,2018-024C,2025-11-24T21:32:48.588576,5.00115483,.0002846,0.0427,352.2694,253.3840,114.3228,0,U,43233,999,14073,0,-.13E-6,0
O3B FM13,2018-024D,2025-11-24T23:07:38.852832,5.00115514,.0004454,0.0609,359.5401,253.0711,107.3460,0,U,43234,999,14084,0,-.13E-6,0
O3B FM20,2019-020A,2025-11-24T12:34:34.469184,5.00115449,.00032099,0.0482,0.4435,235.5339,123.9981,0,U,44112,999,12132,0,-.14E-6,0
O3B FM19,2019-020B,2025-11-12T18:11:03.314400,5.00115716,.00042248,0.0447,24.7932,224.3027,110.8627,0,U,44113,999,12061,0,-.25E-6,0
O3B FM17,2019-020C,2025-11-25T00:44:34.239840,5.00115349,.0002911,0.0546,339.5507,259.6118,120.8148,0,U,44114,999,12131,0,-.13E-6,0
O3B FM18,2019-020D,2025-11-24T18:39:20.246688,5.00115170,.0002817,0.0481,0.9499,241.9255,117.1018,0,U,44115,999,12142,0,-.13E-6,0
SALSAT,2020-068K,2025-11-24T23:01:24.561984,15.25887911,.0008964,97.8779,315.2795,304.8274,55.2119,0,U,46495,999,28417,.42324E-3,.10784E-3,0
O3B MPOWER F1,2022-174A,2025-11-24T21:03:28.985184,5.00116048,.0004264,0.0626,4.2904,249.2310,148.7525,0,U,54755,999,5513,0,-.13E-6,0
O3B MPOWER F2,2022-174B,2025-11-23T20:28:13.628928,5.00116536,.00058091,0.0639,1.9834,245.8472,112.1138,0,U,54756,999,5515,0,-.15E-6,0
O3B MPOWER F4,2023-059A,2025-11-24T21:17:18.792384,5.00114445,.0005544,0.0487,14.6996,246.0520,99.1916,0,U,56367,999,4838,0,-.13E-6,0
O3B MPOWER F3,2023-059B,2025-11-24T21:19:37.016832,5.00113702,.0006125,0.0495,15.5224,229.8891,114.5306,0,U,56368,999,4451,0,-.13E-6,0
