OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
SKYSAT-A,2013-066C,2025-11-25T03:08:57.172992,15.11416515,.002067,97.4128,19.8747,301.8899,58.0320,0,U,39418,999,65764,.25857E-3,.4326E-4,0
SKYSAT-B,2014-037D,2025-11-25T03:03:15.357312,14.87229645,.0004748,98.3588,271.9072,207.5044,152.5920,0,U,40072,999,61562,.29927E-3,.2635E-4,0
SKYSAT-C1,2016-040C,2025-11-25T02:08:46.311360,15.32134327,.0004024,96.9844,7.1017,59.1555,301.0083,0,U,41601,999,52657,.37398E-3,.11539E-3,0
SKYSAT-C4,2016-058B,2025-11-25T01:55:35.608800,15.41547260,.0000807,96.9394,355.1343,58.6932,301.4395,0,U,41771,999,51395,.43635E-3,.18262E-3,0
SKYSAT-C5,2016-058C,2025-11-24T10:27:16.054272,15.36063664,.00031985,97.0780,12.9089,156.9558,203.1831,0,U,41772,999,51235,.3294592E-3,.11501E-3,0
SKYSAT-C2,2016-058D,2025-11-25T00:54:10.662624,15.36710408,.0005505,97.0378,354.3204,77.9991,282.1871,0,U,41773,999,51364,.41714E-3,.149E-3,0
SKYSAT-C3,2016-058E,2025-11-25T02:00:10.729728,15.43531761,.0001394,96.9319,3.6610,86.6629,273.4779,0,U,41774,999,51453,.50308E-3,.22525E-3,0
SKYSAT-C11,2017-068A,2025-11-24T21:22:09.998400,15.46414956,.0000702,97.4141,105.9567,118.5234,241.6086,0,U,42987,999,45155,.52254E-3,.25813E-3,0
SKYSAT-C10,2017-068B,2025-11-24T23:05:53.347200,15.31759803,.000515,97.4256,99.7704,144.8622,215.2960,0,U,42988,999,45107,.44924E-3,.13713E-3,0
SKYSAT-C9,2017-068C,2025-11-25T02:22:54.450912,15.35401968,.0010415,97.4189,99.2254,145.5017,214.6904,0,U,42989,999,45137,.4892E-3,.16788E-3,0
SKYSAT-C8,2017-068D,2025-11-24T22:31:24.900096,15.32359924,.000271,97.4277,98.8711,42.7485,317.3967,0,U,42990,999,45098,.45049E-3,.14009E-3,0
SKYSAT-C7,2017-068E,2025-11-25T02:07:28.047648,15.31777418,.0007912,97.4283,100.0771,111.2637,248.9450,0,U,42991,999,45107,.43687E-3,.13347E-3,0
SKYSAT-C6,2017-068F,2025-11-24T22:14:58.893792,15.30961042,.0004932,97.4316,100.3676,132.9619,227.2036,0,U,42992,999,45103,.46044E-3,.13711E-3,0
SKYSAT-C12,2018-099AR,2025-11-25T01:34:51.480768,15.41675063,.0004939,96.9487,356.2668,155.9711,204.1769,0,U,43797,999,39033,.44131E-3,.18557E-3,0
SKYSAT-C13,2018-099AW,2025-11-25T03:07:10.106112,15.62566784,.0004002,96.9616,12.5685,261.2460,98.8346,0,U,43802,999,39077,.59785E-3,.5345E-3,0
FLOCK 4Q-16,2023-174R,2025-11-24T18:18:00.979776,15.39442182,.000843,97.4016,48.4585,175.2056,184.9272,0,U,58271,999,11402,.67786E-3,.26561E-3,0
FLOCK 4Q-11,2023-174T,2025-11-25T02:48:53.902656,15.39741469,.0008072,97.4049,49.1906,171.0246,189.1146,0,U,58273,999,11408,.66684E-3,.26382E-3,0
FLOCK 4Q-36,2023-174U,2025-11-24T19:16:08.563296,15.44160494,.000775,97.4044,50.6934,169.1293,191.0124,0,U,58274,999,11415,.73258E-3,.33616E-3,0
FLOCK 4Q-12,2023-174V,2025-11-24T23:42:05.882976,15.43980955,.0006987,97.4020,50.8368,161.3124,198.8382,0,U,58275,999,11420,.63593E-3,.2897E-3,0
FLOCK 4Q-28,2023-174AA,2025-11-24T17:58:33.734784,15.42355411,.0007755,97.4054,50.0644,166.6610,193.4844,0,U,58280,999,11410,.715E-3,.30866E-3,0
FLOCK 4Q-27,2023-174AC,2025-11-24T17:45:30.312288,15.42271050,.0007085,97.4000,49.6866,161.3319,198.8190,0,U,58282,999,11411,.65654E-3,.28241E-3,0
FLOCK 4Q-17,2023-174AD,2025-11-24T11:38:14.395776,15.49094604,.00057356,97.3998,51.4982,160.2052,199.9422,0,U,58283,999,11421,.79488613E-3,.43259E-3,0
FLOCK 4Q-26,2023-174AE,2025-11-24T22:53:30.962976,15.43745554,.0007656,97.4053,51.0049,163.8994,196.2499,0,U,58284,999,11418,.68897E-3,.31159E-3,0
FLOCK 4Q-31,2023-174AF,2025-11-24T18:02:35.439648,15.43062681,.0008446,97.4090,50.4767,168.8617,191.2819,0,U,58285,999,11411,.74083E-3,.32765E-3,0
FLOCK 4Q-30,2023-174AG,2025-11-24T18:01:49.131840,15.43086511,.0008395,97.4095,50.6272,163.5093,196.6430,0,U,58286,999,11412,.72653E-3,.32153E-3,0
PELICAN-3001,2023-174AS,2025-11-24T23:47:02.327424,15.54688636,.0009458,97.4108,54.7776,262.4957,97.5222,0,U,58296,999,11427,.87336E-3,.58227E-3,0
FLOCK 4Q-25,2023-174AZ,2025-11-24T18:43:32.672064,15.46785648,.0006664,97.4004,50.9164,150.1102,210.0529,0,U,58303,999,11420,.85314E-3,.42869E-3,0
FLOCK 4Q-29,2023-174BA,2025-11-24T23:43:42.098880,15.42650675,.0008544,97.4085,50.5952,155.8222,204.3428,0,U,58304,999,11414,.67949E-3,.29622E-3,0
FLOCK 4Q-22,2023-174BC,2025-11-25T02:17:13.104384,15.44462426,.0007733,97.3994,50.6712,153.6911,206.4731,0,U,58306,999,11421,.75583E-3,.35048E-3,0
FLOCK 4Q-23,2023-174BD,2025-11-24T19:21:29.611008,15.45778560,.0007981,97.4093,51.4435,155.7407,204.4219,0,U,58307,999,11418,.77658E-3,.37677E-3,0
FLOCK 4Q-33,2023-174BE,2025-11-24T23:08:02.632704,15.43783079,.0007986,97.4019,50.5574,149.4387,210.7328,0,U,58308,999,11418,.77557E-3,.35152E-3,0
FLOCK 4Q-35,2023-174BF,2025-11-24T22:55:30.948384,15.43011360,.0008832,97.4052,50.8154,163.8190,196.3341,0,U,58309,999,11417,.72993E-3,.32227E-3,0
FLOCK 4Q-20,2023-174BK,2025-11-25T03:03:07.914816,15.48759932,.0007868,97.4074,53.0052,149.3338,210.8374,0,U,58313,999,11432,.83532E-3,.44971E-3,0
FLOCK 4Q-34,2023-174BN,2025-11-24T22:59:23.567424,15.45821189,.0008091,97.4024,51.0895,152.2117,207.9566,0,U,58316,999,11421,.81065E-3,.39402E-3,0
FLOCK 4Q-7,2023-174BQ,2025-11-24T19:21:26.752032,15.42415700,.000899,97.4083,50.2764,153.8058,206.3646,0,U,58318,999,11411,.72377E-3,.31322E-3,0
FLOCK 4Q-15,2023-174BR,2025-11-24T23:25:18.893568,15.44695891,.0008045,97.4084,51.9644,140.1854,219.9986,0,U,58319,999,11424,.72947E-3,.34091E-3,0
FLOCK 4Q-2,2023-174BS,2025-11-25T03:38:42.590112,15.39622564,.0008558,97.4013,49.0990,152.9242,207.2452,0,U,58320,999,11410,.68958E-3,.27185E-3,0
FLOCK 4Q-9,2023-174BU,2025-11-24T22:52:22.419264,15.39230387,.0008872,97.4042,48.9485,154.9393,205.2285,0,U,58322,999,11406,.67133E-3,.26124E-3,0
FLOCK 4Q-4,2023-174BZ,2025-11-25T03:08:48.513120,15.39121414,.0007822,97.4010,48.6003,172.1491,187.9878,0,U,58327,999,11407,.67774E-3,.26274E-3,0
FLOCK 4Q-13,2023-174CA,2025-11-25T02:55:33.545856,15.40994523,.0008068,97.4149,50.4371,166.7717,193.3742,0,U,58328,999,11413,.62519E-3,.25769E-3,0
FLOCK 4Q-21,2023-174CB,2025-11-24T19:18:06.422400,15.47259628,.0006814,97.4084,51.9906,166.5599,193.5834,0,U,58329,999,11422,.76194E-3,.38889E-3,0
