OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
QIANFAN-1,2024-140A,2026-02-01T20:54:13.834080,13.50992933,.00192838,88.9766,293.9970,68.0802,292.2397,0,U,60379,999,7425,.23781157E-3,.166E-5,0
QIANFAN-2,2024-140B,2026-02-01T21:35:43.023264,13.50996913,.00142792,88.9753,293.8263,43.6980,316.5299,0,U,60380,999,7431,.22900793E-3,.16E-5,0
QIANFAN-3,2024-140C,2026-02-01T21:47:27.911616,13.50997529,.00155793,88.9745,293.9542,54.6156,305.6448,0,U,60381,999,7422,.24521228E-3,.171E-5,0
QIANFAN-4,2024-140D,2026-02-01T21:11:56.523840,13.50993037,.00145524,88.9770,293.8673,46.0191,314.2158,0,U,60382,999,7434,.22532128E-3,.158E-5,0
QIANFAN-5,2024-140E,2026-02-01T22:23:09.443616,13.50995275,.0016942,88.9745,293.9770,64.5105,295.7796,0,U,60383,999,7421,.2484935E-3,.173E-5,0
QIANFAN-6,2024-140F,2026-02-01T21:06:07.393536,13.50995060,.0014747,88.9772,293.7425,51.3263,308.9205,0,U,60384,999,7440,.21056371E-3,.148E-5,0
QIANFAN-7,2024-140G,2026-02-01T20:07:40.499616,14.27742445,.0013062,88.9780,287.7278,229.1781,130.8281,0,U,60385,999,7768,.23997945E-3,.607E-5,0
QIANFAN-8,2024-140H,2026-02-01T21:18:01.399680,13.50996447,.00182335,88.9773,293.9799,52.7141,307.5669,0,U,60386,999,7425,.21665605E-3,.152E-5,0
QIANFAN-9,2024-140J,2026-02-01T22:28:56.417376,13.50991331,.0017918,88.9772,294.0491,52.3641,307.9132,0,U,60387,999,7424,.24117151E-3,.168E-5,0
QIANFAN-10,2024-140K,2026-02-01T22:34:49.965312,13.50997114,.00159855,88.9780,293.4008,32.0389,328.1731,0,U,60388,999,7437,.22008283E-3,.154E-5,0
QIANFAN-11,2024-140L,2026-02-01T21:41:44.639232,13.50996576,.00159494,88.9707,293.9537,52.5381,307.7218,0,U,60389,999,7402,.24594787E-3,.171E-5,0
QIANFAN-12,2024-140M,2026-02-01T22:11:17.352960,13.50994233,.00148549,88.9751,294.0172,59.9271,300.3351,0,U,60390,999,7415,.24778845E-3,.172E-5,0
QIANFAN-13,2024-140N,2026-02-01T21:29:47.309280,13.50994609,.00146981,88.9762,294.1264,62.3801,297.8840,0,U,60391,999,7417,.23519588E-3,.164E-5,0
QIANFAN-14,2024-140P,2026-02-01T22:05:14.911872,13.50994316,.00183853,88.9742,294.0106,61.8737,298.4269,0,U,60392,999,7418,.23717333E-3,.165E-5,0
QIANFAN-15,2024-140Q,2026-02-01T22:17:13.510176,13.50992552,.00140278,88.9765,293.9784,50.2738,309.9647,0,U,60393,999,7417,.23605693E-3,.165E-5,0
QIANFAN-16,2024-140R,2026-02-01T21:59:21.110784,13.50998190,.00163467,88.9768,294.1013,65.6287,294.6568,0,U,60394,999,7408,.23661294E-3,.165E-5,0
QIANFAN-17,2024-140S,2026-02-01T21:53:38.313600,13.50997771,.00166897,88.9779,294.1532,59.9221,300.3582,0,U,60395,999,7504,.26803683E-3,.185E-5,0
QIANFAN-18,2024-140T,2026-02-01T21:23:59.341920,13.50991386,.00158086,88.9771,293.6853,44.5260,315.7158,0,U,60396,999,7443,.21108396E-3,.148E-5,0
QIANFAN-19,2024-185A,2026-02-01T21:04:56.918784,14.14356076,.00087345,88.9768,72.0789,129.6252,230.5708,0,U,61552,999,7689,.23382143E-3,.461E-5,0
QIANFAN-20,2024-185B,2026-02-01T21:29:44.892672,14.08902723,.00064418,88.9766,72.4524,161.2173,198.9250,0,U,61553,999,7669,.31905414E-3,.565E-5,0
QIANFAN-21,2024-185C,2026-02-01T21:14:30.397920,14.22687178,.0010406,88.9683,70.9858,184.2030,175.9076,0,U,61554,999,7724,.247585E-3,.569E-5,0
QIANFAN-22,2024-185D,2026-02-01T21:24:19.495584,13.86324878,.00062918,88.9752,73.6403,180.9772,179.1388,0,U,61555,999,7602,.20938017E-3,.255E-5,0
QIANFAN-23,2024-185E,2026-02-01T20:27:32.980320,14.16355569,.00091076,88.9760,71.8674,139.9117,220.2744,0,U,61556,999,7698,.26907398E-3,.548E-5,0
QIANFAN-24,2024-185F,2026-02-01T21:57:31.843296,14.23887169,.00114625,88.9742,71.1813,124.4427,235.7851,0,U,61557,999,7730,.28193211E-3,.66E-5,0
QIANFAN-25,2024-185G,2026-02-01T21:29:10.333536,14.05963119,.00115849,88.9752,72.3970,148.9974,211.1894,0,U,61558,999,7669,.30902418E-3,.52E-5,0
QIANFAN-26,2024-185H,2026-02-01T20:59:29.683968,13.77845752,.00050225,88.9759,74.2307,195.1231,164.9786,0,U,61559,999,7571,.12497081E-3,.138E-5,0
QIANFAN-27,2024-185J,2026-02-01T20:30:05.483232,14.27406208,.00098587,88.9754,70.9482,115.5092,244.7123,0,U,61560,999,7745,.17266741E-3,.438E-5,0
QIANFAN-28,2024-185K,2026-02-01T21:08:02.707296,14.28153063,.00093909,88.9770,70.9514,114.7047,245.5126,0,U,61561,999,7747,.31456778E-3,.797E-5,0
QIANFAN-29,2024-185L,2026-02-01T21:58:55.254720,13.51031226,.00079229,88.9735,76.0216,259.3062,100.7197,0,U,61562,999,7470,.28785617E-3,.198E-5,0
QIANFAN-30,2024-185M,2026-02-01T22:18:32.124672,13.50007695,.00058912,88.9755,75.5654,238.4420,121.6156,0,U,61563,999,7497,.19652661E-3,.137E-5,0
QIANFAN-31,2024-185N,2026-02-01T21:24:39.783168,13.57990147,.00054787,88.9739,75.2897,228.1812,131.8876,0,U,61564,999,7510,.22974186E-3,.178E-5,0
QIANFAN-32,2024-185P,2026-02-01T22:39:00.418176,13.50755114,.00075672,88.9799,75.7135,275.3496,84.6792,0,U,61565,999,7495,.22526205E-3,.157E-5,0
QIANFAN-33,2024-185Q,2026-02-01T22:01:52.385952,13.96596174,.00081236,88.9748,73.1006,151.7740,208.3879,0,U,61566,999,7630,.22129548E-3,.32E-5,0
QIANFAN-34,2024-185R,2026-02-01T21:18:02.469312,14.02356276,.00067909,88.9724,72.5994,147.7274,212.4323,0,U,61567,999,7652,.28380929E-3,.449E-5,0
QIANFAN-35,2024-185S,2026-02-01T22:04:56.404128,14.28067176,.00087432,88.9751,70.8692,111.8780,248.3345,0,U,61568,999,7748,.27387383E-3,.695E-5,0
QIANFAN-36,2024-185T,2026-02-01T21:26:42.790848,13.55605528,.00042458,88.9733,75.7154,243.2286,116.8433,0,U,61569,999,7485,.32820836E-4,.35E-6,0
QIANFAN-37,2024-232B,2026-02-01T22:46:09.668928,13.50983648,.0001543,88.9999,36.1525,72.4680,287.6639,0,U,62238,999,10608,.53267272E-4,.46E-6,0
QIANFAN-38,2024-232C,2026-02-01T23:21:45.265248,13.50996415,.00160954,89.0006,36.0692,52.0752,308.1851,0,U,62239,999,10614,.46574405E-4,.42E-6,0
QIANFAN-39,2024-232D,2026-02-01T22:48:42.632352,14.25418881,.00138024,89.0005,31.4444,271.6899,88.2713,0,U,62240,999,10868,.56686116E-4,.148E-5,0
QIANFAN-40,2024-232E,2026-02-01T22:22:30.811584,13.50995597,.00152847,89.0034,35.6721,59.5954,300.6705,0,U,62241,999,10650,.54692068E-4,.47E-6,0
QIANFAN-41,2024-232F,2026-02-01T22:34:20.452800,13.50983997,.00154259,89.0004,36.0233,48.8163,311.4316,0,U,62242,999,10616,.37080979E-4,.36E-6,0
QIANFAN-42,2024-232G,2026-02-01T23:32:49.536096,14.24513548,.00127126,89.0003,31.4959,278.7079,81.2673,0,U,62243,999,10866,.58084468E-4,.149E-5,0
QIANFAN-43,2024-232H,2026-02-01T22:28:24.856320,13.50982970,.00170627,89.0009,36.0913,53.0889,307.1823,0,U,62244,999,7477,.36453506E-4,.36E-6,0
QIANFAN-44,2024-232J,2026-02-01T22:10:35.257152,13.50985262,.00152227,89.0007,35.9024,50.9897,309.2607,0,U,62245,999,10624,.59060133E-4,.5E-6,0
QIANFAN-45,2024-232K,2026-02-01T23:09:54.225216,13.50994677,.00158828,89.0011,36.0465,50.3148,309.9401,0,U,62246,999,10617,.53687079E-4,.47E-6,0
QIANFAN-46,2024-232L,2026-02-01T23:45:26.981568,13.50983351,.00160385,89.0007,36.1110,55.2443,305.0216,0,U,62247,999,10613,.4962778E-4,.44E-6,0
QIANFAN-47,2024-232M,2026-02-01T22:04:44.491296,13.50995775,.00164451,89.0003,36.0490,54.5508,305.7176,0,U,62248,999,10615,.85823302E-4,.68E-6,0
QIANFAN-48,2024-232N,2026-02-01T22:58:00.270048,13.50984406,.00187571,89.0007,36.0491,56.2949,303.9987,0,U,62249,999,10616,.44631788E-4,.41E-6,0
QIANFAN-49,2024-232P,2026-02-01T22:40:13.827072,13.50984704,.00157204,89.0006,36.0625,52.1221,308.1349,0,U,62250,999,7475,.31765442E-4,.33E-6,0
QIANFAN-50,2024-232Q,2026-02-01T23:15:50.923296,13.50995480,.00174227,89.0011,36.0709,52.8167,307.4572,0,U,62251,999,7478,.48312891E-4,.43E-6,0
QIANFAN-51,2024-232R,2026-02-01T22:52:07.192992,13.50984082,.00149762,89.0005,36.0633,56.8813,303.3773,0,U,62252,999,7477,.38271733E-4,.37E-6,0
QIANFAN-52,2024-232S,2026-02-01T23:33:36.338112,13.50994588,.00168269,89.0002,35.9319,49.2345,311.0263,0,U,62253,999,7486,.2162218E-4,.26E-6,0
QIANFAN-53,2024-232T,2026-02-01T23:03:55.003392,13.50984885,.00157316,89.0009,36.0424,50.6310,309.6232,0,U,62254,999,7482,.57479135E-4,.49E-6,0
QIANFAN-54,2024-232U,2026-02-01T22:16:29.509248,13.50985470,.00040862,89.0000,35.7196,88.4445,271.7174,0,U,62255,999,10632,.61905587E-4,.52E-6,0
QIANFAN-55,2025-016A,2026-02-01T21:07:09.329376,13.50992332,.00172888,88.9743,97.9305,193.9610,166.1066,0,U,62785,999,5409,.16723635E-3,.12E-5,0
QIANFAN-56,2025-016B,2026-02-01T21:30:48.361248,13.50994542,.00158731,88.9716,97.7514,195.6873,164.3788,0,U,62786,999,5414,.16359315E-3,.118E-5,0
QIANFAN-57,2025-016C,2026-02-01T22:18:19.374624,13.50992992,.00020638,88.9747,97.9172,84.7145,275.4242,0,U,62787,999,5411,.14669347E-3,.107E-5,0
QIANFAN-58,2025-016D,2026-02-01T21:36:45.162144,13.50994813,.0014065,88.9716,97.7360,187.0713,173.0242,0,U,62788,999,5415,.15791093E-3,.114E-5,0
QIANFAN-59,2025-016E,2026-02-01T22:12:23.012640,13.50990921,.00142913,88.9740,97.8193,190.9419,169.1423,0,U,62789,999,5415,.13966017E-3,.102E-5,0
QIANFAN-60,2025-016F,2026-02-01T21:13:04.763424,13.50989013,.00159513,88.9721,97.7853,188.3566,171.7322,0,U,62790,999,5413,.14320401E-3,.105E-5,0
QIANFAN-61,2025-016G,2026-02-01T22:00:31.923360,13.50990328,.00149048,88.9789,97.9797,187.1407,172.9534,0,U,62791,999,5415,.14609565E-3,.106E-5,0
QIANFAN-62,2025-016H,2026-02-01T22:06:26.523648,13.50992993,.00162635,88.9735,97.8200,188.1560,171.9329,0,U,62792,999,5414,.13966744E-3,.102E-5,0
QIANFAN-63,2025-016J,2026-02-01T22:41:59.076096,13.50991268,.00161497,88.9741,97.7724,193.4019,166.6706,0,U,62793,999,5418,.17492795E-3,.125E-5,0
QIANFAN-64,2025-016K,2026-02-01T21:54:35.724672,13.50989674,.00143296,88.9728,97.7429,185.4906,174.6091,0,U,62794,999,5417,.16315347E-3,.117E-5,0
QIANFAN-65,2025-016L,2026-02-01T21:48:45.911808,13.50988395,.00141254,88.9725,97.7676,187.0828,173.0126,0,U,62795,999,5415,.16493665E-3,.119E-5,0
QIANFAN-66,2025-016M,2026-02-01T22:30:06.786720,13.50993232,.00153779,88.9744,97.7448,183.3441,176.7610,0,U,62796,999,5420,.16334006E-3,.118E-5,0
QIANFAN-67,2025-016N,2026-02-01T22:35:59.800704,13.50997492,.0015106,88.9734,97.7649,190.0565,170.0286,0,U,62797,999,5417,.16360417E-3,.118E-5,0
QIANFAN-68,2025-016P,2026-02-01T20:37:35.724864,13.50989439,.00152102,88.9738,97.8205,188.5965,171.4928,0,U,62798,999,5414,.14471818E-3,.106E-5,0
QIANFAN-69,2025-016Q,2026-02-01T21:01:16.719744,13.50989775,.00159151,88.9717,97.6771,189.9683,170.1155,0,U,62799,999,5418,.16288836E-3,.117E-5,0
QIANFAN-70,2025-016R,2026-02-01T21:25:01.070400,13.50993502,.00158553,88.9738,97.8248,180.3473,179.7670,0,U,62800,999,5414,.13936478E-3,.102E-5,0
QIANFAN-71,2025-016S,2026-02-01T21:18:59.043168,13.50992918,.0015703,88.9732,97.8016,193.4038,166.6698,0,U,62801,999,5414,.14660585E-3,.107E-5,0
QIANFAN-72,2025-016T,2026-02-01T21:42:40.350816,13.50992807,.00186936,88.9722,97.8083,201.8666,158.1689,0,U,62802,999,5413,.16903755E-3,.121E-5,0
QIANFAN-73,2025-046A,2026-02-01T22:21:38.740896,13.50997868,.00149515,88.9796,314.7353,343.4821,16.5841,0,U,63159,999,5432,.28501252E-3,.196E-5,0
QIANFAN-74,2025-046B,2026-02-01T21:57:55.361376,13.50995321,.00018007,88.9796,314.6258,70.4760,289.6586,0,U,63160,999,5438,.31215443E-3,.214E-5,0
QIANFAN-75,2025-046C,2026-02-01T21:39:23.630112,13.50994321,.00162753,88.9797,314.8614,346.0499,14.0201,0,U,63161,999,5425,.28560957E-3,.196E-5,0
QIANFAN-76,2025-046D,2026-02-01T21:34:28.747776,13.51000714,.0013863,88.9796,314.8420,347.8822,12.1994,0,U,63162,999,5426,.26454556E-3,.183E-5,0
QIANFAN-77,2025-046E,2026-02-01T20:37:29.778816,13.96146791,.00130138,88.9794,312.4340,285.8544,74.1197,0,U,63163,999,5558,.31715374E-3,.449E-5,0
QIANFAN-78,2025-046F,2026-02-01T22:33:24.787008,13.50991856,.00152891,88.9795,314.7014,349.3353,10.7471,0,U,63164,999,5434,.27637087E-3,.19E-5,0
QIANFAN-79,2025-046G,2026-02-01T21:28:14.967552,13.50967275,.00149832,88.9799,314.8156,348.3886,11.6917,0,U,63165,999,5428,.13065996E-3,.96E-6,0
QIANFAN-80,2025-046H,2026-02-01T21:51:51.581088,13.50990066,.00140601,88.9796,314.5194,352.5815,7.5126,0,U,63166,999,5444,.152099E-3,.11E-5,0
