OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
CALSPHERE 1,1964-063C,2025-11-25T01:02:02.048928,13.76332703,.0026402,90.2213,67.0455,186.7798,227.2721,0,U,900,999,4334,.89218E-3,.882E-5,0
CALSPHERE 2,1964-063E,2025-11-25T03:14:47.084352,13.52880879,.0020549,90.2361,70.9797,99.3469,17.7390,0,U,902,999,82867,.78674E-4,.61E-6,0
LCS 1,1965-034C,2025-11-25T02:17:38.776416,9.89309313,.0013387,32.1442,301.6155,119.8713,240.3116,0,U,1361,999,18967,.14484E-3,.9E-7,0
TEMPSAT 1,1965-065E,2025-11-25T03:37:33.451968,13.33580144,.0071405,89.9894,212.6845,101.2853,52.7580,0,U,1512,999,93285,.12461E-3,.72E-6,0
CALSPHERE 4A,1965-065H,2025-11-24T23:10:42.616128,13.36234411,.0068583,89.9086,124.3964,320.9492,164.0050,0,U,1520,999,93543,.24721E-3,.137E-5,0
OPS 5712 (P/L 160),1967-053A,2025-11-25T01:28:05.684160,14.73777312,.0004766,69.9169,177.2372,293.7188,66.3457,0,U,2826,999,3611,.15793E-2,.10284E-3,0
OPS 5712 (P/L 153),1967-053H,2025-11-25T00:49:26.137056,13.96786778,.0004534,69.9724,192.8786,108.2727,251.8873,0,U,2874,999,97827,.84005E-4,.63E-6,0
RIGIDSPHERE 2 (LCS 4),1971-067E,2025-11-25T03:02:40.754976,14.37521518,.0060085,87.6229,35.4391,187.7556,172.2720,0,U,5398,999,84456,.34404E-3,.107E-4,0
COSMOS 2493 (SKRL-756 1),2013-078A,2025-11-25T02:13:20.978688,15.00599795,.0012852,82.4123,100.6530,209.8280,150.2213,0,U,39490,999,64733,.39959E-3,.508E-4,0
COSMOS 2494 (SKRL-756 2),2013-078B,2025-11-25T01:06:45.751968,15.03118745,.001706,82.4128,90.9143,174.8301,185.3104,0,U,39491,999,64812,.4203E-3,.5715E-4,0
