OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
RADUGA 1,1975-123A,2024-07-07T04:55:37.374816,1.00254002,.000669,4.6398,277.8738,245.6511,263.3598,0,U,8513,999,18769,0,-.1E-6,0
RADUGA 2,1976-092A,2024-07-07T18:40:39.002880,1.00294401,.0026483,5.3095,280.1443,18.7163,336.3562,0,U,9416,999,12222,0,-.32E-6,0
RADUGA 3,1977-071A,2024-07-07T18:51:25.616160,1.00319426,.0009017,5.9396,283.1445,259.9029,132.3010,0,U,10159,999,16994,0,-.339E-5,0
RADUGA 4,1978-073A,2024-07-07T06:34:52.145760,1.00207024,.0008348,6.5873,287.2123,19.1742,133.0074,0,U,10987,999,11248,0,.94E-6,0
RADUGA 5,1979-035A,2024-07-07T08:27:00.499104,1.00280349,.0006346,7.0703,290.3618,194.5003,12.6364,0,U,11343,999,12223,0,-.184E-5,0
RADUGA 6,1980-016A,2024-07-07T20:15:56.456352,1.00275421,.000252,7.4585,293.8599,226.2879,111.6506,0,U,11708,999,11503,0,.145E-5,0
RADUGA 7,1980-081A,2024-07-07T08:33:06.099840,1.00217865,.0009391,7.6652,296.0765,279.8443,36.3199,0,U,12003,999,11618,0,.124E-5,0
RADUGA 8,1981-027A,2024-07-08T02:53:59.525376,1.00354423,.0080871,8.0026,296.5103,250.3874,134.9950,0,U,12351,999,11541,0,-.53E-6,0
RADUGA 9,1981-069A,2024-07-07T23:40:26.421024,1.00249172,.0004303,8.2593,299.9535,173.3547,204.5066,0,U,12618,999,12122,0,.151E-5,0
RADUGA 10,1981-102A,2024-07-06T18:40:43.538880,1.00295463,.0005503,8.3632,301.0784,203.4784,138.5894,0,U,12897,999,11021,0,-.12E-5,0
RADUGA 11,1982-113A,2024-07-07T06:03:55.012320,0.97709093,.0039536,10.6153,316.1062,272.9765,92.5176,0,U,13669,999,11460,0,-.107E-5,0
RADUGA 12,1983-028A,2024-07-07T22:05:40.341120,1.00269220,.0001872,9.6661,311.6091,148.6854,222.6067,0,U,13974,999,16226,0,0,0
RADUGA 13,1983-088A,2024-07-07T08:31:38.693280,0.98173198,.0015747,10.9020,317.5700,60.0689,137.4145,0,U,14307,999,11197,0,-.57E-6,0
RADUGA 14,1984-016A,2024-07-07T20:54:42.790176,1.00289265,.0005337,9.9509,315.7245,160.2481,208.0326,0,U,14725,999,11097,0,-.184E-5,0
RADUGA 15,1984-063A,2024-07-07T13:17:55.353696,1.00304914,.0005847,10.0933,316.7330,184.0611,6.1503,0,U,15057,999,13396,0,.121E-5,0
RADUGA 16,1985-070A,2024-07-07T04:27:55.729152,1.00263767,.0002628,10.6616,321.5882,194.6036,166.1109,0,U,15946,999,11511,0,-.227E-5,0
RADUGA 17,1985-107A,2024-07-08T02:56:44.938176,1.00179416,.0015363,10.8156,323.0718,203.3241,166.3317,0,U,16250,999,14470,0,-.18E-6,0
RADUGA 18,1986-007A,2024-07-07T10:46:24.000096,0.98811381,.0074947,11.6739,325.8935,183.0363,175.1995,0,U,16497,999,13884,0,.31E-6,0
