OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
SCD 1,1993-009B,2026-02-17T20:35:16.662336,14.46055214,.00418384,24.9679,224.3336,315.3496,180.3959,0,U,22490,999,74382,.5854445E-4,.4E-5,0
TECHSAT 1B (GO-32),1998-043D,2026-02-18T13:31:17.557824,14.24400383,.00013407,99.0004,39.3711,151.2790,208.8462,0,U,25397,999,43444,.48468683E-4,.65E-6,0
SCD 2,1998-060A,2026-02-18T10:19:00.088896,14.45470828,.00165314,24.9951,84.5048,308.7704,179.9636,0,U,25504,999,44312,.77141379E-4,.458E-5,0
DLR-TUBSAT,1999-029B,2026-02-18T12:36:10.017216,14.52389447,.00141257,98.6642,41.1600,356.1023,4.0059,0,U,25757,999,41602,.40326555E-4,.116E-5,0
TERRA,1999-068A,2026-02-18T14:50:00.621600,14.60993096,.00013411,97.9635,103.7774,209.0573,268.3481,0,U,25994,999,39229,.94782306E-4,.42E-5,0
MAROC-TUBSAT,2001-056D,2026-02-18T11:56:01.815936,13.70256962,.00206153,99.7980,224.1456,87.1777,340.8714,0,U,27004,999,20993,.16826706E-4,-.32E-6,0
AQUA,2002-022A,2026-02-18T14:15:59.059584,14.61927215,.00011442,98.4140,16.6170,47.3244,41.3974,0,U,27424,999,26594,.20588373E-3,.981E-5,0
IRS-P6 (RESOURCESAT-1),2003-046A,2026-02-18T14:18:22.537152,14.36106003,.00638094,98.2082,91.8289,339.2504,179.0077,0,U,28051,999,16350,.18617795E-3,.513E-5,0
SHIYAN-1 (SY-1),2004-012A,2026-02-18T04:34:22.931616,15.30401661,.00070925,97.8815,119.7791,84.3648,275.8400,0,U,28220,999,19287,.45248467E-3,.13239E-3,0
AURA,2004-026A,2026-02-18T14:10:45.801696,14.61100124,.00011199,98.3280,5.1749,68.5437,291.5882,0,U,28376,999,14889,.21212908E-3,.995E-5,0
