OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
GPS BIIR-08,2003-005A,2025-11-24T07:01:13.435968,2.00571923,.01466891,54.9283,223.1122,51.5360,21.5075,0,U,27663,999,16720,0,.27E-6,0
GPS BIIR-11,2004-009A,2025-11-23T20:54:18.696672,2.00561542,.0108051,55.0031,283.9797,167.3269,120.8499,0,U,28190,999,15882,0,-.27E-6,0
GPS BIIR-13,2004-045A,2025-11-23T08:50:27.121344,2.00568690,.01702718,55.2501,333.1855,308.4251,36.3985,0,U,28474,999,15429,0,-.65E-6,0
GPS BIIR-14M,2005-038A,2025-11-23T23:18:36.629856,2.00549545,.01330854,55.0510,281.4569,293.1855,86.2536,0,U,28874,999,14772,0,-.24E-6,0
METEOSAT-9 (MSG-2),2005-049B,2025-11-24T22:54:03.646368,1.00268660,.0003566,8.8970,56.1379,182.0735,215.1282,0,U,28912,999,495,0,.143E-5,0
GPS BIIR-16M,2006-052A,2025-11-22T00:09:59.709312,2.00572154,.00871812,54.9754,222.2212,87.2227,273.8552,0,U,29601,999,13925,0,.33E-6,0
GPS BIIR-17M,2007-047A,2025-11-24T19:18:58.785120,2.00565272,.0164446,53.9432,88.4996,85.0201,276.8404,0,U,32260,999,13271,0,.14E-6,0
GPS BIIR-18M,2007-062A,2025-11-24T20:35:00.159936,2.00576437,.0032174,55.1980,282.3633,163.1435,5.3608,0,U,32384,999,13141,0,-.23E-6,0
GOES 14,2009-033A,2025-11-25T01:29:19.874976,1.00273314,.0003852,1.1502,85.6202,142.5332,110.0762,0,U,35491,999,454,0,-.48E-6,0
GOES 15,2010-008A,2025-11-25T02:17:45.238272,1.00267690,.0005509,0.7669,86.0229,165.3224,269.0249,0,U,36411,999,5759,0,.56E-6,0
GSAT0101 (GALILEO-PFM),2011-060A,2025-11-24T03:07:29.832960,1.70475782,.00025776,57.0574,347.3256,308.2281,51.7929,0,U,37846,999,8762,0,-.63E-6,0
GSAT0102 (GALILEO-FM2),2011-060B,2025-11-23T12:26:19.930272,1.70476021,.00045199,57.0579,347.3426,304.0394,85.8850,0,U,37847,999,8762,0,-.65E-6,0
LUCH 5A,2011-074B,2025-11-25T02:47:49.856928,1.00273566,.000547,8.2321,76.8467,168.2335,28.1375,0,U,37951,999,5100,0,-.3E-6,0
METEOSAT-10 (MSG-3),2012-035B,2025-11-25T02:00:16.909920,1.00271893,.0000239,4.1847,61.7525,229.4076,163.2975,0,U,38552,999,4881,0,.13E-6,0
SARSAT 13 (METOP-B),2012-049A,2025-11-25T02:59:08.514240,14.21398831,.0002058,98.6823,19.3797,186.7918,173.3232,0,U,38771,999,68427,.10203E-3,.179E-5,0
GPS BIIF-3,2012-053A,2025-11-23T21:43:51.064896,2.00564876,.01752115,53.5541,152.0103,63.7056,298.1207,0,U,38833,999,9532,0,.76E-6,0
GSAT0103 (GALILEO-FM3),2012-055A,2025-11-24T04:05:08.329920,1.70473432,.00021183,55.6814,107.1766,267.1887,92.7551,0,U,38857,999,8151,0,.41E-6,0
GPS BIIF-4,2013-023A,2025-11-24T06:25:43.129920,2.00565250,.01367455,54.6683,277.3192,48.4126,312.7521,0,U,39166,999,9177,0,-.21E-6,0
INSAT-3D,2013-038B,2025-11-24T23:11:40.562016,1.00268015,.0000892,1.3955,85.2081,162.3550,294.0490,0,U,39216,999,4503,0,-.319E-5,0
GPS BIIF-5,2014-008A,2025-11-24T18:16:25.474080,2.00573426,.00788,53.6280,157.6581,226.2693,133.1194,0,U,39533,999,8558,0,.82E-6,0
LUCH 5V,2014-023A,2025-11-24T22:17:04.735392,1.00269503,.0003909,4.6224,71.6849,200.2769,221.1980,0,U,39727,999,4231,0,-.249E-5,0
GPS BIIF-6,2014-026A,2025-11-25T01:02:21.857856,2.00562666,.0038636,56.5902,339.4652,317.8225,41.9138,0,U,39741,999,8444,0,-.58E-6,0
GPS BIIF-7,2014-045A,2025-11-22T03:22:18.446592,2.00571349,.0033096,55.2164,96.7208,119.3570,240.9474,0,U,40105,999,8192,0,.6E-7,0
GSAT0201 (GALILEO 5),2014-050A,2025-11-22T23:38:41.269632,1.85519713,.16459823,49.0998,281.8687,171.5338,191.6606,0,U,40128,999,7449,0,-.46E-6,0
GSAT0202 (GALILEO 6),2014-050B,2025-11-24T07:40:04.855296,1.85520268,.164673,49.1142,280.8979,172.3382,190.5634,0,U,40129,999,7668,0,-.4E-6,0
GPS BIIF-8,2014-068A,2025-11-24T12:14:49.369632,2.00563762,.0060884,56.8448,38.8514,69.5454,291.1593,0,U,40294,999,8110,0,-.59E-6,0
GLONASS-K 2,2014-075A,2025-11-24T05:37:36.587136,2.13101387,.00202195,63.6135,197.4661,205.1473,154.8479,0,U,40315,999,8548,0,.61E-6,0
GPS BIIF-9,2015-013A,2025-11-24T03:24:21.944160,2.00563559,.01062179,53.2011,212.6605,38.0148,322.8226,0,U,40534,999,7771,0,.37E-6,0
GSAT0203 (GALILEO 7),2015-017A,2025-11-22T03:33:59.192064,1.70476185,.00063928,56.8511,347.2421,265.9419,94.0320,0,U,40544,999,6567,0,-.69E-6,0
GSAT0204 (GALILEO 8),2015-017B,2025-11-21T19:37:07.053600,1.70475764,.00062096,56.8571,347.2688,257.1588,102.8194,0,U,40545,999,2871,0,-.7E-6,0
GPS BIIF-10,2015-033A,2025-11-24T19:14:46.439232,2.00566559,.010984,54.1465,275.5110,26.3639,334.1952,0,U,40730,999,7589,0,-.2E-6,0
