OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
HST,1990-037B,2026-03-16T01:49:28.674048,15.29590693,.00017201,28.4725,356.4312,190.3932,169.6628,0,U,20580,999,77429,.218378E-3,.6675E-4,0
POLAR,1996-013A,2026-03-15T20:09:39.188160,1.29845786,.63758408,79.7587,228.1212,212.2528,84.4089,0,U,23802,999,14364,0,.219E-5,0
SWAS,1998-071A,2026-03-16T03:56:11.240736,15.08941651,.00045888,69.8951,107.2883,0.0102,0.1061,0,U,25560,999,48323,.22357434E-3,.3434E-4,0
CXO,1999-040B,2026-03-17T19:41:22.009632,0.37802383,.79864571,54.6484,119.4425,310.6142,0.4584,0,U,25867,999,1697,0,.1113E-4,0
XMM-NEWTON,1999-066A,2026-03-16T14:27:53.069184,0.50127937,.47088578,64.9536,284.1881,66.5346,0.0007,0,U,25989,999,2254,0,.194E-5,0
TERRA,1999-068A,2026-03-16T06:57:59.155200,14.61022228,.00030925,97.9579,128.4724,137.0038,285.9136,0,U,25994,999,39604,.10336014E-3,.463E-5,0
CLUSTER II-FM7 (SAMBA),2000-041A,2026-03-13T04:26:23.008992,0.44824009,.892102,149.0994,35.5717,251.7870,0.4837,0,U,26410,999,1987,0,.9157E-4,0
CLUSTER II-FM8 (TANGO),2000-045B,2026-02-18T01:30:32.809536,0.44405995,.88900451,149.0711,33.5376,249.4570,359.4916,0,U,26464,999,1976,0,.4776E-4,0
ODIN,2001-007A,2026-03-16T01:57:11.067840,15.59311811,.00050063,97.4064,111.3918,127.5100,232.6612,0,U,26702,999,37483,.57213101E-3,.45113E-3,0
TIMED,2001-055B,2026-03-16T04:53:27.947616,14.95045017,.00029754,74.0666,62.2073,267.4558,92.6286,0,U,26998,999,31692,.1493997E-3,.1597E-4,0
CORIOLIS,2003-001A,2026-03-16T06:04:22.432224,14.19915515,.00150232,98.7159,83.5468,118.7613,241.5074,0,U,27640,999,20103,.93276623E-4,.155E-5,0
SORCE,2003-004A,2026-03-16T06:38:27.439872,15.03150965,.00157046,39.9905,71.5518,106.4756,253.7765,0,U,27651,999,25791,.27361338E-3,.3621E-4,0
MOST,2003-031D,2026-03-16T06:53:14.123328,14.21301217,.0010286,98.7081,84.2980,155.0779,205.0897,0,U,27843,999,17751,.63598187E-4,.95E-6,0
SCISAT 1,2003-036A,2026-03-16T03:59:36.742272,14.81326898,.00058362,73.9329,356.1491,80.9435,279.2401,0,U,27858,999,21767,.12107538E-3,.909E-5,0
SWIFT,2004-047A,2026-03-15T22:35:59.976960,15.59876648,.00042217,20.5524,179.6004,103.5661,256.5254,0,U,28485,999,17224,.49058495E-3,.42214E-3,0
HINODE (SOLAR-B),2006-041A,2026-03-16T01:04:25.380480,14.68484732,.00166086,98.0616,92.5509,220.1182,139.8798,0,U,29479,999,4120,.12926306E-3,.701E-5,0
SHIJIAN-6 02A (SJ-6 02A),2006-046A,2026-03-16T05:55:34.925664,15.15812827,.00047451,97.6494,115.6371,99.4593,260.7176,0,U,29505,999,5818,.43344463E-3,.8218E-4,0
SHIJIAN-6 02B (SJ-6 02B),2006-046B,2026-03-16T07:08:36.046752,15.01036266,.00137099,97.7080,104.9797,22.8121,337.3709,0,U,29506,999,5680,.23294894E-3,.2921E-4,0
