OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
AMC-3,1997-050A,2026-03-16T06:05:59.930304,1.00272234,.00032542,7.9172,65.1334,291.6617,196.5533,0,U,24936,999,5150,0,-.257E-5,0
NSS-11,2000-059A,2026-03-16T00:46:38.434656,1.00272204,.00031299,1.8842,82.5129,278.7409,0.0252,0,U,26554,999,4035,0,.25E-6,0
AMC-6,2000-067A,2026-03-16T06:04:33.740256,1.00272758,.00031761,0.0097,98.0866,267.9847,123.8558,0,U,26580,999,9296,0,.88E-6,0
AMC-11,2004-017A,2026-03-16T06:11:25.581408,1.00272048,.00032408,0.0701,79.6382,287.7281,148.2350,0,U,28252,999,7993,0,-.5E-6,0
AMC-15,2004-041A,2026-03-16T04:20:38.870880,1.00272469,.00023039,0.0388,315.4215,37.5282,140.9399,0,U,28446,999,7837,0,-.89E-6,0
NSS-10,2005-003A,2026-03-16T06:32:31.058880,1.00271809,.00031378,6.2156,71.5694,284.7119,238.2601,0,U,28526,999,5222,0,-.248E-5,0
ASTRA 1KR,2006-012A,2026-03-16T05:05:54.365856,1.00274357,.00031609,0.2324,82.0130,269.5636,277.6999,0,U,29055,999,4476,0,.119E-5,0
ASTRA 1L,2007-016A,2026-03-16T06:36:08.212320,1.00268852,.00036116,1.0799,82.2850,294.8152,231.2700,0,U,31306,999,4405,0,-.185E-5,0
ASTRA 4A,2007-057A,2026-03-16T06:44:29.911200,1.00273289,.00024383,0.0283,286.2987,78.8591,274.6475,0,U,32299,999,5071,0,.32E-6,0
ASTRA 1M,2008-057A,2026-03-16T05:05:54.365856,1.00273680,.00016388,0.0602,69.6267,4.1399,195.6940,0,U,33436,999,4480,0,.119E-5,0
NSS-9,2009-008A,2026-03-16T05:52:42.377088,1.00273129,.00020661,1.0195,83.5531,268.2220,93.3038,0,U,33749,999,6258,0,.72E-6,0
SES-7 (PROTOSTAR 2),2009-027A,2026-03-15T21:07:21.505728,1.00270666,.00015504,0.0394,79.2083,240.5297,278.8274,0,U,34941,999,6169,0,-.345E-5,0
NSS-12,2009-058A,2026-03-16T06:41:38.702688,1.00272058,.00048663,0.0477,4.7005,336.0959,350.4774,0,U,36032,999,5998,0,.71E-6,0
SES-1,2010-016A,2026-03-16T06:14:25.294272,1.00272205,.00025382,0.0473,287.1507,66.5065,172.7925,0,U,36516,999,5810,0,-.115E-5,0
ASTRA 3B,2010-021A,2026-03-16T05:07:09.246144,1.00269930,.00033194,1.2287,84.7364,286.9716,262.3693,0,U,36581,999,5793,0,.137E-5,0
SES-3,2011-035A,2026-03-16T06:13:47.853696,1.00271841,.00035594,1.0845,84.1367,277.9870,162.1676,0,U,37748,999,5366,0,-.102E-5,0
ASTRA 1N,2011-041A,2026-03-16T03:23:11.715648,1.00273800,.00047072,0.0847,39.5584,348.9133,215.2495,0,U,37775,999,4359,0,.119E-5,0
SES-2,2011-049A,2026-03-16T04:12:38.684736,1.00271927,.00028103,0.0397,74.1679,282.9601,152.7950,0,U,37809,999,5303,0,-.196E-5,0
QUETZSAT 1,2011-054A,2026-03-16T05:53:42.406080,1.00273383,.00026634,0.0261,277.2393,87.1651,180.8426,0,U,37826,999,4894,0,-.242E-5,0
SES-4,2012-007A,2026-03-15T23:46:10.028640,1.00275842,.00023351,0.0312,63.5220,282.8828,161.7150,0,U,38087,999,5129,0,-.168E-5,0
SES-5,2012-036A,2026-03-15T22:11:11.635872,1.00275745,.00018834,0.0655,305.5928,42.2836,163.4194,0,U,38652,999,4352,0,.34E-6,0
ASTRA 2F,2012-051A,2026-03-16T05:08:31.614720,1.00273128,.00019702,0.0696,255.6714,25.1954,358.2483,0,U,38778,999,4020,0,.149E-5,0
SES-6,2013-026A,2026-03-15T23:40:48.042624,1.00270401,.00020495,0.0469,305.1957,70.7675,112.3006,0,U,39172,999,4679,0,-.262E-5,0
O3B FM5,2013-031A,2026-03-15T21:23:13.751232,5.00116502,.00032837,0.0996,10.9869,334.8115,14.1893,0,U,39188,999,23237,0,-.18E-6,0
O3B FM4,2013-031B,2026-03-15T19:27:00.945504,5.00115130,.00051156,0.0544,345.2420,19.7699,354.9900,0,U,39189,999,23236,0,-.18E-6,0
O3B FM2,2013-031C,2026-03-16T01:49:24.621024,5.00115991,.00028143,0.0547,338.8354,13.9671,7.1904,0,U,39190,999,23245,0,-.18E-6,0
O3B PFM,2013-031D,2026-03-06T02:17:37.197024,5.00115906,.00051477,0.0668,7.2787,352.3292,0.3862,0,U,39191,999,23151,0,-.26E-6,0
ASTRA 2E,2013-056A,2026-03-15T23:31:18.152544,1.00269770,.00025857,0.0902,46.9194,303.3127,204.6453,0,U,39285,999,4548,0,.15E-5,0
SES-8,2013-071A,2026-03-16T02:57:38.443968,1.00270785,.00019506,0.0509,267.2972,123.4950,282.3360,0,U,39460,999,4350,0,-.27E-5,0
ASTRA 5B,2014-011B,2026-03-16T05:07:09.246144,1.00270090,.0003776,0.0933,298.1468,37.5932,298.3448,0,U,39617,999,4373,0,.136E-5,0
O3B FM3,2014-038A,2026-03-16T03:45:40.735872,5.00115585,.00006742,0.0529,353.8541,64.9767,301.1727,0,U,40079,999,20839,0,-.18E-6,0
O3B FM7,2014-038B,2026-03-13T07:18:15.302592,5.00115635,.00043845,0.0586,348.6070,352.5506,18.8225,0,U,40080,999,21308,0,-.22E-6,0
O3B FM6,2014-038C,2026-03-15T22:19:05.557152,5.00115709,.00026395,0.0546,351.3225,1.9777,6.6931,0,U,40081,999,21316,0,-.18E-6,0
O3B FM8,2014-038D,2026-03-16T04:23:42.155520,5.00115996,.00026436,0.0554,350.6101,6.1421,3.2430,0,U,40082,999,21329,0,-.18E-6,0
O3B FM10,2014-083A,2026-03-11T09:54:27.943488,5.00115268,.00026511,0.0429,348.2570,1.0660,10.6675,0,U,40348,999,20499,0,-.24E-6,0
O3B FM11,2014-083B,2026-03-16T05:20:59.920800,5.00115600,.00030836,0.0573,0.2300,342.6864,17.0702,0,U,40349,999,20525,0,-.18E-6,0
O3B FM12,2014-083C,2026-03-16T01:12:09.612000,5.00115973,.00026064,0.0567,359.5289,347.4371,13.0241,0,U,40350,999,20526,0,-.18E-6,0
O3B FM9,2014-083D,2026-03-16T01:50:47.872608,5.00115903,.00027175,0.0584,0.4295,353.6765,5.8877,0,U,40351,999,20540,0,-.18E-6,0
ASTRA 2G,2014-089A,2026-03-16T05:08:31.614720,1.00269497,.00044665,0.0194,0.8892,32.5622,245.6807,0,U,40364,999,4103,0,0,0
SES-9,2016-013A,2026-03-15T23:27:46.442304,1.00272115,.00016942,0.0292,278.5418,127.8521,227.4004,0,U,41380,999,3650,0,-.346E-5,0
SES-10,2017-017A,2026-03-16T06:24:01.873440,1.00272677,.00025221,0.0174,78.1411,287.7272,197.0931,0,U,42432,999,3282,0,-.273E-5,0
SES-15,2017-026A,2026-03-16T06:06:18.571968,1.00271058,.00005489,0.0423,323.5871,39.0882,133.5733,0,U,42709,999,650,0,.59E-6,0
SES-11 (ECHOSTAR 105),2017-063A,2026-03-16T04:20:38.870880,1.00271947,.00024166,0.0337,59.9512,295.8207,138.2168,0,U,42967,999,3079,0,-.9E-6,0
SES-14,2018-012B,2026-03-16T06:04:09.676128,1.00268441,.0000964,0.0182,135.9205,228.2224,213.2344,0,U,43175,999,609,0,0,0
O3B FM15,2018-024A,2026-03-16T03:26:56.569920,5.00115696,.00026764,0.0491,1.4751,349.1641,9.3527,0,U,43231,999,14636,0,-.18E-6,0
O3B FM16,2018-024B,2026-03-16T04:42:21.234240,5.00115896,.00027958,0.0456,3.8909,344.5780,11.5217,0,U,43232,999,14629,0,-.18E-6,0
O3B FM14,2018-024C,2026-03-12T15:19:53.120928,5.00115666,.00028427,0.0439,2.7730,349.0319,8.1868,0,U,43233,999,14612,0,-.23E-6,0
O3B FM13,2018-024D,2026-03-13T02:30:24.004800,5.00115630,.00037966,0.0487,334.7219,336.3210,48.9207,0,U,43234,999,14625,0,-.22E-6,0
SES-12,2018-049A,2026-03-16T02:01:57.007776,1.00268951,.0001864,0.0192,130.7033,171.2217,357.2538,0,U,43488,999,2848,0,0,0
O3B FM20,2019-020A,2026-03-16T01:30:40.925952,5.00115502,.0002753,0.0522,0.0835,342.8483,17.0558,0,U,44112,999,12691,0,-.18E-6,0
O3B FM19,2019-020B,2026-03-15T21:21:53.145216,5.00115978,.00042089,0.0583,353.1696,354.9350,11.8824,0,U,44113,999,12677,0,-.18E-6,0
O3B FM17,2019-020C,2026-03-13T18:30:54.460224,5.00115442,.00026646,0.0382,342.2165,5.4523,12.3211,0,U,44114,999,12675,0,-.22E-6,0
O3B FM18,2019-020D,2026-03-15T21:59:50.576640,5.00115279,.00027295,0.0526,0.3509,354.8309,4.8124,0,U,44115,999,12698,0,-.18E-6,0
SES-17,2021-095A,2026-03-16T06:24:01.873440,1.00269402,.00008982,0.0293,51.7580,312.9983,198.0006,0,U,49332,999,1692,0,-.273E-5,0
SES-22,2022-071A,2026-03-16T06:03:33.835680,1.00274403,.00009168,0.0257,259.4020,94.1998,132.1329,0,U,52933,999,659,0,.104E-5,0
SES-20,2022-123A,2026-03-16T01:05:39.904800,1.00272937,.0001658,0.0177,108.9894,316.3221,21.6277,0,U,53960,999,1259,0,-.102E-5,0
SES-21,2022-123B,2026-03-15T23:14:58.022304,1.00270737,.00010683,0.0303,67.7189,281.4864,42.0786,0,U,53961,999,627,0,.69E-6,0
