OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
LEMUR-1,2014-033AL,2026-03-15T23:21:24.401376,14.84835740,.00490672,97.7722,226.9440,25.5230,334.8392,0,U,40044,999,63163,.25101865E-3,.2123E-4,0
LEMUR-2-GREENBERG,2017-042N,2026-03-16T01:49:00.954336,15.28250681,.00086528,97.3775,256.3503,340.2182,19.8721,0,U,42837,999,47415,.61498815E-3,.16891E-3,0
LEMUR-2-ANDIS,2017-042P,2026-03-16T07:01:15.493152,15.30904228,.00088355,97.3655,256.4789,339.4505,20.6380,0,U,42838,999,47422,.7236985E-3,.21596E-3,0
LEMUR-2-MONSON,2017-042Q,2026-03-16T06:51:01.479456,15.25258470,.00061626,97.4033,256.6533,327.9605,32.1258,0,U,42839,999,47399,.6514909E-3,.1634E-3,0
LEMUR-2-FURIAUS,2017-042R,2026-03-15T11:13:57.409248,15.26574609,.00074053,97.3744,253.9360,37.0152,323.1596,0,U,42840,999,47389,.92428767E-3,.2418E-3,0
LEMUR-2-PETERG,2017-042S,2026-03-16T00:33:38.475072,15.29993193,.00033713,97.3976,260.1710,315.4667,44.6302,0,U,42841,999,47417,.82752029E-3,.24003E-3,0
LEMUR-2-DEMBITZ,2017-042T,2026-03-16T05:22:44.144256,15.27224168,.0006533,97.3802,257.6001,353.5842,6.5313,0,U,42842,999,47414,.67312753E-3,.17921E-3,0
LEMUR-2-ZACHARY,2017-042W,2026-03-16T00:14:46.956480,15.42655223,.00034908,97.3652,265.1685,353.9748,6.1456,0,U,42845,999,47480,.83829545E-3,.36565E-3,0
LEMUR-2-JIN-LUEN,2018-014C,2026-03-16T01:20:43.876896,15.82885809,.00057951,97.5430,5.9364,150.8440,209.3154,0,U,43182,999,44647,.13931962E-2,.304094E-2,0
LEMUR-2-KADI,2018-014E,2026-03-16T01:31:40.630944,15.65508213,.00026161,97.4677,0.1120,143.3439,216.8000,0,U,43184,999,44638,.90562125E-3,.91335E-3,0
LEMUR-2-AMANDA-SVANTE,2021-034B,2026-03-16T04:35:23.276832,15.28887098,.0003245,97.5830,151.3961,185.9923,174.1279,0,U,48269,999,26682,.1007056E-2,.28266E-3,0
LEMUR-2-SPECIAL-K,2021-034F,2026-03-16T04:32:35.298816,15.46414078,.00019919,97.5710,156.7844,207.8487,152.2656,0,U,48273,999,26724,.14301982E-2,.71222E-3,0
LEMUR-2-EMBRIONOVIS,2023-084AQ,2026-03-16T03:01:07.366080,15.34873313,.00081909,97.6136,216.0125,286.2977,73.7364,0,U,56970,999,15339,.43122662E-3,.14525E-3,0
LEMUR-2-MANO,2023-100E,2026-03-16T01:02:36.885408,15.62811014,.00018446,99.4531,99.6863,191.7064,168.4145,0,U,57390,999,14747,.15699028E-2,.143476E-2,0
LEMUR-2-DEVERILL-M-T,2023-100F,2026-03-15T23:22:02.407008,15.35151295,.00071486,99.4571,87.1736,8.5982,351.5376,0,U,57391,999,14692,.7601322E-3,.25906E-3,0
LEMUR-2-BASS,2023-174D,2026-03-16T04:38:05.403840,15.40027943,.00085297,97.3879,158.8183,141.6770,218.5084,0,U,58259,999,13103,.43087238E-3,.1716E-3,0
LEMUR-2-JK0903EM1407,2023-174CJ,2026-03-16T04:56:50.753472,15.47063263,.00060241,97.3920,163.4197,95.4902,264.7035,0,U,58336,999,13133,.51029634E-3,.25791E-3,0
LEMUR-2-MJR092620,2023-174CN,2026-03-16T06:08:05.050464,15.42330305,.00082464,97.3982,163.7821,95.9941,264.2246,0,U,58340,999,13131,.28057044E-3,.12022E-3,0
LEMUR-2-NIMBUS2000,2024-022A,2026-03-16T03:17:34.651968,15.37022663,.00107085,97.4225,284.1126,93.0666,267.1804,0,U,58899,999,11796,.46048923E-3,.16644E-3,0
LEMUR-2-VALHALLA,2024-022B,2026-03-16T02:49:00.552000,15.36782035,.00112213,97.4224,284.1236,89.1475,271.1055,0,U,58900,999,11796,.4788519E-3,.17181E-3,0
LEMUR-2-OBA-NI-JESU,2024-022D,2026-03-16T02:53:34.870272,15.66890133,.0004564,97.4047,293.5149,52.0921,308.0752,0,U,58902,999,11860,.99784947E-3,.10659E-2,0
LEMUR-2-CAEL,2024-022E,2026-03-16T03:14:47.822208,15.37931731,.00094292,97.4207,284.9254,74.9744,285.2544,0,U,58903,999,11802,.4609754E-3,.17153E-3,0
LEMUR-2-JOHNNYTRUONG,2024-043BA,2026-03-15T23:10:01.526016,15.53647270,.00053443,97.5264,221.4423,164.2188,195.9233,0,U,59146,999,11353,.52059016E-3,.33232E-3,0
LEMUR-2-TOMATOKECHUP,2024-149D,2026-03-16T05:10:55.907904,15.33990146,.00020163,97.3838,157.1570,164.9874,195.1429,0,U,60471,999,8790,.360464E-3,.1178E-3,0
LEMUR-2-STELLA,2024-149BT,2026-03-16T03:45:05.649696,15.09658382,.00013281,97.6774,157.3504,93.6469,266.4911,0,U,60533,999,8645,.75906308E-3,.12165E-3,0
LEMUR-2-MARHISYAM,2024-149BW,2026-03-16T04:07:44.592096,15.09200442,.00031581,97.6914,157.7138,93.8087,266.3503,0,U,60536,999,8644,.78734098E-3,.12465E-3,0
LEMUR-2-AHMED-ASRAR,2024-149DN,2026-03-16T03:48:16.585056,15.10564198,.00011199,97.7030,159.4500,2.7575,357.3661,0,U,60576,999,8651,.69773443E-3,.11458E-3,0
LEMUR-2-LLOYD,2024-149DP,2026-03-16T03:57:47.144736,15.07347578,.00051782,97.6788,156.3694,108.6049,251.5741,0,U,60577,999,8637,.75383069E-3,.11344E-3,0
LEMUR-2-SQUIRRELCOMM,2024-149DQ,2026-03-16T04:56:13.524576,15.05992488,.00057041,97.6753,156.4820,25.3669,334.7837,0,U,60578,999,8640,.44393424E-3,.641E-4,0
LEMUR-2-SIERRINI,2024-149DR,2026-03-16T04:13:01.010496,15.08862599,.00065945,97.6871,157.4986,132.5755,227.6031,0,U,60579,999,8642,.79598758E-3,.12491E-3,0
LEMUR-2-WILSON,2025-009CP,2026-03-16T04:36:00.507456,14.94723594,.00031316,97.7068,155.3055,15.4974,344.6342,0,U,62694,999,6346,.20896059E-3,.2212E-4,0
LEMUR-2-STAR-FOX,2025-009CR,2026-03-16T05:06:06.597504,15.01020654,.00030747,97.7034,157.6002,140.6781,219.4667,0,U,62696,999,6360,.72186132E-3,.9167E-4,0
LEMUR-2-ARIANNA,2025-009CU,2026-03-16T04:58:43.708512,15.01006591,.00048394,97.6987,157.4523,135.2567,224.9048,0,U,62699,999,6360,.62223353E-3,.789E-4,0
LEMUR-2-ALISIA,2025-009DB,2026-03-16T04:52:35.499360,15.01270744,.00067198,97.7019,158.1096,145.8773,214.2884,0,U,62706,999,8620,.60490801E-3,.7724E-4,0
LEMUR-2-ROUNDTRIPPER,2025-009DG,2026-03-16T03:44:59.784864,15.02215474,.00058627,97.7297,158.0785,104.3089,255.8787,0,U,62711,999,6365,.64270253E-3,.8417E-4,0
LEMUR-2-MYNAMEISJEFF,2025-009DH,2026-03-16T05:18:49.503456,15.02223032,.00050716,97.7342,158.4693,126.3234,233.8459,0,U,62712,999,6366,.69135053E-3,.9061E-4,0
LEMUR-2-LEIA-PHILIP,2025-052AN,2026-03-16T04:00:33.370560,14.96722770,.0004105,97.6945,328.6564,158.6805,201.4589,0,U,63246,999,5475,.50889129E-3,.576E-4,0
LEMUR-2-LIA-MARTIN,2025-052AQ,2026-03-16T04:30:17.853696,14.96898922,.00046306,97.7012,329.0460,119.4336,240.7348,0,U,63248,999,5476,.57118303E-3,.6502E-4,0
LEMUR-2-DELOITTE-1,2025-052BB,2026-03-15T22:56:40.521120,14.96855174,.00025024,97.7028,329.1339,69.3969,290.7521,0,U,63259,999,5474,.35301392E-3,.399E-4,0
LEMUR-2-EMERSONROSE,2025-052BD,2026-03-15T22:56:54.536928,14.98309379,.00018796,97.7004,329.5044,32.8905,327.2434,0,U,63261,999,5477,.41516233E-3,.4884E-4,0
LEMUR-2-MARACHE-FRAN,2025-052BE,2026-03-16T04:25:03.565920,14.99007147,.00023952,97.7001,329.9289,44.4558,315.6856,0,U,63262,999,5482,.59994117E-3,.7216E-4,0
LEMUR-2-THEFALCONER,2025-052BG,2026-03-16T04:04:15.446208,14.96593385,.00013663,97.6969,329.0636,2.9662,357.1568,0,U,63264,999,5477,.49637213E-3,.5597E-4,0
LEMUR-2-UNTITLED-SC,2025-061A,2026-03-16T05:48:51.633792,15.12767120,.0017646,97.5557,51.3744,221.4762,138.5131,0,U,63351,999,5353,.2397482E-3,.4154E-4,0
LEMUR-2-ESPERANZA,2025-061B,2026-03-15T21:27:24.397632,15.12832401,.00172942,97.5565,51.1023,222.2498,137.7401,0,U,63352,999,5348,.23951579E-3,.4157E-4,0
LEMUR-2-KREMPEL-BRO2,2025-061C,2026-03-15T21:08:59.654400,15.13258864,.00184132,97.5612,51.5041,214.6874,145.3158,0,U,63353,999,5349,.26561887E-3,.4675E-4,0
