OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-1007,2019-074A,2024-07-08T00:00:00.999648,15.30811482,.000125,53.0546,42.7639,83.8785,7.2252,0,U,44713,999,25703,.43459E-1,.1428838E-1,0
STARLINK-1008,2019-074B,2024-07-07T21:51:10.435680,15.06400859,.0001354,53.0548,44.0202,85.3445,274.7699,0,U,44714,999,25701,.7562E-3,.11E-3,0
STARLINK-1009,2019-074C,2024-07-07T07:15:22.959648,15.06390184,.0001303,53.0550,46.7521,94.7560,265.3578,0,U,44715,999,25674,-.13552E-3,-.2299E-4,0
STARLINK-1010,2019-074D,2024-07-07T22:01:47.264160,15.06404105,.0001262,53.0541,43.9873,85.9271,274.1862,0,U,44716,999,25699,.7973E-3,.11615E-3,0
STARLINK-1011,2019-074E,2024-07-07T20:23:35.223072,15.06402845,.0001488,53.0547,64.2958,109.1392,250.9758,0,U,44717,999,25672,.20398E-3,.2758E-4,0
STARLINK-1012,2019-074F,2024-07-07T19:43:47.611776,15.06416717,.0001293,53.0545,44.4192,72.9742,287.1388,0,U,44718,999,25699,.80432E-3,.11724E-3,0
STARLINK-1013,2019-074G,2024-07-07T19:54:23.266944,15.06404450,.0001423,53.0556,44.3882,94.5166,265.5985,0,U,44719,999,25699,.53519E-4,.516E-5,0
STARLINK-1014,2019-074H,2024-07-07T07:07:06.869856,15.10765568,.0002784,53.0552,44.4831,72.9031,287.2265,0,U,44720,999,25678,.62982E-3,.10292E-3,0
STARLINK-1015,2019-074J,2024-07-07T07:36:36.412704,15.05576975,.0001498,53.0539,46.7998,83.6681,276.4478,0,U,44721,999,25674,.80812E-4,.898E-5,0
STARLINK-1017,2019-074L,2024-07-07T07:47:14.262432,15.06397585,.0001718,53.0558,46.6509,85.2555,274.8630,0,U,44723,999,25675,.74305E-4,.825E-5,0
STARLINK-1019,2019-074M,2024-07-07T00:32:00.078432,15.06395224,.0001323,53.0548,48.0099,85.6292,274.4848,0,U,44724,999,25670,.21496E-4,.39E-6,0
STARLINK-1020,2019-074N,2024-07-07T22:57:30.814560,15.06407230,.000124,53.0543,63.8168,89.0502,271.0629,0,U,44725,999,25673,.64956E-3,.9409E-4,0
STARLINK-1021,2019-074P,2024-07-07T21:08:42.446112,15.06407973,.000134,53.0547,44.1547,94.9573,265.1569,0,U,44726,999,25700,.61371E-3,.8873E-4,0
STARLINK-1027,2019-074V,2024-07-07T22:41:35.846592,15.06400226,.0001394,53.0545,63.8739,77.6664,282.4481,0,U,44732,999,25673,.63709E-3,.9221E-4,0
STARLINK-1028,2019-074W,2024-07-07T19:27:51.741792,15.06405027,.0001621,53.0541,44.4717,91.7518,268.3657,0,U,44733,999,25699,.57859E-3,.8348E-4,0
STARLINK-1029,2019-074X,2024-07-07T18:13:32.138400,15.06418243,.0001375,53.0557,324.6994,101.0930,259.0214,0,U,44734,999,25808,.99356E-3,.14556E-3,0
STARLINK-1030,2019-074Y,2024-07-07T21:16:40.507680,15.06386383,.0001475,53.0547,64.1285,93.6604,266.4554,0,U,44735,999,25672,.60592E-4,.621E-5,0
STARLINK-1031,2019-074Z,2024-07-07T23:13:26.643072,15.06404009,.0001459,53.0554,63.7710,90.0188,270.0968,0,U,44736,999,25674,.58959E-3,.8512E-4,0
STARLINK-1032,2019-074AA,2024-07-08T01:04:54.471360,15.06412359,.0001615,53.0541,63.4188,91.5476,268.5698,0,U,44737,999,25675,.92063E-3,.13462E-3,0
STARLINK-1035,2019-074AD,2024-07-07T20:12:58.908672,15.06406102,.0001791,53.0561,64.3375,85.8734,274.2460,0,U,44740,999,25672,.9021E-3,.13183E-3,0
STARLINK-1036,2019-074AE,2024-07-07T09:20:07.755360,15.06393481,.0001402,53.0544,66.3617,88.5116,271.6034,0,U,44741,999,25648,.53934E-3,.776E-4,0
STARLINK-1038,2019-074AG,2024-07-07T23:16:05.851488,15.06411653,.0001472,53.0538,83.7556,82.4217,277.6939,0,U,44743,999,25646,.12627E-2,.18582E-3,0
STARLINK-1039,2019-074AH,2024-07-07T20:20:56.403456,15.06408967,.0001551,53.0542,84.3066,89.8086,270.3081,0,U,44744,999,25644,.11453E-2,.16823E-3,0
STARLINK-1041,2019-074AK,2024-07-07T22:10:07.115808,15.71175941,.000107,53.0526,59.2864,206.0073,154.0890,0,U,44746,999,25680,.1929E-3,.24319E-3,0
STARLINK-1042,2019-074AL,2024-07-07T21:00:50.943168,15.18851271,.0004565,53.0531,76.6649,102.3569,257.7936,0,U,44747,999,25656,.18803E-2,.39569E-3,0
STARLINK-1043,2019-074AM,2024-07-07T23:00:10.162944,15.06403965,.0001345,53.0538,83.8087,90.7508,269.3635,0,U,44748,999,25646,.10754E-2,.15774E-3,0
STARLINK-1046,2019-074AQ,2024-07-07T23:21:24.167232,15.06413939,.0001543,53.0535,83.7415,90.3629,269.7537,0,U,44751,999,25646,.11625E-2,.17083E-3,0
STARLINK-1047,2019-074AR,2024-07-07T20:39:30.964320,15.06404722,.000132,53.0546,64.2443,86.2413,273.8727,0,U,44752,999,25672,.73997E-3,.10759E-3,0
STARLINK-1048,2019-074AS,2024-07-07T20:47:27.961440,15.06416132,.0001406,53.0556,44.2178,95.8467,264.2682,0,U,44753,999,25700,.11349E-3,.141E-4,0
STARLINK-1052,2019-074AW,2024-07-07T07:23:04.891200,15.25921255,.0003022,53.0401,46.0814,44.2296,315.8942,0,U,44757,999,25676,.16863E-2,.43749E-3,0
STARLINK-1053,2019-074AX,2024-07-07T21:19:20.381376,15.06401180,.0001327,53.0541,84.2094,87.1124,273.0016,0,U,44758,999,25645,.11694E-2,.1718E-3,0
STARLINK-1054,2019-074AY,2024-07-07T20:52:46.787808,15.06401914,.0001337,53.0554,84.2055,82.8308,277.2833,0,U,44759,999,25645,.49287E-5,-.208E-5,0
STARLINK-1055,2019-074AZ,2024-07-07T19:53:43.943712,15.34553268,.000426,53.0143,29.3626,47.9500,312.1863,0,U,44760,999,25722,.28247E-2,.96797E-3,0
STARLINK-1056,2019-074BA,2024-07-07T22:23:00.447648,15.06406282,.0001419,53.0550,83.9198,90.5536,269.5616,0,U,44761,999,25646,.3193E-3,.4478E-4,0
