OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
ISS (ZARYA),1998-067A,2026-03-16T03:51:18.372384,15.48306205,.00063428,51.6332,40.3661,195.9803,164.0986,0,U,25544,999,55733,.16433499E-3,.8402E-4,0
POISK,2009-060A,2026-03-16T03:51:18.372384,15.48306205,.00063428,51.6332,40.3661,195.9803,164.0986,0,U,36086,999,55444,.16433499E-3,.8402E-4,0
CSS (TIANHE),2021-035A,2026-03-15T15:59:17.332512,15.61005371,.00063677,41.4669,171.7890,308.3503,51.6764,0,U,48274,999,27854,.26859999E-3,.22966E-3,0
ISS (NAUKA),2021-066A,2026-03-16T03:51:18.372384,15.48306205,.00063428,51.6332,40.3661,195.9803,164.0986,0,U,49044,999,55445,.16433499E-3,.8402E-4,0
FREGAT DEB,2011-037PF,2026-03-15T13:35:53.056320,12.40410649,.09623821,51.6526,283.1074,72.9535,297.4383,0,U,49271,999,21342,.217638E-1,.15293E-3,0
CSS (WENTIAN),2022-085A,2026-03-15T15:59:17.332512,15.61005371,.00063677,41.4669,171.7890,308.3503,51.6764,0,U,53239,999,27561,.26859999E-3,.22966E-3,0
CSS (MENGTIAN),2022-143A,2026-03-15T15:59:17.332512,15.61005371,.00063677,41.4669,171.7890,308.3503,51.6764,0,U,54216,999,27558,.26859999E-3,.22966E-3,0
PROGRESS-MS 31,2025-146A,2026-03-16T03:51:18.372384,15.48306205,.00063428,51.6332,40.3661,195.9803,164.0986,0,U,64751,999,55446,.16433499E-3,.8402E-4,0
TIANZHOU-9,2025-149A,2026-03-15T15:59:17.332512,15.61005371,.00063677,41.4669,171.7890,308.3503,51.6764,0,U,64786,999,27559,.26859999E-3,.22966E-3,0
PROGRESS-MS 32,2025-204A,2026-03-16T03:51:18.372384,15.48306205,.00063428,51.6332,40.3661,195.9803,164.0986,0,U,65586,999,55450,.16433499E-3,.8402E-4,0
YOTSUBA-KULOVER,1998-067XN,2026-03-16T02:02:50.164512,15.83706108,.0004984,51.6209,24.0437,114.4520,245.7003,0,U,65941,999,2451,.1115703E-2,.258905E-2,0
