OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
SPACEBEE-7,2018-099BL,2024-07-07T17:17:25.551168,15.12249516,.0009654,97.5476,253.1779,208.6172,151.4530,0,U,43816,999,30551,.762E-3,.13137E-3,0
SPACEBEE-6,2018-099BN,2024-07-07T04:11:44.354688,15.24824771,.0008758,97.5401,258.3365,207.1519,152.9261,0,U,43818,999,30595,.11508E-2,.28606E-3,0
SPACEBEE-167,2023-001CG,2024-07-07T17:31:41.928096,15.48370690,.0008086,97.4182,255.8052,91.8067,268.4109,0,U,55087,999,8420,.12596E-2,.67138E-3,0
SPACEBEE-163,2023-001CJ,2024-07-07T17:27:09.714528,15.60494411,.0004539,97.4096,257.7737,100.7070,259.4698,0,U,55089,999,8434,.15472E-2,.129095E-2,0
SPACEBEE-164,2023-001CL,2024-07-07T17:55:04.372032,15.51820231,.0007356,97.4161,256.5154,89.0320,271.1775,0,U,55091,999,8425,.13177E-2,.79418E-3,0
SPACEBEE-166,2023-001CM,2024-07-07T04:25:23.014560,15.58321678,.0006152,97.4131,257.3398,93.1375,267.0585,0,U,55092,999,8426,.13033E-2,.99836E-3,0
SPACEBEE-165,2023-001CP,2024-07-07T17:51:19.378656,15.53937049,.0005979,97.4168,256.9545,95.9491,264.2444,0,U,55094,999,8428,.13595E-2,.88485E-3,0
SPACEBEE-162,2023-001CQ,2024-07-07T17:42:48.239712,15.52371531,.0007589,97.4157,256.6813,89.4890,270.7232,0,U,55095,999,8426,.13524E-2,.83178E-3,0
SPACEBEE-161,2023-001CR,2024-07-07T17:51:49.531392,15.53070028,.0006766,97.4162,256.8219,88.1230,272.0798,0,U,55096,999,8427,.13521E-2,.85274E-3,0
SPACEBEE-160,2023-001CS,2024-07-07T17:40:47.740224,15.54122959,.0006435,97.4154,256.9633,91.2208,268.9782,0,U,55097,999,8428,.13722E-2,.89943E-3,0
SPACEBEE-156,2023-001CU,2024-07-07T17:53:12.938496,15.54736231,.0006716,97.4166,257.1142,91.8345,268.3678,0,U,55099,999,8429,.13869E-2,.93E-3,0
SPACEBEE-158,2023-001CV,2024-07-07T17:33:24.877152,15.54881162,.0006641,97.4173,257.0485,94.3134,265.8879,0,U,55100,999,8428,.14771E-2,.9966E-3,0
SPACEBEE-159,2023-001CW,2024-07-07T17:39:39.216384,15.59866472,.0005396,97.4135,258.0349,91.9064,268.2811,0,U,55101,999,8435,.15668E-2,.127649E-2,0
SPACEBEE-157,2023-001CX,2024-07-07T17:33:26.295840,15.59935790,.0005091,97.4127,258.0940,96.1754,264.0083,0,U,55102,999,8436,.15161E-2,.123773E-2,0
SPACEBEE-179,2023-084AP,2024-07-07T20:04:23.189664,15.37925587,.0008224,97.5405,312.3640,270.8324,89.1978,0,U,56969,999,5951,.11744E-2,.43954E-3,0
SPACEBEE-177,2023-084AS,2024-07-07T20:58:40.538784,15.40305486,.0008348,97.5387,312.9108,265.7460,94.2831,0,U,56972,999,5955,.12417E-2,.50275E-3,0
SPACEBEE-178,2023-084AT,2024-07-07T22:08:04.442496,15.38119247,.0008567,97.5427,312.4915,272.2848,87.7416,0,U,56973,999,5952,.11741E-2,.44225E-3,0
SPACEBEE-176,2023-084AV,2024-07-07T06:59:59.977824,15.38782876,.000844,97.5404,312.0240,270.9730,89.0548,0,U,56975,999,5944,.1118E-2,.43018E-3,0
SPACEBEE-174,2023-084AW,2024-07-07T21:12:44.199360,15.39477508,.0008474,97.5403,312.7739,267.8909,92.1366,0,U,56976,999,5954,.12107E-2,.4769E-3,0
SPACEBEE-173,2023-084AY,2024-07-07T20:45:31.075200,15.39641750,.0008389,97.5404,312.8061,267.9570,92.0715,0,U,56978,999,5954,.11769E-2,.46598E-3,0
SPACEBEE-172,2023-084AZ,2024-07-07T19:34:15.824352,15.39678147,.0008506,97.5391,312.6884,269.2584,90.7687,0,U,56979,999,5953,.12621E-2,.50061E-3,0
SPACEBEE-171,2023-084BA,2024-07-07T20:18:20.163744,15.39842741,.000876,97.5398,312.8278,267.7082,92.3160,0,U,56980,999,5954,.11883E-2,.47371E-3,0
SPACEBEE-169,2023-084BC,2024-07-07T19:57:08.195904,15.40262975,.0008859,97.5385,312.6297,267.8316,92.1915,0,U,56982,999,5953,.12842E-2,.51945E-3,0
SPACEBEE-170,2023-084BD,2024-07-07T21:49:06.769632,15.39207006,.0008478,97.5443,312.8199,265.3931,94.6346,0,U,56983,999,5954,.12199E-2,.47629E-3,0
SPACEBEE-168,2023-084BE,2024-07-07T19:29:37.675104,15.46190058,.0009136,97.5348,313.6300,262.8915,97.1295,0,U,56984,999,5959,.15409E-2,.7631E-3,0
SPACEBEE-175,2023-084BF,2024-07-07T08:02:32.074080,15.39730131,.000908,97.5417,312.3349,273.6452,86.3755,0,U,56985,999,5946,.10638E-2,.42219E-3,0
