OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
NIMIQ 2,2002-062A,2026-02-01T14:40:43.242240,1.00272276,.00064208,9.1320,58.3168,258.7105,285.7393,0,U,27632,999,4282,0,-.8E-6,0
ANIK F2,2004-027A,2026-02-01T21:30:57.297600,1.00271614,.00018534,2.9345,81.2957,262.3503,0.0496,0,U,28378,999,3990,0,-.61E-6,0
ANIK F1R,2005-036A,2026-02-01T16:23:55.851648,1.00272739,.00019579,3.9664,78.2961,252.3154,299.9326,0,U,28868,999,4509,0,-.86E-6,0
ANIK F3,2007-009A,2026-02-01T16:20:41.162208,1.00271974,.00028593,0.8476,85.6533,229.7556,302.9076,0,U,31102,999,4520,0,-.11E-6,0
NIMIQ 4,2008-044A,2026-02-01T21:39:18.995616,1.00270621,.00021591,0.0218,76.1213,254.7601,44.0225,0,U,33373,999,6362,0,-.23E-5,0
TELSTAR 11N,2009-009A,2026-02-01T21:52:02.775936,1.00269620,.00026829,0.0138,74.4148,228.4879,119.6458,0,U,34111,999,4488,0,-.261E-5,0
TERRESTAR-1,2009-035A,2026-02-01T16:22:55.947072,1.00270589,.00028346,5.0716,48.8455,275.2603,302.4983,0,U,35496,999,6077,0,-.67E-6,0
NIMIQ 5,2009-050A,2026-02-01T21:41:56.245344,1.00271075,.00028024,0.0042,3.3065,304.9320,76.6215,0,U,35873,999,5998,0,-.267E-5,0
SKYTERRA 1,2010-061A,2026-02-01T14:42:58.027104,1.00271588,.00026149,4.8360,50.9321,226.5658,333.7106,0,U,37218,999,5583,0,-.128E-5,0
TELSTAR 14R,2011-021A,2026-02-01T21:44:40.981632,1.00268156,.00025611,0.0115,253.4075,86.1581,55.7255,0,U,37602,999,5447,0,0,0
NIMIQ 6,2012-026A,2026-02-01T21:36:41.747616,1.00271185,.00027566,0.0112,38.1645,270.6482,56.3359,0,U,38342,999,4905,0,-.183E-5,0
ANIK G1,2013-014A,2026-02-01T21:32:04.689600,1.00271337,.00034651,0.0630,265.9465,31.4730,50.3601,0,U,39127,999,4689,0,-.84E-6,0
TELSTAR 12V,2015-068A,2026-02-01T21:58:24.665664,1.00271148,.00026915,0.0143,86.9956,230.7892,128.9096,0,U,41036,999,3726,0,-.129E-5,0
VIASAT-2,2017-029A,2026-02-01T21:42:48.660768,1.00270469,.00002674,0.0073,28.7576,349.6175,9.5041,0,U,42740,999,3184,0,-.275E-5,0
LEO 1 (LEO VANTAGE 1),2018-004C,2026-02-01T16:40:01.458048,14.66902834,.03541831,99.2516,293.3440,134.9811,228.0686,0,U,43113,999,41761,.17116761E-3,.2406E-4,0
TELSTAR 19V,2018-059A,2026-02-01T21:44:40.981632,1.00270432,.00003696,0.0249,156.0773,86.6272,152.5226,0,U,43562,999,2778,0,-.29E-5,0
TELSTAR 18V,2018-069A,2026-02-01T22:42:05.481792,1.00268051,.00021286,0.0126,100.2952,213.3879,296.9855,0,U,43611,999,2727,0,0,0
AMOS-17,2019-050A,2026-02-01T21:33:38.716128,1.00268425,.00016785,0.0163,89.2285,220.9179,162.3636,0,U,44479,999,2383,0,0,0
