OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
ATLAS CENTAUR 2,1963-047A,2026-02-01T08:23:50.037216,14.11963836,.05481384,30.3541,38.7092,120.0677,245.5431,0,U,694,999,12648,.14549739E-3,.128E-4,0
THOR AGENA D R/B,1964-002A,2026-02-01T22:30:02.947968,14.33996517,.00329664,99.1226,44.3288,4.3670,355.7794,0,U,733,999,23317,.10489838E-3,.246E-5,0
SL-3 R/B,1964-053B,2026-02-01T13:23:48.403968,14.61328549,.00778715,65.0764,77.1640,303.7164,55.6530,0,U,877,999,26151,.90156425E-4,.34E-5,0
SL-8 R/B,1967-045B,2026-02-01T12:29:10.828608,14.45587751,.00628962,74.0098,55.6362,71.2384,289.5584,0,U,2802,999,8379,.81512129E-4,.267E-5,0
SL-8 R/B,1968-040B,2026-02-01T23:14:48.224544,15.02970617,.00255917,74.0306,26.6641,220.4137,139.5151,0,U,3230,999,8464,.23616745E-3,.3156E-4,0
OAO 2,1968-110A,2026-02-01T15:11:56.337216,14.47284013,.00061373,34.9931,106.5292,269.5788,90.4199,0,U,3597,999,1387,.91392972E-4,.32E-5,0
ISIS 1,1969-009A,2026-02-01T20:54:39.127680,11.30396085,.17078701,88.4549,159.2114,161.4335,205.7783,0,U,3669,999,34448,.24373011E-3,.357E-5,0
SERT 2,1970-009A,2026-02-01T20:05:53.532960,13.58725708,.00039618,99.2713,337.9020,255.8466,165.2128,0,U,4327,999,77502,.58858332E-4,.2E-7,0
SL-3 R/B,1971-028B,2026-02-01T22:04:50.318112,15.58323591,.00178072,81.2367,96.1180,59.7681,300.5331,0,U,5118,999,98309,.41071552E-3,.31468E-3,0
ASTEX 1,1971-089A,2026-02-01T19:37:12.396576,14.50723788,.00148708,92.7155,140.1527,197.9380,162.1303,0,U,5560,999,85710,.15008024E-3,.589E-5,0
SL-8 R/B,1971-119B,2026-02-01T22:47:27.891168,14.36801961,.05546595,73.8850,242.4742,216.4225,139.7982,0,U,5730,999,65035,.43354676E-3,.8331E-4,0
OAO 3 (COPERNICUS),1972-065A,2026-02-01T17:06:09.364032,14.59963569,.00070353,35.0048,142.2844,230.5202,278.9628,0,U,6153,999,84093,.9315957E-4,.433E-5,0
