OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
APRIZESAT 2,2004-025A,2025-11-24T23:47:01.186944,14.37913802,.0106465,98.0817,141.7624,146.0579,214.7481,0,U,28366,999,12229,.11706E-3,.336E-5,0
SAUDICOMSAT 1,2004-025D,2025-11-24T13:12:57.718656,14.55246653,.00311357,98.5776,328.1882,291.2759,68.5114,0,U,28369,999,13436,.13683364E-3,.546E-5,0
SAUDICOMSAT 2,2004-025E,2025-11-24T23:49:19.316352,14.49790596,.0056093,98.6664,330.4690,156.8851,203.4884,0,U,28370,999,13051,.12317E-3,.435E-5,0
APRIZESAT 1,2004-025G,2025-11-25T00:03:34.363584,14.51610168,.0045792,98.6316,329.1792,56.8511,303.7064,0,U,28372,999,13228,.11455E-3,.416E-5,0
NANOSAT-1,2004-049B,2025-11-24T21:48:07.452576,14.79524259,.000321,98.2012,96.0337,215.5074,144.5923,0,U,28493,999,12523,.24367E-3,.1768E-4,0
SAUDICOMSAT 7,2007-012C,2025-11-24T21:24:29.958624,14.65729201,.0057237,98.3518,294.2184,116.0713,244.6396,0,U,31119,999,99250,.16706E-3,.879E-5,0
SAUDICOMSAT 6,2007-012E,2025-11-25T03:03:06.655968,14.62212943,.0070951,98.3825,288.2411,241.8102,117.5920,0,U,31121,999,99035,.1791E-3,.881E-5,0
SAUDICOMSAT 5,2007-012H,2025-11-25T03:33:18.575424,14.67745038,.0048825,98.3236,295.2668,48.6893,311.8498,0,U,31124,999,99365,.21222E-3,.1178E-4,0
SAUDICOMSAT 3,2007-012J,2025-11-24T21:54:00.545184,14.70219965,.0039057,98.2890,295.6053,339.9524,20.0145,0,U,31125,999,99480,.25311E-3,.1489E-4,0
SAUDICOMSAT 4,2007-012L,2025-11-25T02:54:38.464128,14.64144557,.006381,98.3723,292.9156,174.8000,185.3878,0,U,31127,999,99151,.15935E-3,.81E-5,0
APRIZESAT 4,2009-041D,2025-11-25T02:44:54.940128,14.83434213,.0042329,98.1660,35.1905,263.0317,96.6081,0,U,35684,999,88110,.15854E-3,.1263E-4,0
APRIZESAT 3,2009-041F,2025-11-24T22:34:28.749792,14.95326436,.0063241,98.1784,107.8777,22.6691,337.7299,0,U,35686,999,88584,.24733E-3,.277E-4,0
S-NET D,2018-014G,2025-11-24T23:27:27.391968,15.14027337,.0009351,97.5483,230.2128,17.7695,342.3861,0,U,43186,999,42783,.44318E-3,.7996E-4,0
S-NET B,2018-014H,2025-11-24T23:38:39.254784,15.14004112,.0009885,97.5487,230.2000,12.5417,347.6059,0,U,43187,999,42783,.45706E-3,.8245E-4,0
S-NET A,2018-014J,2025-11-24T17:06:27.682560,15.14027341,.00098789,97.5497,230.1033,14.0603,346.0902,0,U,43188,999,42779,.37150966E-3,.6692E-4,0
S-NET C,2018-014K,2025-11-24T23:42:50.597568,15.13999040,.0010935,97.5516,230.4182,4.8947,355.2390,0,U,43189,999,42638,.46419E-3,.8375E-4,0
SALSAT,2020-068K,2025-11-24T23:01:24.561984,15.25887911,.0008964,97.8779,315.2795,304.8274,55.2119,0,U,46495,999,28417,.42324E-3,.10784E-3,0
OOV-CUBE (TUBSAT-30),2024-128F,2025-11-25T00:47:08.484576,15.01455583,.0058804,61.9944,216.8085,90.6163,270.1665,0,U,60240,999,7544,.29744E-3,.3791E-4,0
